Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwejR_66CJlm2uvs-t4AaABAg,@NoOneisHereAnyway,"That was NOT a ""single drop"" of superglue...that was a single glop of superglue. A single drop would have been considerably less than that...",2025-11-24T06:48:10Z,0,0
Ugx-xjj3elJ8NkAdkjN4AaABAg,@Craftlngo,"You should compare super glue to a new kind of super glue that combines the advantage of glueing everything to everything with a vastly improved shear strength, temperature resistance, UV-stability, gap filing ability, while staying permanent elastic, all without the hassle of mixing two components. 
The only downside of 3-methoxy-vinyl-silan glue is, it needs a day to completely set. 
But if you have the time for this glue to set, you get the best single-component glue on the market",2025-11-24T04:57:58Z,0,0
Ugx_C4XNElgEzDhSRbp4AaABAg,@Brandon-yg7mw,"100% thought the same thing. Its great against a perfectly smooth metal surface. But I tried it with the soles coming off my overly expensive nikes, even clamped and taped it for a few hours. Came right off after a few steps.",2025-11-24T02:02:22Z,0,0
UgwPnYWzuWPxksz6HRV4AaABAg,@AtotehZ,"It becomes brittle when it has fully hardened.
That it's brittle doesn't matter if you're using it to glue a wound together though, since that's 2 soft surfaces.",2025-11-23T22:11:31Z,0,0
Ugwpa7dAXDKf0TeHnH94AaABAg,@giornogiovanna836,"“Our” plastic pollution problem. 
Nah, I live in the US",2025-11-23T21:50:34Z,0,0
Ugz1LuR4yRTNbCINf354AaABAg,@DavidKutzler,"BOOMER ALERT: The blurry, black & white image at 0:07 is a screen grab from an episode of The Garry Moore Show, a popular variety show from the 1950s-1960s. Carol Burnett made her first television appearance on the show and was a regular from 1959-1962.",2025-11-23T18:06:54Z,0,0
UgyQND9M0INbp2QaYCl4AaABAg,@randhini2854,"""A single drop of super glue""

Yeah a drop for giants maybe",2025-11-23T15:51:04Z,0,0
UgznO_V_dIgyXbvVZgt4AaABAg,@lordofdrones,Are you gonna glue every South Asian inhabitant together?,2025-11-23T13:14:43Z,0,0
UgyUW4Anjka1AnSeQzR4AaABAg,@Michael-ws4tz,I don’t hear any explanationh,2025-11-23T13:13:49Z,0,0
UgxlkduYe1MsjC_-4yx4AaABAg,@jemmrich,Also dampening surfaces before adding superglue,2025-11-23T12:27:37Z,1,0
Ugz8LaKCvoyl_of0HOt4AaABAg,@T1Oracle,It has no elasticity though... 🫤,2025-11-23T12:16:28Z,0,0
UgwCknPx_kjdc64srDJ4AaABAg,@KCOWMOO,to much talking didn't get to the point fast enough already moved on to the next short video,2025-11-23T09:39:57Z,0,0
UgzRzu-hG_yQ9OTHtMl4AaABAg,@snitox,I remember super glue being so strong it would rip off my skin. But these days if I get it on I can just rub it off,2025-11-23T08:21:01Z,0,0
UgwWdlb4fSlYW5qCznJ4AaABAg,@uknighted213,"3 tons is spider man’s web fluid, not super glue obviously.",2025-11-23T04:03:43Z,0,0
UgwJaagKfZtqjyB5B4p4AaABAg,@Vvrexgyyvnii,That’s way more than one drop,2025-11-23T03:46:21Z,0,0
UgzDwDdTh87ltyqpQjx4AaABAg,@ahhrealpodcasts3038,You didn’t explain anything like you said you would which makes you a liar…,2025-11-23T03:41:37Z,0,0
UgwkXQYtuUdRilnkXHt4AaABAg,@Orcaben1,"Dunno what super glue your getting but after all the laws changed here in england, the super glue from 2005 compared to 2025, absolutely shockingly bad, superglue nowadays isn't anywhere near super.",2025-11-23T02:58:02Z,0,0
Ugz1M_CnAmaP-4-P5o54AaABAg,@seriouslyreally5413,Strong on a vertical direction but brittle to lateral forces.,2025-11-23T01:58:45Z,0,0
Ugx7dsK3w53XJoNWcLF4AaABAg,@fatlace138,"Omgbefore I even finished the video it is because the pieces of metal are machines super accurately or flat, it literally only takes someone with a middle school education to know that.",2025-11-23T01:49:29Z,0,0
UgxRyu-12bgxKWTeDOJ4AaABAg,@nox_chan,That's cute... but its not the fatigue resistant Belzona 7311,2025-11-23T00:39:33Z,0,0
Ugy-YTP3koaNSy_CZG94AaABAg,@Lee-haw,"Can super glue be mixed with other materials like resin or silicone? 
To make it less brittle?",2025-11-22T22:07:45Z,0,0
UgzUUNJU-6St6ZsR7NB4AaABAg,@TheCoolerReaper,But when I use it to put an arm on one of my miniatures it breaks off if I even look at it wrong.,2025-11-22T22:02:56Z,0,0
UgwBf5Eh3EB7CAVqcz94AaABAg,@Sin_Of_Greed,"That ""single drop"" is in this scenario like a teaspoon is in home cooking.",2025-11-22T21:36:14Z,0,0
UgwVi7hWmCN6irGuVtN4AaABAg,@ericdunthorne1981,That's clearly not a single drop. That would be the size of the tip of the applicator. That's a glob.,2025-11-22T20:35:54Z,0,0
UgxntdgnUm1_N_eMcAd4AaABAg,@Vidar93,"Now spray it with some ""activator"" and its stupid fast at how quickly it dries. Literally seconds.",2025-11-22T20:21:00Z,0,0
UgzzHI16H-0ZbqyeRmV4AaABAg,@Lyenixoc,Mythbusters did this with a car,2025-11-22T20:16:51Z,0,0
UgxWe-AyOECvfUFoQPt4AaABAg,@OlleNorling,"I have the answer, you see the glue is not just regular glue, there is a secret to why it’s so sticky. The answer is that it’s got super in the name",2025-11-22T20:11:53Z,0,0
Ugx3MbXsz_mRY_Q29FV4AaABAg,@Vir_Solus,"""if it's so strong, why is it weak in certain circumstances"" Bro just described every material that has ever existed.",2025-11-22T20:04:01Z,0,0
UgymgwGZLfDxewYzCMd4AaABAg,@maddieb.4282,Don’t forget how you can aerosolize it to solve murders by identifying fingerprints on soft surfaces,2025-11-22T19:12:25Z,0,0
UgzWuUBouieMuMijQtx4AaABAg,@Wooble57,"That looks like a 3"" steel cylinder (roughly).  pi r squared, area of around 7 square inches.  to lift a 200lb person you'd only need about 30psi of bond strength.

That demonstration looks impressive at first glance, it's great for marketing.  When you look at the actual numbers though, it's not really impressive at all, it's often underwhelming.",2025-11-22T19:11:12Z,0,0
Ugx9SUm885hmPx30Gk54AaABAg,@Rabbit-the-One,That wasn't just a single drop. That was a rather large blob of CA+ glue.,2025-11-22T19:03:03Z,0,0
UgwuBdtEg_sR0rRh7SN4AaABAg,@frankmansour362,"And in many cases, it doesn't work. We have to keep it refrigerated, not allow to expire, yet, it fails to bond to materials that are compatible.",2025-11-22T18:17:13Z,0,0
UgwwjxCM4nfShH8SBbJ4AaABAg,@keyakku935,You can apply baking soda and it just makes it unbelievably stronger,2025-11-22T18:13:11Z,0,0
UgwVn0RBvqG05C--KrZ4AaABAg,@grynte1,me eating a full tube of glue,2025-11-22T18:02:45Z,0,0
UgxyFHl_e-BFViv77Oh4AaABAg,@sebastjansslavitis3898,that wasn't single drop,2025-11-22T17:59:45Z,0,0
UgzozbnhV6p5at0J9lJ4AaABAg,@mikkelbreiler8916,"""How about some more ?""",2025-11-22T17:58:34Z,0,0
UgwYLJpeeamouRlkQ4x4AaABAg,@sekaopelaelo1934,"That's not a drop bro , 5 drops",2025-11-22T17:31:41Z,0,0
Ugww6kyugn7PVTmfYSh4AaABAg,@AEBDuck,"""It’s imperative the cylinder remains unharmed""",2025-11-22T17:08:13Z,0,0
UgwwoGC7qh4BswGyY2V4AaABAg,@Xaeravoq,spray iso on it for instant cure,2025-11-22T15:58:03Z,0,0
Ugz9jSNRnJy280ZB7Ox4AaABAg,@tomokocchikuroki6200,Hell yeah flexglue,2025-11-22T15:51:34Z,0,0
UgwqJ8uwutMQ2FkI11x4AaABAg,@fatherscallop7044,"Bro was the friend always saying ""just one bite"" and then ate everything",2025-11-22T15:44:07Z,2,0
UgyeJYdlk_7IcVt2wfp4AaABAg,@yaniayache5132,Don't forget the vacuum effect of these metal cylinders,2025-11-22T15:09:47Z,0,0
Ugy4KsWNqZTG1yCcjV94AaABAg,@quantisedspace7047,I have never got superglue to stick as reliably and as well as that.,2025-11-22T14:55:53Z,0,0
Ugy_8mmAFre04b_EJXJ4AaABAg,@OGJessie,I don't know what glue I've been buying cause mine have never done that,2025-11-22T14:53:11Z,0,0
UgyNTFt9isRhloWPulV4AaABAg,@Slotherss,Hmm what happens if you have two super opposing magnets and then superglue them together,2025-11-22T14:36:29Z,0,0
UgwfxY0d_2nNcOLjSt94AaABAg,@hellfire5108,That a BIG drop.,2025-11-22T14:27:01Z,0,0
UgxkB6YFvye49TVqKsx4AaABAg,@MantraHerbInchSin,I remember being a child and my dad glued my index finger to my thumb,2025-11-22T14:01:06Z,0,0
UgzkHDSFLoaqG7qt1BZ4AaABAg,@jfk7249,"Chinese people are making a super glue for broken bones and for the testings, it worker",2025-11-22T13:53:18Z,0,0
UgzeaTSb5nWFe1Nit-54AaABAg,@DarrelllCampbelll,I wish they made superglue like that still. Everything I buy sucks,2025-11-22T13:50:58Z,0,0
UgySr0QdTrEX-QzKPU94AaABAg,@Acookieboy15,And yet my shoe still split,2025-11-22T13:41:14Z,0,0
Ugw23XF83t77EEB-zJ94AaABAg,@mikesmith-gk6fy,Those gorilla commercials were hilarious,2025-11-22T12:55:12Z,0,0
UgxjrKpJRbzT1447G1d4AaABAg,@E-Recktable,2 shots of vodka,2025-11-22T12:46:45Z,0,0
Ugw4FCO6Ftw3tEmONHh4AaABAg,@therealcad,vsauce would never leave you halfway.,2025-11-22T12:45:20Z,0,0
Ugyodm2ZEkNRX3t2jXd4AaABAg,@thinkiaint73,They need to make different flavors.,2025-11-22T12:41:58Z,0,0
Ugyavmilfs81dfznp4Z4AaABAg,@Gren4te,Euhm sir. That “single drop” is half the package.,2025-11-22T12:26:14Z,0,0
UgyuwASkmJqL0UPNFRl4AaABAg,@Silwith,Thats some BIG ASS drop... xD,2025-11-22T12:21:19Z,0,0
Ugzx44FugRecg9xY_a94AaABAg,@daveed469,That's a big ass drop,2025-11-22T11:55:30Z,0,0
UgzwcO1MKstTLuFH5hZ4AaABAg,@jacksonfive5180,Can you stop doing blasphemy,2025-11-22T11:37:16Z,0,0
UgzSWDGusrvTiCxRX4t4AaABAg,@RoelVandePaar,Please don't misuse God's Name. Thank you,2025-11-22T11:25:46Z,0,0
Ugxl08ocoEz51KbvqsZ4AaABAg,@gabriel_racz2598,"Exodus 20:7

King James Version

7 Thou shalt not take the name of the Lord thy God in vain; for the Lord will not hold him guiltless that taketh his name in vain.",2025-11-22T11:15:35Z,0,0
Ugznjm9JVqZ3KK6AEd54AaABAg,@aztrodre8715,Give Fusor 2098 a try. ;),2025-11-22T11:05:58Z,0,0
UgxJioCgkjbp0sRNwRp4AaABAg,@REDTIDE.92,Technicaly the entire ocean is a single drop 😜😂,2025-11-22T11:05:23Z,1,0
UgyqaSvdvy7e95Lrr-94AaABAg,@doesntmatter1324,That's not a single drop.,2025-11-22T10:52:29Z,0,0
