Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwNIyaNix4otk8K_g14AaABAg,@jlove4eva1234,The bulk of the people driving in ny is to either go to the hospital or drive to Jersey or upstate . N it’s more about we know the mta it’s not gunna stop at manhattan’s,2025-11-21T19:27:48Z,0,0
UgxlNgypAqrsFg8Fs-14AaABAg,@holeshothunter5544,Too many cars.  Thank you captain obvious.,2025-11-19T16:11:59Z,2,0
UgyUZpvfdWasliQx2od4AaABAg,@bassplayer2011ify,11:13 overly simplified and it won't happen. The toll revenue will straight into the pockets of politicians and bureaucrats as it always does. And public transit will continue to degrade as it always does.,2025-09-06T22:24:49Z,0,1
UgytlqpHnh9_ylZEvJF4AaABAg,@zapbrannigan9770,"In London any benefits to lowering congestion has been shit all over by fucking bike lanes everywhere. So if the traffic did lower and it’s dubious that it did has slowed even more by 50% of road space being taken by bike lanes. Add to that we now have an infestation of Lycra clad cunts with go pros on there heads gleefully grassing up all wrong doing to the cops,Deliveroo spastics creating chaos with there absolute indifference to living or dying and the complete infestation of lime bike scattered across pavements because the window lickers who hire them can not conceive the concept that pavements are for people to walk on, I think as a whole many many Londoners miss the days when exhaust fumes were the only thing we had to contend with. Now do a video on the air quality of the London Underground. Resistance this tax New York cause trust me the alternative is the bright shiny utopia presented here.",2025-08-19T03:21:48Z,0,0
UgzsQS-Y-tohxEvbHi14AaABAg,@Hawkem248,I find it hilarious people cheer for additional taxes. You folks would cheer on an “air tax” for breathing.,2025-08-13T00:47:55Z,1,6
UgzG8533C1B3CaXrX594AaABAg,@HSR107,"Most of the people I see complaining about congestion pricing in lower Manhattan are usually wealthier people from Long Island, Westchester, and New Jersey.

Oh, and Fox News viewers from nowhere near New York whining about communist Democrats.  lol",2025-08-12T15:42:59Z,2,0
UgxXKqM3s4o_rjB14td4AaABAg,@excalipoor,So far congestion pricing is been pretty good. Made all the buses running around that area goes faster. Now I hope they can speed up the process on working the 2nd ave track and increase public transport dessert area of queens and Brooklyn.,2025-07-30T14:44:35Z,1,0
UgwYrKUxHHLpxedprgp4AaABAg,@davidperry4013,"I am strong believer in city rights. Congestion pricing is an issue at the city level and is neither a state nor federal issue. It’s only the city’s problem if opponents of congestion pricing move their employment or residence elsewhere but that is only a very small portion of the population. If the majority of city residents want it even just 51 percent of residents who voted yes on the measure, it’s going to happen. The best way to make congestion pricing effective are exemptions for local deliveries with vehicles up to 5 tons GVWR from 7 pm to 8 am, and tradespeople and local deliveries with vehicles with a GVWR up to 2.5 tons at all times. Also have congestion surcharges for taxi and app based ride share passengers that is per trip and is about 10 to 20 percent of the daily rate for private vehicles each time. Then once too little cars drive on certain streets they should ban all motor vehicles except for emergency, work, and delivery vehicles on these streets.",2025-07-25T18:22:10Z,0,0
Ugx9hM-NLh0zUspwSeZ4AaABAg,@sumelar,Love the illustration of cumulative time wasted by assholes not paying attention at the beginning of a line. This is why getting pissed off at them is justified.,2025-07-24T22:08:25Z,0,0
UgyW_1r0PD1gHgwuxvB4AaABAg,@ReubenE-q6s,"Keep in mind that they planned their city this way. That much office space only exists because the city approves that zoning/permits. If they have problems, it's entirely their fault.",2025-07-23T17:32:03Z,0,0
