Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwmLWcd6tf8BHK3Pst4AaABAg,@haejinlee8716,don't sell gas to Korea,2025-11-17T11:15:27Z,0,0,en
UgyLYkSBH2CtGwvor5l4AaABAg,@ZeroPointLore,"This video brilliantly illustrates a core principle of systems biology: flow is life. You demonstrate how impeding the natural flow of sediment—a river's ""nutrients"" [01:52]—starves the downstream ecosystem [02:18]. This is a powerful metaphor for human health. Our circulatory system is also a ""river"" that transports nutrients. When ""dams"" (like plaque buildup or metabolic dysfunction) impede that flow, the ""downstream"" tissues and organs are starved, leading to chronic disease. A fascinating look at how macro-engineering principles mirror micro-biological ones.",2025-11-17T10:03:44Z,0,0,en
Ugy2JEUBr6N44betZ394AaABAg,@basketballperson1350,"Not going obsolete any time soon. We still need ng to generate electricity so the main trunks will still be very functional. Also even more importantly, this is actually a national security stronghold. In the event of a grid failure or attack, ng will provide valuable heat energy and the fact that it is mostly underground protects it from attacks. It is a real godsend in terms of energy diversification.",2025-11-14T06:31:23Z,0,0,en
UgxlNKbDVnU8-gJE_ER4AaABAg,@NelsonRivera-b5i,Have been working new construction for the Rio Grande LNG for Next Decade. Getting more insight on what I’m working on is amazing to me. I love all the engineering and logistics involved in making it all happen.,2025-11-13T01:07:37Z,0,0,en
UgzeXL9t8blL_TY07XJ4AaABAg,@FetcheousRex,My dad works as one of the guys who sends the pigs down the piplines to inspect them. It's always cool to hear about what those tools are and what they do. He actually gifted me a special lego version of an EMAT tool from his work which sits on my desk. Super fancy technology which costs more money than I can even imagine to run.,2025-11-10T02:47:46Z,1,0,en
UgxgoV-ktBah3McEz3J4AaABAg,@PESPESIII-g4j,Charlie Sheen is so good!,2025-11-09T15:29:38Z,0,0,Other
Ugy9SGF6kvRyLvzDTjR4AaABAg,@haejinlee8716,لا تبيعوا الغاز لكوريا. الكوريون لا يلتزمون بعقودهم.,2025-11-07T12:18:35Z,0,0,Other
UgyMbIWqSTc0UDwH9i94AaABAg,@Signal-k3l,We need to build a pipeline from Jupiter to Earth,2025-11-07T05:04:06Z,0,0,en
Ugw23uwrdCkJoOAMYX94AaABAg,@ЕлдарАйдос-ц7ц,Саған рақмет жаным,2025-11-06T16:38:01Z,0,0,Other
UgwHa-SHSSC403jKgvx4AaABAg,@walterhaider869,so you're telling me they never lauched a pig down the pipeline for shits and giggles. not even once.,2025-11-01T09:41:01Z,0,0,en
Ugzcv6W_5SiSaRQZ_bV4AaABAg,@CynopsTames,This content is very high quality.,2025-10-29T13:12:37Z,0,0,en
UgxNy3GT4dau15DkTV14AaABAg,@calebwren1572,"Can someone expand on the cushion gas? Whats its purpose? Why do some wells require significantly more? What gasses are cushion gasses made out of? When extracting, how do they only extract NG and not Cushion gas, when NG is running low?",2025-10-29T04:00:18Z,0,0,en
UgzRZa8cKI1J24iCWyR4AaABAg,@matthewdockter2424,"Congratulations!  In my head, you are the successor voice of the Modern Marvels guy from The History Channel in the 90s",2025-10-21T13:00:03Z,1,1,en
Ugzsm4PmAMYlnp4CiN14AaABAg,@mohamedissak7433,"No me, I get 3 goods as utilities, water, gas and fent.",2025-10-18T23:11:43Z,0,0,Other
UgzPo_7LuPEqukBEGEN4AaABAg,@HenryJuanes,"So, CNG is just methane.

Knowing that its methane going by a trade name should explain why it's such a bogus energy source

If you don't understand why methane is a bogus energy source, its time to learn basic chemistry. It's only 2025, we have tech to explain it to you, but we don't have the tech to understand it for you",2025-10-12T01:04:11Z,1,0,en
UgwiU6TF4f2L_lqf6PN4AaABAg,@Walkertron50,This is extremely interesting! I work on LNG policy and have long struggled to get my head exactly round how the global lng network operates. this was so helpful!,2025-10-11T18:44:59Z,0,0,en
UgyMIWzUlrLgNXy_pqF4AaABAg,@DavisSkyLens,"“These pipelines will become increasingly irrelevant in the coming decades.” Is a pretty misinformed point of view. Natural gas demand in the USA continues to increase dramatically, and global demand for LNG continues to increase as well. Where does he think the electricity will come from in modern homes? Natural gas fired power plants. Where will the grid get the reliable energy needed for all the new data centers? Natural gas fired power plants. It will only become increasingly more obvious that the world relies on the indispensable natural gas pipeline network.",2025-10-05T21:22:20Z,1,2,en
UgyPWDx4KSGRM8zC-bN4AaABAg,@awsamar4324,This will drastically improve my factorio base,2025-09-30T16:46:41Z,0,0,en
UgzKvLShMdURxvZ6Kit4AaABAg,@quartzuk,the AI narrator isn't easy to listen to,2025-09-21T13:57:05Z,0,0,en
UgyCW_VuyqF1qqiIaXp4AaABAg,@SHEBA-i9o8x,Laying the pipe down for dummies,2025-09-12T04:58:59Z,0,0,en
UgyTOV1jrMNY85ShM2F4AaABAg,@smedoz,A lot of wrong information on the easements.,2025-09-08T18:18:09Z,0,0,en
UgzlHjQEl5gOY8CQqCp4AaABAg,@SimpleSimonTheAssMan,Great video for falling asleep! Thanks!,2025-09-07T10:46:25Z,0,0,en
UgyQ7x2gDxR97u-pFeZ4AaABAg,@thomastweedel1033,This was a cool video! I work in the industry specifically the parts of evaluating compensation to land owners for easement rights,2025-09-03T18:39:08Z,0,0,en
Ugxb6cCI8LapK0Sm9qZ4AaABAg,@camerondorr6726,"""Cleaner more efficient electric alternatives."" Where does all that electricity come from?

Great video otherwise.",2025-09-01T21:47:22Z,0,0,en
UgwAsuIcnw2FyhUMolJ4AaABAg,@adampetten1009,as a pipeline operator i thought it was funny when he said NG pipeline being heavy regulated in USA. regulations are quite slack on operation and measurement side vs many other countries like Canada and EU.,2025-08-29T03:03:07Z,0,0,en
Ugz2nNQhMi0MY3Vrlqt4AaABAg,@jakemakesthings9955,"One thing this video teaches, golf carefully, they may have gas lines under it",2025-08-27T00:32:47Z,0,0,en
UgzBNuD9_yvLtTUEvFF4AaABAg,@sean1100,turning aquifers into natural gas storage is so stupid. water mis management.,2025-08-25T11:54:04Z,0,0,en
Ugyn33_6sv2DG0AFm_t4AaABAg,@jamescox7007,"I always wonder at any given time with all the pipe lines filled to capacity including transmission lines and delivery lines, how many cubic meters do the lines hold.",2025-08-15T19:12:10Z,0,0,en
Ugyuneo-u79ieFE-T_t4AaABAg,@DOBLYyyy,"all love from Egypt, i have an interview for natgas company, and i actually like ur way of storytelling.",2025-08-15T13:15:06Z,0,0,en
UgzY_LXksYq0xmuY46p4AaABAg,@JavisoGaming,Electric too,2025-08-14T15:35:13Z,0,0,en
UgzmhlIZSlHe2kcVY554AaABAg,@nilsmeta,why just not use induction,2025-08-07T12:41:05Z,0,0,en
UgzptV04rtLNJ4KJ6tZ4AaABAg,@Sharkwave36080,"I love wendover content always have. I gotta point out that when he said homes are being increasingly heated by electric water heaters, that showed a natural gas heater.",2025-08-01T08:20:40Z,0,0,en
UgzM8TGioUmcNgVzV8Z4AaABAg,@PhatheMdumane-s6u,Thanks for the information,2025-07-29T13:44:30Z,0,0,en
UgwMuXocvf7B40gdFsl4AaABAg,@IsaacFulton-q8z,Another point of detail over simplified drill rigs at least land based drill rigs are almost never tied into the gas supply.     They’re there to drill the hole or multiple Then move to another pad to drill another,2025-07-26T20:15:05Z,0,0,en
Ugz_nP4X6ea-ttVscLp4AaABAg,@xxMnathanMxx,"As a doctor natural gas emissions are not slight.They are to mastic. Which basically means that if you breathe in emissions cars from exposure to air from natural gases, it’s possible that you could have reoccurring lung cancer.",2025-07-22T16:13:01Z,0,1,en
UgyH9-tnKCXb-fDZdFh4AaABAg,@abobaadmin,"""gas needs to go to china on ships"" - russia laughed at it and built own pipe called ""syberian force""",2025-07-12T15:13:54Z,0,0,en
