Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwTPmtalIdCGhPxwpt4AaABAg,@AcanthaGaz,yeah but how's that posable,2025-11-24T00:34:07Z,0,0,en
Ugwp1qcxNylOjPAlvxR4AaABAg,@Tidus77-m5v,All them would leave if they could.,2025-11-23T04:58:21Z,0,0,en
Ugyv7gfGFJh_TRQpOkN4AaABAg,@FlavRex,May peace be brought ❤,2025-11-21T13:23:15Z,0,0,en
UgyyA9FB2aBMUu7YEUx4AaABAg,@slitlockin,good luck to all the north koreans watching this,2025-11-20T05:58:43Z,0,0,en
UgxdiQq-47BfES5nxQ54AaABAg,@chuck.5718,Man fuck North Korea,2025-11-19T14:00:33Z,0,0,en
Ugzhs_iMAgUEOdjOBd54AaABAg,@Baral_the_claw,im so glad i come from Beijing not north korea,2025-11-19T09:16:46Z,0,0,en
UgxJeZI4ML9RFK8-9f14AaABAg,@HYPER1977,15:28,2025-11-17T00:17:17Z,0,0,Other
Ugxow5vjJ2q8_RBpgwl4AaABAg,@ishan64769,"I wish all countries take an initiative to take over north Korea,  like we are soo developed but we still let this cruelty happen , even if they have nuclear we have to we got to do something,  here in all the countries people come to protest destroy vehicles and do the chaos for some political shit , or other things , but this is the real issue it it it it's the only issue man like please someone 

,fck it I'll do something 
But what I can do 
It's gonna be tuff 
I can make a terriost organization to infiltrate NK and let everyone free (this is not real this is a jokke , this message is just for comedy purpose, i dont mean harm or any means of terrible things)

Please guys as a genz to all genzs let's try to do something",2025-11-16T17:50:05Z,0,0,en
UgzeIvoOeTOhPv_TYKd4AaABAg,@Luketheanimater,14:44 was I the only one who thought they would use the trains to transport the inmates,2025-11-15T20:02:00Z,0,0,en
Ugx9qZDWW8c6MySBzlx4AaABAg,@DonEnzoFerrari,Holyyyyy what a damn good video 🙏💯,2025-11-15T00:18:55Z,0,0,Other
UgzFhx9c0N3m21fKwsB4AaABAg,@HYPER1977,15:25,2025-11-14T23:01:01Z,0,0,Other
UgzD_F0eyMWshXdruPh4AaABAg,@HYPER1977,That ending was legendary,2025-11-14T22:58:48Z,0,0,Other
UgzfpkERRpnU_L0M5wZ4AaABAg,@rambee2076,Ty for never using ai,2025-11-12T19:42:31Z,1,0,en
UgynrYT_QxjV-Lnu54Z4AaABAg,@spookykitty2327,"I don't understand how ""China isn't that bad"" is becoming a popular conservative view.
North Korea is undeniably evil. China supports North Korea, at no benefit to themselves. Therefore, China is undeniably evil.",2025-11-12T03:52:26Z,0,1,en
UgwGfw2VAzrZJvappI14AaABAg,@DejoR79,"I'm so happy because i live in Montenegro, land of freedom.",2025-11-10T03:58:28Z,1,0,en
UgzitmbTf50Mtk8X_8t4AaABAg,@MrDillon2029,"If ppl were able to leave NK freely everyone would leave and ppl would be more scarce there than Antarctica. Idk why every other country doesn’t decide to just go into NK and whoop some ass and take it over. NK is a tiny spec on the map compared to anyone else. wtf are they gonna do? And no, no one would be worried about china stepping in either 😂",2025-11-10T01:55:26Z,0,0,en
