Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugxsf-ThcolqpGqsc4J4AaABAg,@fern-tv,Go to https://ground.news/fern to avoid media bias and explore how stories are framed worldwide and across the political spectrum. Subscribe through our link for 40% OFF the vantage plan. (Ad),2025-04-29T21:51:31Z,448,29
UgxUS5yMHoFp8BG6FyJ4AaABAg,@escrows,Such an odd life to live. I can only imagine the confusion he faced over and over again. RIP Puyi.,2025-11-24T06:07:33Z,1,0
UgwsHgNDyrxH806BKiV4AaABAg,@Throwaway87-d8e,Thank fuck western culture took over! Oooooowe!!!,2025-11-23T03:43:21Z,0,0
UgxWgBii8awEY0R283t4AaABAg,@MARKETING-CHAIRMAN,hey bro can you do one for genghis khan,2025-11-22T07:28:55Z,0,0
UgxH6ZpcPEF0xhD519d4AaABAg,@Mio-y4x2n,13:50 Chinese translation is totally wrong,2025-11-22T03:46:39Z,0,0
UgxiK_yiYwDW0wZElMt4AaABAg,@mattp5113,Carrying your junk around 24 seven is probably the craziest part of this whole dang video I mean just sloshing around in you hand like a half eaten jar of pickles,2025-11-21T16:23:49Z,2,0
Ugx7Kh7eaMW5YVYiPCl4AaABAg,@MrJosh6889,Somehow I feel like there's an analogy for trump in this video.,2025-11-21T00:29:46Z,0,0
UgzTpZ3Hccm9EMzrv4J4AaABAg,@shumbasimba3649,10 wtf's per minutes,2025-11-19T09:18:26Z,0,0
UgzH3rFwL0NcMxpCN_h4AaABAg,@TheMysteriousGamer6,He's like a living piece of history roaming around aimlessly until his death. Truly fascinating!,2025-11-18T18:48:57Z,0,0
UgwemJsKwY9YmD3xMcl4AaABAg,@Dark-Mustang,"My goodness... all this effort to make a video and you can't pronounce the basic words and names remotely well.  If you can't be bothered with that, why should I think this video's historiography is any good?",2025-11-17T08:47:22Z,0,0
UgwNahPwWiKmcZ62ahF4AaABAg,@Mochi-lf5rz,wtf is wrong with the Chinese? taking a kid from their parents cause of this shit?,2025-11-16T12:51:24Z,0,0
UgyRXeLQp3cpgnZQLr94AaABAg,@CryptoCowboyOz,10:13 this kid is an evil little shit,2025-11-15T16:23:35Z,0,0
UgxUw9GOuaNRLamuPBB4AaABAg,@sporkafife,"""But shooting eunuchs is only fun for so long"" is not a line I ever thought I'd hear in a Fern video 😂",2025-11-15T15:44:54Z,0,0
UgwaWMNePi1_Jj6MmVF4AaABAg,@ninja_hiperhiper2293,YOU HAVE TO CUT OF WHAT?,2025-11-15T09:43:27Z,0,0
UgzwQrf2jSPOkUdLKdV4AaABAg,@heheheehehehehehe185,"died like a coward, plunged China into weakness.",2025-11-15T00:39:54Z,0,0
UgxEPy51Px20Pmr7WKF4AaABAg,@fidd1442,Pretty sure he wasn’t a tour guide but a gardener there,2025-11-14T17:58:21Z,0,0
UgxVuzQwr803kRA8Gs94AaABAg,@aktasluna,"6:50 ""the emperor is hungry"" after that specific scene",2025-11-14T10:32:30Z,0,0
UgxO9CNlghpmBAI_GPt4AaABAg,@Youonlylive1nce-o2i,"I did not like how you framed it as he did something or anything wrong. He was literally forced to do all this as a child. I suspect you're racist against Asians, particularly Asian men, continuously calling them incompetent. I'm never supporting your channel again.",2025-11-13T16:03:10Z,0,0
UgyRJ_W2G6nOU6_kJe94AaABAg,@4hundred4ty4,breaks my heart he never studied in oxford or even visited england,2025-11-13T10:31:58Z,0,0
UgyvV7MwsMS4yWi-w9V4AaABAg,@mpklipsch,what an INSANE culture...,2025-11-12T16:05:36Z,0,0
Ugxt0mE-fzawUNcS7ft4AaABAg,@lewisthe_human2892,This guy needs an audio book,2025-11-11T21:16:29Z,0,0
UgxuPmEw_097scqg5-Z4AaABAg,@ku4uk08,A film by Bernardo Bertolucci about life of Puyi is really one of the most cinematic experiences out there.,2025-11-11T20:09:50Z,0,0
UgyxXljJ0GsJaUB-l514AaABAg,@emiliobello2538,Interesting,2025-11-11T00:12:12Z,0,0
UgzcRdBFKrkmj9AuIE14AaABAg,@andreimamen9732,"how do people get these stories, did a 1000+ tell them to you? how can you even confirm thaat the boy hid in that cupboard",2025-11-10T22:56:19Z,0,0
UgxLmmnzYaFRNgS9lqV4AaABAg,@ColintheMan205,"It's sort of sad, for his entire life he was used to empower and give legitimacy others. He never got to really experience the world the way he wanted too.",2025-11-07T20:23:42Z,0,0
UgySAh37chtmGsJgPxR4AaABAg,@Hi-lmaoooooooo,This type of editing is so cringe,2025-11-07T03:48:07Z,0,0
UgwAY377uPcwNmJ04N94AaABAg,@albetrosxcore3028,Can you imagine seeing dudes carry around a jar with their junk in it?,2025-11-06T09:13:06Z,0,0
UgzGZGMWT1Ir8RwMeYd4AaABAg,@holohulolo,"After having watched several documentaries about this over the years, I never thought anyone would need a more clickbait title about Puyi. I thought ""The Last Emperor"" would have been interesting enough, or ""The Child Emperor of China"", but no, it's  ""The Kid Who Ruled 33% of the World"".",2025-11-05T03:46:20Z,0,0
Ugw8W7vh-aujjAyCn_54AaABAg,@dinosaulol,The kid who sold world,2025-11-03T18:06:16Z,0,0
UgwdyxzXOIwZBa5WCY14AaABAg,@thatduck9959,Holding your pee pee remains in a jar wherever you go is diabolical,2025-11-03T02:50:20Z,0,0
UgxIgXf_EtagdVBNqJN4AaABAg,@NickkyBTA,All my homies love Puyi,2025-11-02T23:02:01Z,0,0
UgznS6xnN96Ce2DRmTF4AaABAg,@Noisewaterr,Bro wasn’t gay he just hung around yunics,2025-11-02T07:28:03Z,1,0
Ugxg-vUhYVHr165fksZ4AaABAg,@ZENT747,Tf is this aspect ratio 😂,2025-11-01T17:23:43Z,0,0
UgyU2lgL3rK55CP59zd4AaABAg,@kbms876,I see why past civilizations don't exist anymore now.,2025-10-31T04:03:41Z,1,0
UgwdR2KmAGrbLxNddOZ4AaABAg,@tomshady3530,"6:35 rofl had to carry their balls around in a cup with them at all times lmfao 😂😂 you dum, Chinese!",2025-10-30T21:53:33Z,1,0
UgxQ2M39C8FwjYWTlJB4AaABAg,@paxvictori2385,congrats on Henry's Han Chinese to English (HtE) transition,2025-10-30T19:03:28Z,0,0
UgySBdu4Oh-J34SzbXJ4AaABAg,@headfirsst4halos,dont remember this apothecary diaries arc...,2025-10-29T18:25:38Z,0,0
UgzMJtWGnMxbclhaI_d4AaABAg,@ForcedFocus,Sounds like my ex wife am I right?,2025-10-29T14:27:24Z,0,0
UgxMS0OByMg-tD--M2t4AaABAg,@lalalaser9025,"The luckiest child in that era I guess
(I take all that back 😆)",2025-10-26T15:13:47Z,0,1
UgyOfNwgyp7WeXKcOZN4AaABAg,@lalalaser9025,Is it almost 30% or 33%,2025-10-26T15:13:19Z,0,0
Ugww7qk4yA6SH82wcNV4AaABAg,@siberianpie,thats cool the communist didnt kill him as they killed the tsars,2025-10-25T12:37:30Z,1,0
UgyDXbYX7XA6iDlsjC14AaABAg,@Broccolep,"""the kid who ruled 33% of the world"" ahh video",2025-10-25T06:33:16Z,1,0
UgybMxiiE7fo58Q_RUF4AaABAg,@esthernyonimphande2682,Cutting off their genitals is CARZY!,2025-10-24T15:59:53Z,0,0
UgxqlttL8jd6xCxzaRF4AaABAg,@HaoLiang-KI,I’m a Japanese junior high student and honestly one of my classmates is his descendant,2025-10-23T13:49:35Z,0,0
UgyVBdyPAG4pu1hAfu94AaABAg,@oGroovy,"The Chinese text at 13:48 is wrong, it says 光绪帝 which means Guangxu Emperor. I don't think Reginald Johnston is the Guangxu Emperor...",2025-10-23T04:30:24Z,0,0
Ugxh3iQPbq66E4KjIrh4AaABAg,@zahircernuda3829,this is movie level type of animation. good to you sir,2025-10-22T00:42:46Z,0,0
UgyZvTS7w7KFH0iK1vt4AaABAg,@mymentalhealthandi,"I actually visited the house he stayed in Tianjin, which was when I found out he was the last emperor of China.",2025-10-21T05:16:57Z,0,0
Ugx57LtzN6yV98blntF4AaABAg,@kevin8388-e9g,The last Chinese emperor is Li Laiheng. NOT Puyi,2025-10-19T07:09:15Z,1,0
UgyLtKff-V9GxlPeTO94AaABAg,@germanmedrano872,I like this narrator better than the other ones,2025-10-16T16:58:13Z,1,0
Ugw89UquCrxEnZkK97Z4AaABAg,@BramBlakley,This is  sad he was just a kid 😭😭😭😭,2025-10-16T15:38:35Z,0,0
UgzOip88IDmOChgiTj14AaABAg,@billy6044,"Seems like the communists treated him very very well, and helped him rehabilitate, teaching him how to live as a human being without a bunch of servants to wipe his ass",2025-10-16T12:20:58Z,1,0
UgzCvIYuXWDr_UDqFD94AaABAg,@patmccrotch8300,6:49  Fck me.  Imagine having to carry your bottle of family jewels around everywhere you go.  Talk about constant reminder.,2025-10-16T04:40:11Z,3,0
UgwBiIutg_zc1sMELGJ4AaABAg,@AreolaGrande94,humans... the smartest and dumbest organisms the earth has ever known.,2025-10-15T15:22:05Z,0,0
UgyceJeY8QiCvHCQIdp4AaABAg,@dude555413,This video seriously downplays some of the stuff Puyi was responsible for in Manchuria,2025-10-14T16:17:20Z,0,0
UgxLr2_N83E23__Ykc14AaABAg,@LilQstar,Who else noticed the thumbnail change?,2025-10-14T15:35:43Z,0,0
UgyPK39D-VT23rA-gqd4AaABAg,@RickyA26,This story was fascinating!! From Emperor to Gardener !!,2025-10-13T12:54:07Z,0,0
UgyVrbFH2b-OouTsqkJ4AaABAg,@RealSquareFour,"If he runs 33% of the world, who owns the 67% of the world😂😂😂😂😂😂 6,7",2025-10-13T10:05:51Z,3,4
UgwNhA6y9KxJtS4bDyF4AaABAg,@zackphy,13:22 is this kinda like the UK's monarchy?,2025-10-12T00:39:25Z,1,0
UgyWJwxttDz55rBCBXp4AaABAg,@stoneout6467,"Looking at Chinese history, there were numerous kid emperors in different dynasties, all died in their teens or early twenties, got knocked off and replaced by another kid emperors, so the end of Ching dynasty may have saved him, as he was no longer relevant or in charge of any real power.",2025-10-10T19:15:35Z,0,0
Ugw1gGUncxlAPSTx_1t4AaABAg,@jaygarcia2238,Bro it’s Doma from demon slayer 😭😂😂,2025-10-10T18:32:10Z,1,0
UgwM4_XvCS0sNZovxkJ4AaABAg,@neinei697,WOW!What a life,2025-10-10T05:56:33Z,0,0
UgxGRjiITWPR6gNINqp4AaABAg,@jasonhennig4430,6:15 you have to what...,2025-10-04T05:24:48Z,1,0
UgzrcQRLXAHVn5YTPPd4AaABAg,@riddlezastra1496,"15:39 Puyi's second pick for a wife being named ""Wanrong"" is so comical 😂😂",2025-10-03T14:49:24Z,0,0
UgyM_NoRs0P8CLiNBBR4AaABAg,@uriahandersen888,A pawn his entire life.,2025-10-02T19:41:42Z,1,0
UgzXQUU74AhhqVB9gF14AaABAg,@dragon.oriondrift,Bro they had to cut off their dih🥀,2025-09-30T14:54:35Z,0,0
