Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzJle0c59VRrI81XPt4AaABAg,@fern-tv,"Hey👋
We first released this video in German a few years ago and have updated the story to include recent events. Some of the visuals are a bit more basic in this one—hope you still enjoy it!",2025-05-03T13:43:43Z,1637,35,en
UgzTX9Zr1n5FArEikuR4AaABAg,@thereal2scummy636,"HOT DIGGITY!! Even hearing Kim Dogs story from a neutral party It's still hilarious without Kim's elaboration and DRY humor being sprinkled on the key facts . Anyone who remembers the Internet back then can't help but like what he did for the average kid on dial up surfing the wild West of the Internet looking for something new to download instead of waiting for it to release on your country or to rewatch the movie you went to at theater. Burning CDs and DVD for pocket $ .
I have met Kim and has wife twice and Kim on his own heap's times. NZ is a small place, Kim was always super friendly and willing to have a chat ,plus he was always known to give little kids money especially if they were with a single mum. And he donated to local charities, he helped get the big server industry and mining operations going which are super sweet they're energy is 100% off grid with solar wind mills and even a few small hydro plants, they are also super well hidden so they don't ruin the landscape. With containers galore like u see in other countries. The largest one is not far from me. I brought a few GPU from there when they were doing a upgrade.",2025-11-22T18:36:30Z,0,0,en
UgzhAgPOPnIJCJnbzhl4AaABAg,@JoelMichael-g1t,"What make me confused 🤔 I have seen all your videos about North Korea from where are you getting information and how did you know 
Everything about North Korea",2025-11-20T09:26:16Z,1,0,en
Ugwt4W8TTquY4QdHSAV4AaABAg,@Mukukuish,"If I would have one of these Hollywood based companies, I would hire my own Kim to create a platform for piracy. As someone pointed out in the comments, the people who are using such a platform would never pay for your original service. In this case you can get their ""black"" money while keeping the goodies, who're willing to pay for ""the real deal"". 

Thought 2: Until these megacompanies deny the copyrights of and paying almost nothing for the actual creators maybe they should be jailed as well. As someone who's providing specific creative content for the biggest streaming platforms, I can tell you that we are losing our right to the content as soon as we finished the work. While they can use it for training AI or for any other purposes. Extras, but even actors have to sign contracts that their image can be used in other titles without any further payment or negotiation. So I find it funny that the actual criminals are mad of a Robin Hood type of figure.",2025-11-17T07:55:19Z,0,0,en
Ugw7sMVKd4QcCelC1jZ4AaABAg,@jojotheicb5138,"Operation TakeDown...very original...pfft 🤢🤮

Victim of Big US Tech...",2025-11-11T00:39:11Z,0,0,en
Ugzwawnb4zRrQ-vuGad4AaABAg,@ElvarStories,Amazing,2025-11-10T06:44:13Z,0,0,Other
Ugy5yn7t7FYO_sUnAyF4AaABAg,@user-yv3eq4eq7t,e,2025-11-08T00:55:21Z,0,0,Other
UgwOtT2Zycp0lzadmtJ4AaABAg,@69TheGG,They (megaupload) almost could  have been YouTube,2025-11-05T11:45:54Z,1,0,en
Ugwr_wr1g7Fg9OnHJvN4AaABAg,@GulledAbdiqadir-v2n9y,Hello 👋 the world 🌍🌎🌍🌍🌎🌍🌍🌎🌍🌍🌎🌍🌍🌎🌍🌍🌎🫂🫂🫂🫂❤️ ❤️❤️❤️👑 e,2025-11-04T20:47:42Z,0,0,Other
Ugx1g-DRkpF007bW3P54AaABAg,@RealTimeStrategy-Games,"Things have changed a lot . Myself now no longer think Piracy is just a grey area and he's no longer a criminal in most eyes , yes narcissism or other stuff has it's own place . But these days , thanks to how much less ownership we have piracy became more of a thing. Even physical media ownership isn't 100% easy and there's a lot of cheap CD and DVD that are made to fail soon vs those in past. Weirdly Piracy is saving the industry !! by saving the media that are now lost to time . So many media you can't even buy or own outside of piracy.",2025-10-26T15:10:32Z,0,0,en
Ugz0-4hKCk28kTpZlud4AaABAg,@nothin999,7:40 ronaldinho?? 😂,2025-10-21T03:42:36Z,0,0,Other
UgwifV7lxLMBbpI4jvB4AaABAg,@coffeebeanB,"The way people in the comments have no idea how piracy works and affects industries. Yes, they charge way too much, yes, they come up with ways to make people pay more, but really, there are people who pay for these things, what makes yoi think you're entitled to people's work for free?? Just because YOU want to enjoy it? The internet isn't free either, there's infrastructure, people who work to build the internet, not everything in this life is done out of the pureness of their hearts, otherwise, you yourselves would also be pissed off if someone shared your work without paying you sht, but ifc, if you never create anything of your own that took some effort, you would not have anything against piracy",2025-10-20T13:57:44Z,0,0,en
Ugxo90RIVJqHNVikt4p4AaABAg,@oscargreat,Hollywood is chewish. So every attacked is sanctioned and considered a heroic act.,2025-10-19T14:58:30Z,0,0,en
UgyK_nNeTDGU9Abnqcp4AaABAg,@INTEL664,Moonlight sonata 🤩15:41,2025-10-17T12:40:46Z,0,0,en
UgwkSS8Rpl4fxakOjLl4AaABAg,@cryinqsippy,it didnt dawn on me until the last 5 minutes that the MEGA today is just Megaupload with encryption lol. i realised it when i connected the dots with Kim living in New Zealand and the mega site ending in .nz,2025-10-15T12:27:08Z,0,0,en
UgwEYbj3DTZvEhHnffx4AaABAg,@jagmark10,i'd say they should let Kim live his life in peace. he's a father. leave him alone.,2025-10-13T19:25:16Z,0,0,en
UgyY5PqE42cNthl3DuR4AaABAg,@GhettoPatCalhoun,"Nowadays the government has their own hackers so it’s hard to do piracy nowadays and there is certain websites that are out there that people use daily, but I guess he was penalized back then nowadays he should be fined for the other stuff then music and movies because let’s be honest we can literally find them on websites and everyone is doing it",2025-10-07T14:18:29Z,0,0,en
UgzCJuY7AxrGMF2ZHfx4AaABAg,@wishvisuals68,now they doing the same thing he did & charging a arm & a leg.. dwl...... ain't dat a bihhh....,2025-10-07T06:14:03Z,1,0,en
UgyJqaMYAJsZY_DEnAd4AaABAg,@Youonlylive1nce-o2i,I'm down for Hollywood's demise. They are evil. Free Kim Dotcom!,2025-10-04T15:47:10Z,0,0,en
UgxXyNMOno6CZR-VLWl4AaABAg,@felipenachmanowicz9393,Megaupload was really really reallyyyyy fast. That's why it was so popular. You would be lucky to get half its speed on a good torrent. It was that fast.,2025-10-02T22:30:01Z,0,0,en
UgwCUXh1tpm9GJoXVmh4AaABAg,@marcusmiller5443,"For the record, I have no 'issues' with 'pirating' entertainment.
The people supposedly love what they do, so...they should be happy more are able to enjoy it, despite them not having money to throw away on vapid life-fakers (actors).",2025-09-30T00:28:39Z,0,0,en
Ugy9M_dNXD02z_ux5Wx4AaABAg,@marcusmiller5443,This cat use to 'follow me' on Tw4tt3r...weird.,2025-09-30T00:26:44Z,0,0,en
UgzhfmT1QORvu_xBNUd4AaABAg,@AVG.KushoX,hello whats the music name in the beginning of the kimcom chapter,2025-09-26T22:21:39Z,0,0,en
UgzJcxfT1I0F1k48rjx4AaABAg,@2ndsuspost,"remember everyone, use a VPN and seed for a while after.",2025-09-25T23:25:24Z,1,0,en
UgzQqoYrmc0vOu1Wdo94AaABAg,@SuperSkandale,they tried taking down the pirate bay over a decade ago and it is still living in it's best years.,2025-09-21T18:15:27Z,1,0,en
UgwLgwqtXlL8CY3b_IJ4AaABAg,@norbert.kiszka,"Typical US. I somebody sells kitchen knifes, (s)he should watch customers to not do anything bad with it? Bad logic.",2025-09-11T12:48:15Z,0,0,en
