Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwxTlsiR-qLovg3OlR4AaABAg,@yaraabdulsatar9223,What is the song played in the beginning at 01:05 ?,2025-11-23T17:04:54Z,0,0,en
UgxU8EhVocZcBaUT2mV4AaABAg,@henry_b323,poor people back then who couldnt watch this masterpiece.,2025-11-22T13:19:07Z,0,0,en
UgxUm4g8NPx0kmEo4u94AaABAg,@v.prestorpnrcrtlcrt2096,"SO I GUESS THIS IS THE ONLY CHANNEL ON YOUTUBE SO I THINK THEY SHOULD CALL IT FERN TUBE BECAUSE NO MATTER WHAT KIND OF CONTENT ON INTERESTED IN WATCHING I'M GOING TO WATCH FERN ACCORDING TO FUCK TUBE.
WHEN FUCK TUBE TELLS ME THAT I'M IN CONTROL OF WHAT I WATCH AND THE TYPES OF ADS ON EXPOSED TO THEY'RE BASICALLY FLUSHING THE TOILET AND LETTING ALL OF THEIR SCUM OF THEIR BRAINS FLUSH DOWN THE SEWERS BEFORE THEY OPEN THEIR FUCKING FILTHY TRAP MOUTH. 
GIVE IT UP FOR FIRM TUBE FERN TUBE IDIOT I SAID FIRM TUBE DON'T FUK IT UP",2025-11-21T23:00:57Z,0,0,en
Ugx_VgSOqaSDqViakpJ4AaABAg,@SlightlyLegalD21,This would be a great movie,2025-11-21T22:30:23Z,0,0,en
UgzeVMlWekTpVrAs_ul4AaABAg,@VanishOfficialUS,"The man who sold “cheap” finally paid the only price he couldn’t discount control. So was it power he lost… or truth?
…interesting.",2025-11-21T06:48:23Z,0,0,en
Ugw_tDHQ9kG-dTo96pZ4AaABAg,@WilliWiesel,24:32 holy voicecrack,2025-11-20T15:48:13Z,1,0,Other
UgwXY048OgwP-4ZG7bJ4AaABAg,@soulren394,You think working for Aldi is hard… Try Costco!,2025-11-20T13:02:45Z,0,0,en
UgwwHp2mgVlKIWqYNFJ4AaABAg,@rickandmortyfan649,"17:51 the song in the background is Johann Sebastian Bach's Little Fugue in G Minor, BWV 578. It is also used as the intro for ""The Red Baron"" by Sabaton",2025-11-19T14:03:14Z,0,0,en
Ugzlng965tTxsY23InV4AaABAg,@joehan818,Poor blondie,2025-11-19T05:34:08Z,0,0,Other
UgyUUKChNbHa3aiNaNR4AaABAg,@sabrinatscha2554,I want to die,2025-11-18T22:46:31Z,0,0,Other
Ugy3lNgMhFQ4-0WGIl54AaABAg,@Alice_3dits,I live in essen and when he mentions the street names or the places I know exactly where it is....,2025-11-18T22:35:25Z,0,0,en
Ugxr3QhdZSmEfDh53cl4AaABAg,@link4585,Yo this is the company that bought mine,2025-11-18T19:02:34Z,0,0,en
Ugy4hlpH0GgWqAN0fc94AaABAg,@YourAvarageRantaholic,when you think about it its your literal life on the risk for like what 20 precent of your money bruh,2025-11-18T17:43:31Z,0,0,en
Ugwx9DNibuF34kn-2Et4AaABAg,@matthewsharp1347,i donnt thinnk thay  changed much in there industry lol,2025-11-18T04:16:37Z,0,0,en
Ugx_bESm5l-kw8sCigN4AaABAg,@sonnyreece6190,Nah Aldis CEO is the last to deserve this. Should have been a Healthcare CEO.,2025-11-18T03:54:13Z,0,0,en
UgzD1m96JowtQyy3CHl4AaABAg,@chiwantstea,This is one of the best stories ever,2025-11-16T17:36:40Z,0,0,en
Ugxgd5pdw_9TWSHae5N4AaABAg,@jamiew904,Only 8.5 years?,2025-11-15T11:02:16Z,1,0,en
UgxKuK4DHVOaaWecdcB4AaABAg,@msk_8vono848,"having an ""aldi"" add while watching is so ironic",2025-11-15T11:00:15Z,0,0,en
Ugy_Bu4WOy6yfGS4kmF4AaABAg,@thenamesej9674,So when those 8 years were up he totally went and dug that money up,2025-11-15T07:25:39Z,1,0,en
UgzcBjU7dOZv3I_WFr54AaABAg,@lettucejones3677,"I love the end where its just like ""oh and he probably lived off that stolen money after he got out of prison""",2025-11-15T03:23:54Z,0,0,en
UgwOQr_yPLfPs0ubLXl4AaABAg,@LeTtRrZ,"""Bombed to rubble in 1945?"" The only way to defeat a demon is to say its name, lest you become it.",2025-11-15T01:03:22Z,0,0,en
Ugz8jyF6ud2_gfIKaYd4AaABAg,@WingsAboveCS,The difference in planning between this abduction and the Heineken abduction is amazing to see.,2025-11-14T19:32:36Z,1,0,en
Ugx6iOD2EhmZXaZ5ell4AaABAg,@timgluckman8663,Upsides: authentic film from 1971 or so. Satisfying mix of crime history + business story of Aldi's growth,2025-11-14T17:39:44Z,0,0,en
UgxYyz_ziEeBYGJGGN94AaABAg,@GhettoFabuloso,1:16  The floating visual was already great. Keeping the collision between the guy and the milk bottle was just the animators having a good time 😂,2025-11-14T15:02:32Z,0,0,en
UgwwKe8VEQ6idN6Gkq94AaABAg,@ShailShankhavara,This is THE BEST,2025-11-14T13:32:27Z,0,0,en
UgwVO5EABzIHoYCk0lZ4AaABAg,@ReinaLesbiana,these old males grooming young women all the time make it impossible to hear this story,2025-11-14T11:14:24Z,0,1,en
UgyNM10hkYCdyUqPuzp4AaABAg,@Noseface248,24:30 voice crack 🙏 😅😅,2025-11-14T01:19:31Z,0,0,Other
UgzJNjni4q8bluHJOT94AaABAg,@user-so7fc9in2m,"Aldi's is just another Walmart. They may cut costs in all areas but never for the CEO, and when it comes time to either cut quality or give the CEO a 1% decrease in wages, theyll never go with the latter",2025-11-13T21:29:18Z,0,0,en
UgyeTG5uhhh14Vtc4RN4AaABAg,@georgekurgansky,A man tries to save everyone money and dumb crooks come along to tax everyone for their own greed and complete lack of imagination.,2025-11-13T20:41:57Z,0,0,en
UgzNPo6QG1HRLlcElot4AaABAg,@yasininn76,"Are we seriously just gonna accept that the church could know about such crimes and legally be excluded from having to tell police? Seriously, nobody finds that insane beyond any type of objective logic?",2025-11-13T03:29:48Z,0,1,en
UgwCq9Kpe-pOUto3n2J4AaABAg,@ThisLadyIsNotTheSame,I'm an Aldi shopper because they offer the best prices and goat cheese products,2025-11-12T23:17:44Z,0,0,en
UgzSgurvDVsh9DA-AtN4AaABAg,@DrAwesome87,1:01 Bro boutta lose his dih 💀,2025-11-12T21:02:25Z,0,0,en
