Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwuD0ew3Ix5K2jeD_J4AaABAg,@poplu7076,Your content is becoming better day by day.... Kudos 👏👏,2025-11-24T03:20:13Z,0,0,en
UgwiDjaT3-sEZQFWux54AaABAg,@ch4osedits,"brother, it's not meth, it's mefedron",2025-11-24T03:05:37Z,0,0,en
UgwgAbxV3hqGCC8jHax4AaABAg,@ermmmmmidk,13?????,2025-11-24T01:49:12Z,0,0,Other
UgwlKilcQXASa0K4VoF4AaABAg,@pistonzulecki2137,i took meth for fun is a totaly normal statement,2025-11-24T00:50:21Z,0,0,en
UgzLgbWi0YecibIcbP54AaABAg,@free4sin0,"Its not even meth , ita 4bmc or 3cmc or 2mmc , balt salts..",2025-11-23T21:22:13Z,0,0,en
Ugym5Df-gVxn1Kex3n94AaABAg,@milton51,Molecule,2025-11-23T19:58:51Z,0,0,Other
UgwRMqCFK39pQTxrqoV4AaABAg,@aaaaaa-aaaaaaaaaaaaaaa,Sadly there is no adderall in Europe and ADHD is not taken seriously. I use meth microdosing for this reason and I never ever use it recreationally.,2025-11-23T18:23:11Z,2,2,en
UgzyXZQfchfU7jHf6LN4AaABAg,@jadapinkett1656,Damn. I thought Meth was only a thing in the USA,2025-11-23T15:56:29Z,0,0,en
UgyGAdP3Skpjtmpocit4AaABAg,@Robi-cg8mu,"make it legal. no black market, more tax money, more tourism for countries, lab tested safer products. overall it wont really change the usage rate so legalisation is the only racional choice",2025-11-23T14:37:47Z,0,0,en
UgyAWRWMbOAYqCXNY6t4AaABAg,@TomotoVintagemx,"it's the forbidden fruit, just like many other drugs",2025-11-23T13:35:24Z,0,0,en
UgwzLaZFc47-a6ACScx4AaABAg,@smlincur,no it isn”t,2025-11-23T11:33:45Z,0,0,Other
UgyQUJ5DpA8Dk6vYi5R4AaABAg,@miguelholacio4926,Ostrava number 1 city!!! Not suprise at all.,2025-11-23T09:57:15Z,0,0,en
UgzLPDVQd6AlJqKSmUl4AaABAg,@rawrburger1284,"I knew someone who was addicted to meth. They were homeless for a while and when I met them they were living in a crappy home. I tried to help them out whenever possible, but they didnt tell me about their struggles for a long time. At the end of our relationship I realized they had damaged their brain to the point of psychosis. They told me their ancestors and god would speak to them through youtube videos, the people in it would tell her personal things. I live in Indiana, U.S. where meth is a large problem for the area. I haven't heard from her in a couple years, she moved to her family home halfway across the country. I still worry about her, I can only hope she has gotten help, but it still worries me I can't get in contact with her. I have her added on multiple social accounts and she hasn't been active for over a year now. I can only hope she left her past life behind and hasn't passed away. Hard drugs are an evil. If anyone you know is struggling with them, please do anything in your power to help them fight it. And don't even think about starting, no matter how good someone says it makes you feel, it won't be worth it in the end.",2025-11-22T23:38:24Z,0,0,en
Ugz1Yi3xS4A6OXwvszl4AaABAg,@Karthig1987,God bless all these people with recovery,2025-11-22T21:59:20Z,0,0,en
UgxnPKAw8Zf8emBQJTJ4AaABAg,@marco_exc6745,Crystal dunkel,2025-11-22T15:20:23Z,0,0,Other
UgzZltpGz9Uhivya36h4AaABAg,@Svensemannen,"I thought I was struggling really hard to get over my cannabis addiction, but I can only imagine what it’s like for these people",2025-11-22T09:15:02Z,1,0,en
