Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugzq87udb7dOADy8hrJ4AaABAg,@spooksgallery1447,8:16:23 I've got tickets to see bbno$ in Detroit. I am so excited. 🤩,2025-11-12T16:07:56Z,0,0
UgzfF3QGua3_tJaXiBh4AaABAg,@thatguywholikessoup,Bibinos is everywhere istg,2025-07-04T05:39:48Z,1,0
UgwylwxaKfSi-U7r5_p4AaABAg,@AlienFan25,"Starting to realize that I may have missed something big. But I'm like most things in life. I'll forget it and remember it later. Better to move on, but not by choice.",2025-06-10T19:51:44Z,1,0
UgxTS3yCFSCYpca9hYZ4AaABAg,@JeremiahGraber,this is totz POGCHAMP ;],2025-06-10T12:35:36Z,0,0
Ugx43THy0W8aXh6vryV4AaABAg,@TheLegendaryScatman,To think this all started because a dude wanted to do a solid snake impression on youtube,2025-05-03T17:26:30Z,2,0
UgwHNa-lqvnDuVviagp4AaABAg,@severnhisonimate5373,Why did they take someone with PTSD to a gun range?!,2025-04-27T02:52:46Z,1,0
UgyTBFkxG41O_VdhK4h4AaABAg,@SerialDesignationR-e1r,That was very of smii7y 55:54,2025-03-25T03:01:52Z,0,0
UgzHtkA_6O4_ry3NOgx4AaABAg,@shv9029,It's been so many years and I'm still broke... Will be able to help one day,2025-03-03T11:59:20Z,0,0
UgwFau60nJvmWY3fwGB4AaABAg,@fan-done1856,What happened to mark?,2025-02-26T01:50:50Z,1,0
UgxOpKFb1YMgpwweSO54AaABAg,@IAMNOTFUNNYwig,"5:36:05 BRO IS THIS THAT NASTY ASS ROBLOX GUY?! Respectfully ofc, ik ik mental health but thats all i remember him as, i have no other description",2025-02-16T23:37:48Z,0,0
UgzfS-i1WcaJE0XDTON4AaABAg,@MrRade777,I think all the mental issues could be dealt with by out Lord Jesus Christ. Please read the gospels and sewk Him for mental help! He loves us all!,2025-02-09T07:26:55Z,0,0
UgzDVNX4QLKn776WWW14AaABAg,@OliverIsOverwhelmed,IN THE SECOND HALF THEY BROUGHT RANBOO OUT WTF AAAAAAAAH RANBOO IS LITERALLY LIKE MY FAVORITE YOUTUBER EVERRRRRR 6:58:15,2025-02-09T03:43:24Z,0,0
