Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyXFy9k3MXQDwpmm754AaABAg,@jacksepticeye,2014 Jacksepticeye is BACK,2025-01-28T17:26:07Z,24359,530
UgzsMV9TWCO7xAa7lAF4AaABAg,@benjaminjanowsky3388,where bird,2025-11-19T03:37:03Z,1,0
UgxKOiXt_0q0Au8Tt9R4AaABAg,@catonmahkeybord5967,JACK THE RAMP NEEDS TO BE LOWER,2025-11-17T05:42:42Z,2,0
Ugz8X4mSy4V-6wBx0BZ4AaABAg,@ScarecrowsLAY,2:52 from punch em to punch up what an upgrade,2025-11-14T07:34:02Z,2,0
UgyH_8o4qPBGp2Qe1FF4AaABAg,@MomoKenshin-n2r,2:56 how bro got his dispatch,2025-10-30T12:59:54Z,1,0
UgxjeQhrJwgDv56uKVB4AaABAg,@jeefori,Where tf did the car come from lmao 26:31,2025-10-26T12:34:28Z,0,0
UgwJouV9K0u44sPe7-94AaABAg,@carriemccarthy9261,And the rivalry with snowplows continues!,2025-10-14T11:17:11Z,0,0
UgzSKpYIUQJkZPa4HWV4AaABAg,@SauceyRedHN,19:30-19:45 cracked me the fuck up LMAO,2025-10-13T03:25:58Z,0,0
Ugw_LjH9or-MJdTkRPl4AaABAg,@RoomtemperatureIQ-z5v,Jacks got gray hair….,2025-09-19T23:36:10Z,0,0
UgxXLPdE2oG2SpxoLNR4AaABAg,@ironkiller8574,Jack we need more caramel space program videos,2025-09-15T17:49:59Z,1,0
UgxdXK9I8l1WyMB3dlR4AaABAg,@BisbordUser,I am bawling my eyes out of pure joy.,2025-09-05T10:39:17Z,0,0
UgzeGSBYmW6MTeHWMv94AaABAg,@michelleamaya6446,Broo iOS on phone no,2025-09-02T06:32:32Z,0,0
Ugx3WSuLdJBQIp1gOz94AaABAg,@michro1982,"I dont know if youre responsible or yt is, but your channel, by far, has the most ads of any other sub. Approximately every 3mins. It making your videos a chore to watch man...... its actually a joke",2025-08-28T03:24:42Z,0,0
UgwdpjufNy2uxdlsbfB4AaABAg,@KOF1018,Is this a demo?????,2025-08-26T20:06:16Z,0,0
Ugy0mp5tiY-TUZrSrvp4AaABAg,@kaydraven,11 years later and Jack crashing into stuff can still make me laugh and feel better after a crummy day. Thanks ❤,2025-08-26T18:48:38Z,0,0
Ugz9Cnjzv1ulqDsaho54AaABAg,@St.rangermusic,Haven’t watched this channel since 2017 or 18 when I was in high school. I am healing my inner child,2025-08-23T16:31:47Z,0,0
Ugwk1EsuLBFLpctNcm14AaABAg,@DanielTubeXD,10:57 OUUUHHGGGGGG Got me on the floor😂,2025-08-22T22:28:50Z,2,0
UgxHg1DE0D_sBRi1x6B4AaABAg,@VALKOU_OFFICIAL,"We need to find Mark playing this now. Damn, I would love to see him play the second game even though this video was six months ago.",2025-08-21T20:36:11Z,1,0
UgyA3F8u7LTdGDaeBHF4AaABAg,@velentr,Im in serotonin heaven!!!,2025-08-19T09:44:35Z,0,0
Ugx7xU0zDAh5GCJDQbl4AaABAg,@CristianLeon-w3b,No way... its back???,2025-08-18T06:34:38Z,0,0
UgxlUvYUqj_UmpS8AYp4AaABAg,@claytonstephens4425,Is there a turbo dismount 3,2025-08-17T18:02:56Z,0,0
UgzdDbeWWSS5QnA0v0h4AaABAg,@DaemonCaedo1,The vehicles are way too fragile in this one.,2025-08-12T09:00:53Z,0,0
UgzKkzRe-lGXa1BjzO94AaABAg,@Fizzy_Alyzza,OKAY LOVE THE VID JACK BUT I NEED TO TELL PEOPLE ABOUT THE AD I GOT ON YHIS VID THEY SLICED A BURGER LIKE A PIZZA NO DONT CUTS BURGERS LIKE A PIZZA,2025-08-04T23:06:52Z,0,0
UgzfpqiyYP5ubYFES2h4AaABAg,@Knockoffappguy,"u should play ready is not!

It a swat sim and its a good challenge",2025-08-04T19:26:14Z,0,0
Ugy9JVcPTscmKHtDAlx4AaABAg,@Leon.s.kennedyre4,Childhood,2025-07-31T17:00:46Z,0,0
Ugwm8XH7mW5eWZMo_Hd4AaABAg,@olivercosmicwolf756,"20:32 as Jack once said to his rival in the original game 
*FUCKING SNOW PLOW*",2025-07-29T04:55:32Z,0,0
Ugyv2ijmahQocSmieCx4AaABAg,@usenpol950,Will go to the parking,2025-07-26T08:17:55Z,0,0
UgyPWWq9G7dvZ1BGjeh4AaABAg,@BOB_HOPE859,Looks great but the models look abit cheap. I liked the old matt finish on the old game and the models had great proportions snd placement. These kinda feel like toys.,2025-07-25T22:01:06Z,0,0
