Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxLSDLGp-a9HHINKU54AaABAg,@karenh6665,Asks for tips the previous videos then says “stay out of it”😂,2025-11-06T17:48:34Z,0,0,en
UgztviBFuwmoERcc5S54AaABAg,@adamwall8615,Checkpoint 5. 1:37:21,2025-11-03T12:51:21Z,0,0,en
UgxNO8CAsjGXrE3acol4AaABAg,@InTheLight5292,1:24:30 You’ve actually reported a ton  of your earnings! That’s the point of the money laundering 😎,2025-10-31T22:02:57Z,0,0,en
UgwfjxgZbN9ecmw9P5R4AaABAg,@ChristheFroggyNerd,jack you need to come back there’s a mafia for you go against,2025-10-30T05:48:07Z,0,0,en
Ugzw_W-dlcYZ_N5DM0B4AaABAg,@agenta0066,People say go faster I say go slower take your time I get out of breath watching this,2025-10-28T22:38:34Z,0,0,en
UgwOpvyD1QqTLeb8wkp4AaABAg,@dirtdirtdirtiest9607,"1:37:00
""Whoa! I thought that was your head! 😂""

*Wigged out by the hat but ignores the magnificent glowing eyes*",2025-10-26T13:59:25Z,0,0,en
UgwCvAgboVKUjn_mlGR4AaABAg,@bagandbroad,Uncle Nelson makes me laugh every time,2025-10-17T07:56:02Z,0,0,en
UgwNccXuAFaKwGj6OaZ4AaABAg,@dare2bgreat,Have zero consideration for my time editor. You know better.,2025-10-16T14:43:35Z,0,0,en
UgwnbKyZbBMOsXXbxBZ4AaABAg,@Zanni7712,Very insightful reporting.,2025-10-13T23:58:45Z,0,0,en
Ugw1Aa72o497F3-ZDKF4AaABAg,@SSJ_Rammenmen,26:05 it's like saying goodbye to the contestants of a game show,2025-10-13T17:30:59Z,0,0,en
Ugzz5DlchYkz75uZ7HJ4AaABAg,@poteto4372,Occifer😂,2025-10-09T23:27:54Z,1,0,Other
UgwZfl5t5MS2WQJRe3Z4AaABAg,@jenningsellen,This song is amazing!,2025-10-09T12:35:16Z,0,0,en
Ugyx3SkbOXGcnJUaDZ14AaABAg,@JumCody,Perfect song for my playlist.,2025-10-05T14:50:24Z,0,0,en
UgxyD0_ugmo9-0heg6h4AaABAg,@Zackattack06,"NOOOOOO, JOEEEEEEEEEEE",2025-10-03T19:13:01Z,0,0,Other
Ugyk84AITlAmQEaj5TV4AaABAg,@AydenBassett-w5s,Release the uncut videos as separate videos please,2025-09-29T08:29:17Z,0,0,Other
UgxxBVABa5bEYiX23C14AaABAg,@someguy165,Artstyle kinda looks like Poptropica.,2025-09-27T17:47:15Z,1,0,Other
Ugx3UrLKysUTHfQ-de14AaABAg,@jocelynr.1456,My power went off like right as it went off in game and I got SCARED AJDK,2025-09-24T07:37:27Z,0,0,en
UgzW5tXEhxAVestPwQt4AaABAg,@jawslash,You've been playing this game for twenty hours and you still haven't found your inner weed😢,2025-09-18T00:34:51Z,0,0,en
UgxG-6JJUVloVc-9GsF4AaABAg,@nyalpiers7203,Awh I really want him to do weed too,2025-09-14T17:05:19Z,0,0,en
UgxrsRIkTGTFfAdCw4Z4AaABAg,@Branogeni,"At 1:02:30 ""It takes THREE TAPS, Barbara!"" it's unreasonably funny, I laughed for a whole minute straight at this, it's the way she's just hammering at the air for like 30 seconds 😭😭😆",2025-09-12T16:00:56Z,1,0,en
UgxAUNWi3sPCn2IMkJt4AaABAg,@cierralove168,Can someone please make an edit of him just reversing into that trashcan every time he leave his house 😂,2025-09-08T14:04:30Z,0,0,en
UgxRU2LxgN7x7nW1uK14AaABAg,@MaraLaberge,"I kept dying for him to buy a cuke and drink it, than mix with it lol 🤷‍♀️",2025-09-01T05:04:24Z,0,0,en
UgzkxLMml4TBgOtvAa94AaABAg,@Setsaled,The passive aggresive editing messages had me ROLLING😂,2025-08-28T18:42:59Z,0,0,en
