Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxkNxAsTHOggo1jRud4AaABAg,@merlot21,Sean would have loved the cartel update,2025-11-19T13:55:54Z,0,0
UgyRX-Ct1OaKzRpYBlV4AaABAg,@Bearninja575761,I love this game it’s so good,2025-11-19T13:25:58Z,0,0
UgzWX-hU2G4YKrUj-4N4AaABAg,@djluckygaming1,Cartel was added need to see a new episode 😭😆,2025-11-08T03:06:23Z,0,0
UgyozJkImsfG92G_1tt4AaABAg,@JahkiBoy,9:19 👍 when you see it,2025-10-28T17:45:25Z,0,0
UgwXc-mxgRQfTxV32MJ4AaABAg,@Azarihasablanket,sean you are legally obligated to play more once its finished 🙏🙏,2025-10-28T01:11:55Z,0,0
UgypFx6iyCFTd5jo11h4AaABAg,@CreviaUsa,Punish the toaster!!!,2025-10-21T18:37:47Z,0,0
UgyoN8DrtRKhClrexFd4AaABAg,@jesskunges2823,"They have updated it quite a bit I really hope Sean either continues or replays it from the beginning, because they have changed how you progress and added some pretty cool things into early game.",2025-10-19T00:59:34Z,1,0
UgxzhapoMkwf7ojAShB4AaABAg,@cassandrabraley6790,Wish you’d play this again since the new update has come out !!!!,2025-10-18T09:47:01Z,1,0
UgxEcGNQSP23fuIR5dR4AaABAg,@RhinoBearce,Why did the anonymous person on call kind of sound like Sozo from Cult of the Lamb?,2025-10-16T02:13:59Z,0,0
UgyF38D8pdHGcbdI7r54AaABAg,@thechunkymonkey124,will you bring this series back for shrooms?,2025-10-15T17:20:43Z,0,0
UgxzuW9_cnVNqmKmdyJ4AaABAg,@BriannaSmith97,If would be so cool if there was “a way you could jump in and swim?” … a kraken showing up. Okay well mine wouldn’t work if yours was true 😂,2025-10-13T14:01:40Z,0,0
UgxV1PdnGRxIR9IXi-14AaABAg,@LostRed_Fox,"""ghost face killah isn't even dead""",2025-10-09T09:09:33Z,0,0
Ugy1C8Nsy_z8DfBU0dZ4AaABAg,@hannahallison6073,"Did you know that in the prologue, if you go outside to Uncle Nelson before bed, he's standing! I was playing it and took a picture of him standing out of his wheelchair. 😂😂😂😂😂😂😂😂",2025-10-05T17:04:56Z,0,0
Ugy6aaLCnSgQswNm30N4AaABAg,@tmoneyjorkin,pspspsps mr septic guy there’s an update to this game if ur interested,2025-09-23T11:13:10Z,0,0
Ugy3UQYIdHg4OCy4U1x4AaABAg,@mckenziemcc1637,So do we think that jack is coming back to this game now that its getting bigger updates,2025-09-18T22:16:03Z,0,0
UgxNg5A0uXcpFdPO-dR4AaABAg,@LizzyDizzyYo,JACK THERE'S A RIVAL CARTEL NOW!!!!!!!,2025-09-18T00:02:07Z,1,0
UgxV_ffRIe7S4jKTq7J4AaABAg,@emily_grierson,"We need more now that the cartel update is out. And we have something coming for Halloween, then Shrooms.",2025-09-17T12:11:57Z,2,0
UgwBSJZ77KnipRPJ-014AaABAg,@DocScalawag,It's absolutely crazy playing this game today and seeing all the stuff Jack said should be in the game. Things like lockers and the even the golden toilet are now features...,2025-09-14T14:08:32Z,1,0
UgweUdsKJWd2GliQY4d4AaABAg,@nicholasloughlan8323,Just be playing stardew valley the hole time with the hole playlist was go,2025-09-12T16:35:10Z,0,0
UgwBnqWqqe9Rd9GKkC54AaABAg,@neal8317,Any chance our man will ply the new updates when they come out? Right now they changed things up with the Cartel update.,2025-09-11T02:01:49Z,0,0
Ugwe5_XIr5C24AASpmB4AaABAg,@ansleywoods3249,JACK!!!! they added the cartel if you didn't know!!! GO do it!!! pleaseeeee I neeeeeeed tht content!!!!,2025-09-08T23:28:07Z,0,0
UgwZbAIL_MRBeQpdRlB4AaABAg,@D4RKERL-09,The sad thing is that we don’t know what happened to uncle Nelson after this😢,2025-08-31T10:20:59Z,0,0
Ugzv-9dEVejtCk3CKRt4AaABAg,@acient_diffy,17:20 tought about his life descisions,2025-08-30T18:22:55Z,0,0
UgzVEzXQLKtqUqpx_5R4AaABAg,@OomptyAhh,PLAY THE CARTEL UPDATE!!! One More Ep! One More Ep!,2025-08-30T03:03:13Z,5,0
UgzGyHVL0jXSOKNsv3d4AaABAg,@hufflepuffsbadger6665,"I’m sending this throughout the series because I think it’s an important message to read about. 

Importance:  I don’t recommend cannabis/marijuana to children, which I may sound like a hypocrite. You can call me a hypocrite. I don’t care children shouldn’t do it. I was a dumb kid who didn’t know what it was doing to my brain and now I’m an adult and I understand what it did to my brain and why they make the law 21 and over Not under 21 

It is still a substance that messes with your brain and people can still get into car crashes when they’re on cannabis and they can swerve their car when they’re on cannabis, which is why they say not to take it while driving because it’s equivalent to alcohol so roping back to the original subject, 

I think we shall have this mature conversation because this is a game about drugs and it’s basically based off breaking bad with the route it’s going, but it’s a game based off drugs, and that is a severe topic that should be discussed and not taken lightly even though the game itself looks  really fun. I think it should only be promoted to 21 and over for the sake of it dealing with drugs itself because promoting drugs to children will inadvertently promote the idea of them doing drugs, which is not a good thing and the video game industry is normally for kids, children, and minors, which all of which should not be doing this type of game. I feel like this should be for 21 and older or at least 18 and older because in some countries when you’re 18, you can legally buy alcohol. I mean I was 16 and I could buy beer in Mexico and they just kept serving me. They didn’t even ask for my idea or anything still though the substance it’s just it’s not good for the brain development because there’s things like schizophrenia that people can develop when they do these types of drugs and just any drug that is not prescribed by a doctor to the minor 

So I do think it’s good to have a healthy discussion about this topic  because even though it may feel nice in the moment, it definitely does things to the human brain and even though it’s not Mixologie, it is along the same lines as Mixology because you’re dealing with the substance and chemicals while Mixology deals with alcoholic chemicals versus chemists and pharmacists who deal with drug chemicals and then you have dispensaries places where they can provide you with cannabis 

Very similar field, a strong silver lining to it  and both require a person to be 21 or older for the safety of their brain and body 

Like I said, though this is kind of one of those games where it’s like it’s fun for adults because we adults. Our brains can handle it. Our brains naturally can handle this kind of thing because we are more developed. Our brains have grown past those teenage stages of our lives and Those child stages of our lives and I also want to point out that even though we are adults in our brains can handle it. People still use these types of substance against us in certain scenarios, which is why drugs in general it’s just not safe for kids unless it’s a medical drug that’s prescribed by a doctor that is not cannabis or any medication that will affect the brain to a permanent damaging stage to the adolescent/minors brain. 

Again, this is like one of those very mature games and this is a mature subject that teenagers should have no saying and I understand that when you’re a teenager, you wanna rebel you wanna defy your parents you want to feel like you have some semblance of control, even though there are laws surrounding you Protect protecting you and preventing you from doing certain things, but for the safety of your very core being and I understand that some teenagers want to try drugs and alcohol I understand because I was one of those teenagers I did cannabis and I would steal my parents, beer and wine and vodka, and tequila and basically general alcohol and I would try to defy the system and be some big shot and it’s like not a very smart thing to do because I seriously damaged my brain and I would’ve made it a lot worse if I hadn’t stopped if my parents hadn’t caught me and tried to knock some sense into me and make me stop because my birth mother had schizophrenia, and even if she didn’t have schizophrenia, I could’ve easily developed schizophrenia through the chemicals and through what I was doing to my body, I was feeding into it and eventually, I would’ve started to gain symptoms of it or depression or an addictive need and I’m aware of the addiction is a hard thing to break because it runs in my family 

And drug addiction and alcohol addiction. They are not fun and I won’t say I was a full on addict as a teenager, but I was pretty close to that point when my parents got involved and when I say my parents, I mean my moms cousins that adopted me when I was a baby and raised me because my birth fathers not in the picture. 

And even if you don’t have a relative or just any family member that has schizophrenia, you can still develop schizophrenia and then pass it onto your own kids through alcohol and drugs, and an adolescent brain that’s been affected by alcohol and drugs. It can do some serious damage to it and some permanent damage you can stunt your own growth by doing this so I don’t know why people want to think. It’s the coolest thing in the world to do to break the law to Act out to rebel. I understand it because I used to do it myself, but I look back on it and I think about how idiotic and how much of a moron I was because I did those things like if I didn’t do those things I wouldn’t be a moron. 

And I hope to anyone that sees this message knows the severity and the importance of doing drugs, alcohol, and just any general substance and the dangers that come with it as well as why those laws are in place to begin with to protect people of a young age and why they matter and why they are generally important to our constitution here in America, and I’m sure any other country as well. 

Don’t do drugs, don’t do alcohol, stay in school and get your education. ❤",2025-08-22T01:23:05Z,0,0
UgylRAsUqk4ZFbT0DHF4AaABAg,@tiescoolen,"I have not watched in years. I outgrew you, or you outgrew me. I’ve been watching more and more now, and I must say, we’re reconnecting… or well, I am! Youre the best, keep it up man, from episode one of Happy Wheels to here, crazy it’s been 13 ish years i think😂",2025-08-19T17:30:47Z,0,0
UgxuyeTiqHCxyaDMcyN4AaABAg,@ceielphantomhive7749,Hopefully with the cartel update now here Jack will revisit this or do a replay series once it’s fully released,2025-08-16T13:27:06Z,1,0
UgzhDrzu5DTwApUeGtx4AaABAg,@mytalllittlebunny,"""the priest is a coke head and has disposable income""
game review: realism 10/10",2025-08-13T11:56:31Z,0,0
UgwC2by8YEerBl9si3p4AaABAg,@lovelysophxox,"“Are you actually even doing anything?”
“😒”",2025-08-11T17:03:01Z,0,0
UgxCdTWdXRFTId-7t3B4AaABAg,@BIuishness,"Can’t believe I’m at the last video of this series, as I was binge watching straight, really enjoyed this, hope to see more of this in the future. It’s so much fun. 🎉",2025-08-10T23:38:45Z,0,0
UgyN9laRQD5CI7clWK54AaABAg,@montanalloydscheel2247,Jack play In Sound Mind.,2025-08-10T20:39:00Z,0,0
UgyvMsk8sQ99BOLcxOZ4AaABAg,@ellabluecreates,I read “body” and thought bro passed away😭😭,2025-08-07T07:03:16Z,0,0
Ugx5qW-MfRrfQeBS87J4AaABAg,@blushymae,"""The game has come to an end...""  *immediately restarts the playlist*",2025-08-01T11:57:46Z,0,0
UgwTALZYBdjE7LGzx3B4AaABAg,@thedarkdragon89,"Jack, you gotta come back to Schedule 1, the Rival Cartel update is coming or is already available. (Depending on when you see this!)",2025-07-31T21:28:25Z,3,0
UgxZ4KaPh0ojKfdfGzB4AaABAg,@lilycooke9473,"Hey jack, are you aware of the kindergarten three that came out?",2025-07-30T06:06:06Z,0,0
Ugz_0OzDVPwQIDwh10h4AaABAg,@hjordan2814,"50:45 yeah sometimes the UI just messes up and doesn't show the things it's supposed to. You did get paid, money went up by $900. Really the only time that Satisfaction wouldn't go up from a deal is if you shorthand their deal. Welcome to why Ray and Jeremy are the worst. How dare they have standards of ""Not getting high while on the job""",2025-07-28T18:34:38Z,0,0
UgwtczfoJ6R-p4wg_GV4AaABAg,@P4GEDM4RS,"Jack(septiceye), I know there’s a likelyhood that you won’t see this comment or even know that it’s here but, I wanna say this…. Jack, you have been one of the most influential Youtubers of a lot of people’s time, including myself. My parents used to get mad because you’d swear a lot so I hid in my room to watch your videos back in like 2014 you would always make my boring days fun Because I genuinely found your videos, funny, and all I can say is that you will always be one of my favorite celebrities ever and that sometimes I wish I could rewind time to when I was young and watched those videos for the first time again thank you for everything Jack. You are a big inspiration the most people. And I thank you for everything you’ve done within the last 18 years and again thank you for everything you’ve given us, And you really are one of things from my childhood. I remember the most which also include stuff like Markiplier and Fgteev Have a good one, Jack..I always be a fan",2025-07-28T05:11:48Z,0,0
UgxcpVDpK4weEF0cN4J4AaABAg,@volkeon3693,"The amount of money Sean DIDNT get because he refused to list products for sale and just chased people down in the streets, has got to be in the tens of thousands 😂 Love this guy",2025-07-25T19:40:00Z,0,0
Ugx3AlAYz3AaqCVZZql4AaABAg,@dashi1838,"Idk if you'll see this, but I've been watching a ton of your videos to cope with losing my cat. You're one of my favorite YouTubers",2025-07-24T02:40:24Z,0,0
UgwUwAhX0gI4bCPhif54AaABAg,@biggnateboegel,I find it funny that his colorblindness can't quite notice the difference between Michael's red car and the orange car. Human quirks that make the world better.,2025-07-20T00:53:54Z,0,0
UgwQhpLMxU3TrzjWA-V4AaABAg,@Judither,I would have never expected you to curse in german xD i love it,2025-07-19T00:40:32Z,0,0
Ugw8f9vyse9i-5rikVl4AaABAg,@emeraldgem3571,I'm not gonna lie I procrastinated the hell outta this episode😂,2025-07-17T23:59:21Z,2,0
UgyyMPOtumKmdUu0JnR4AaABAg,@gilliankearney3534,Ireland is the best country in the world,2025-07-14T22:40:00Z,0,0
Ugx3woqMxQakkLH1fz54AaABAg,@TheBussaca,"2:34 apparently Jack's comic distributer is the squirrel from ""emperors new groove""",2025-07-12T20:38:52Z,0,0
Ugw0MsxRiHtokflk21R4AaABAg,@MisterTingles,toaster's on the fritz again...,2025-07-12T12:54:34Z,0,0
UgylmD_hD49o1i5nSTd4AaABAg,@EtherealCatGames,I'm going to miss watching this series a lot. I hope that when the game is updated and has a proper release that you'll come back to the game. It's been so much fun to watch!,2025-07-11T16:18:53Z,1,0
UgwzqQqUJx9lgAXdQYp4AaABAg,@apimpnamedslickback3643,This game is like getting edged and then ruined,2025-07-06T12:35:07Z,2,0
UgzMDkHdCk1H0Bnoyup4AaABAg,@OoOAUTOPHOBIAOoO,15:16 IVE BEEN WAITING FOR THAT REFERENCE EVERY TIME YOUVE SAID HIS NAME 😂,2025-07-06T07:21:08Z,2,0
Ugx0Jd-BW8bTBRmH_eZ4AaABAg,@mamadrxgon,"""You wanna hear the most annoying sound in the world?"" 48:01",2025-07-05T21:28:25Z,0,0
UgypelKOi7-wAp5HtNR4AaABAg,@willneal6206,This is my first vid back since 2015 proud of far you came from skate 3 and gta keep er going Sean 🙏🏾,2025-07-05T14:03:50Z,1,0
UgziDxDliV9nCFDHLrx4AaABAg,@jimmymcbryde7955,"Could you please make another video, and if you wanna be more sorted out in the game, you could do 3 different places, 1 for weed, 1 for meth, and 1 for the cocaine, I would probably do the barn for meth and the warehouse for cocaine so that you could have more to make and sell, I just had a random idea of it when I was watching this",2025-07-05T13:59:09Z,2,0
UgyXAmehwR50L3NVzhB4AaABAg,@GrubbsyGoop420,forgot i had it paused came back to it at 48:01,2025-07-02T06:13:15Z,2,0
Ugyll0VKdn_s9xeZV3h4AaABAg,@thebigo2677,oh noooooo my poor eyes they are so innocent,2025-07-01T22:57:23Z,0,0
UgxQ6fU5UK-UA7fWalN4AaABAg,@_CaptainJax_Games,Seeing Jack record like this with the energy he has is SO NOSTALGIC. Almost like past Jack is here with us. I'm glad he's coming back with more force and energy in his gaming. Shows he's not as stressed and tired anymore.,2025-07-01T22:12:23Z,1,0
UgwIn8NM5uauXq5oL3J4AaABAg,@Banditmax20,That intro was a sign that something is wrong,2025-07-01T18:25:05Z,0,0
UgxDU59Iu_dY-_x_1E14AaABAg,@isbracket8070,Please play the new update when it comes out!,2025-06-30T15:35:50Z,0,0
Ugwg0zq88xZ-NNFO9n14AaABAg,@ZachAttacksTech,Please bring this back! There has to have been an update lol.,2025-06-26T14:52:06Z,2,1
Ugw9fm40L3zYEamMj8l4AaABAg,@TheKonfesser,I think he forgot he bought the factory ngl,2025-06-26T06:10:19Z,0,0
UgzrvzB61O3aj4NJTv94AaABAg,@JohnSmith-lv4iq,😂 10:57 those two NPC's reacted to him ACHH! NPC's:*side steps quickly.*,2025-06-26T01:48:14Z,0,0
Ugz-mLMj9r6tEqemSf94AaABAg,@EddieKenyon-1771,I'm late to the party sorry but did you know you can multiply the price of the drugs in products by 1.4x if friendly 1.6x the original price FYI,2025-06-24T05:36:32Z,0,0
UgyF-TPVfF_qbSxaev14AaABAg,@RockXANA,Watching this episode rn and I hope sean finally customizes his character 😭,2025-06-23T12:07:33Z,0,0
UgziwEiS-HqswOOqaFZ4AaABAg,@jackskellingtonsfollower3389,30:35 Snowflakes😒,2025-06-23T02:17:43Z,0,0
UgzO2jZytdg8AqzC_P14AaABAg,@jackskellingtonsfollower3389,2:30 Wait! Was that Mark?😆,2025-06-23T01:31:03Z,0,0
UgwZ2hO0hV_TSu2sJRh4AaABAg,@Lazysod59,"""It hurts so good to be rejected by her"" is such a wild statement 😆🤣",2025-06-22T12:11:42Z,0,0
Ugx-WUXae1rAt6feFFZ4AaABAg,@Lazysod59,"Bro traumatised Ray 😭
*Absolute Cinema*",2025-06-22T12:04:05Z,0,0
UgziyI2Mu3VpsEC051x4AaABAg,@Lazysod59,This series has been amazing. Hoping to see more when the game updates as this is the most I have enjoyed watching someone play a game in a very long time. Really feels like old youtube and i'm here for that warm Nostalgia.,2025-06-22T11:29:34Z,0,0
Ugz9qsMnRo7GOcjvgo94AaABAg,@MonstersMeow,michael just sits at the post office chilling...sean comes and says michael is stalking him all the while sean has been stalking michael the whole time lol,2025-06-20T16:41:27Z,6,0
UgxUZMHcAHqZWq1n8AZ4AaABAg,@kwinnie_gaming,Wow I was not expecting this to become a comfort series,2025-06-19T03:56:43Z,18,1
Ugww-IQ0erCTPKIFBEZ4AaABAg,@3Dturtletempest,It would be neat if you got an achievement when you find all of the wheelchairs. It could be called UNCLE NELSONNNNNNNNN!!!!!,2025-06-19T00:15:00Z,0,0
UgzZ4a1ujfZOaEorEa14AaABAg,@Criminality_dudes,I miss OG jacksepticeye minecraft REMEMBER SEAN YOU NEED TO REMEMBER SAM THE WOLF THE CASTLE THE EMERALD ISLE,2025-06-18T01:43:53Z,0,0
UgxShm5krSHqgyT44rV4AaABAg,@andycrail181,"will you play more now that new content is being added, or is this the END end?",2025-06-17T02:55:54Z,0,0
UgwEJ8JR_UqvF6MehO14AaABAg,@SivirNia-w1n,i haven’t laughed so hard for a while now and i almost died laughing when u beat up ray and eventually knocked him out just dragging him on the floor,2025-06-15T09:03:33Z,15,0
Ugztz63jXuPYIrkgPXF4AaABAg,@Cygnet13,Had a lot of fun watching this series. Thanks!,2025-06-14T19:52:04Z,0,0
UgwbODzJKkVMg-HrncB4AaABAg,@asdkl740,i can't wait to see this game fully released and for you of course to play it,2025-06-13T21:47:52Z,2,0
UgzFsFFH4jAlGQtcZ1F4AaABAg,@mela.d.5342,2:33 OK LOVE YOU BYE 😐,2025-06-13T04:37:47Z,0,0
UgxRN9MeRFiY6n99uVZ4AaABAg,@Sly-Moose,"Ray didn't deserve that. He was just trynna work 😭😭
The power got to his head XD",2025-06-12T10:34:46Z,3,0
UgxKZLdLD8CAtsKg4_54AaABAg,@suziesss,Sleeping next to to a vat of boiling gasoline is actually insane to think about,2025-06-11T22:52:52Z,0,0
