Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugx0VlCrPf3_IAMP2td4AaABAg,@8Morrow8,I sleep with the door open so we can hear our daughter down the hallway in case she has a nightmare or something I can go in and get her,2025-11-23T03:11:39Z,0,0
Ugw9bFnHqPl0fE0AtuR4AaABAg,@BeesPajamas1,hair looks really good like that!,2025-11-23T02:20:36Z,0,0
UgzaAffDyJbYyVUKrMh4AaABAg,@helia4333,"I haven't been freaked out like this since outlast, amazing job from dev team 👏 🙌 👌",2025-11-22T18:16:38Z,0,0
Ugxn0PikPLDJyUZIvXt4AaABAg,@morgulis5932,1:10 way to rub it in,2025-11-21T08:06:04Z,0,0
Ugw8mCrCImyV4vPcDlh4AaABAg,@thegriffin88,"Oh Shaun, Asiatic horror is literally my one weakness. My anxiety makes me impervious to Western horror because that banal feeling of dread is something I live with every waking moment of every day. But the East? They are on some psycho LSD trip with their ghost stories. The West pales in comparison. Like screw kelpies you ever see a tikbalang? At least a kelpie passes as a horse, tikbalang is this long limbed fucker that makes it rain way too much to be good.",2025-11-19T21:13:48Z,0,0
Ugzc-iW_l6DktCEQAmt4AaABAg,@HandleNonexistent,I have always slept with my door partially open & Im not gonna stop now.,2025-11-19T09:55:21Z,0,0
UgzgmJaDD2a0qkEsI-t4AaABAg,@sakura-chan8102,Cats demand doors be open. They will scream and bang on the doors until they are.,2025-11-18T22:41:05Z,0,0
UgyJ-VNwnap36lVuqjl4AaABAg,@enbyflynn,10:50 i sleep with my door open all the way because i have an entire floor to myself and my animals like to roam(i have a cat),2025-11-18T18:46:16Z,0,0
UgwegFaksZqT7kbGZrp4AaABAg,@Blahaj42,"I have learned to sleep with the door open, for the sake of the cat beastie. But i have a door stopper and nightlight - so the door doesn't move and no DEMON SHIT occurs",2025-11-16T15:36:25Z,0,0
UgyqvutZn1D2n_vMCgl4AaABAg,@_1Mai1_,"46:47
Found the intro. For those like me that don't really listen to the rest of the video despite loving the YouTuber.😅",2025-11-13T03:35:36Z,1,0
UgzbOei7xlBo1zyh6hB4AaABAg,@1966x,"biggest unintentional flex ""no. i can make 10k at home in three days making youtube videos probably"" like damn i wish lmfao",2025-11-12T22:28:23Z,0,0
UgySeFCOaFyesupOml54AaABAg,@________no-u,i sleep with my door open 😔 cus i am not allowed to lock it,2025-11-12T16:52:43Z,0,0
Ugx_sQFutzITGxkohMd4AaABAg,@bewitchedmoonlighter,"I despise sleeping with my door open. We leave it cracked now for the cat, since his litter box is outside our room and he likes to cuddle with us at night, but it freaks me out.",2025-11-12T15:54:06Z,0,0
Ugyl_HdPwVDH9sm-r1R4AaABAg,@jacksmith3837,0:24 jokes on you im currently having my daily IBS shit,2025-11-11T10:31:21Z,0,0
Ugxm6KDtXNj5JPLBmvt4AaABAg,@caityallen2998,Oh the wall parted! I just died,2025-11-10T18:26:33Z,0,0
Ugy_sR6q604veXmnlQd4AaABAg,@ChandraLee13,"I used to sleep with the door closed and a lamp on due to past trauma, but now that I'm married and away from that trauma, we sleep with it partially open. One so our dog can get a drink in the middle of the night, and Two because my father in law is having mobility issues and it's easier to hear my mother in law call for help with it open.",2025-11-09T03:23:00Z,0,0
Ugy3TpmqaNA6Zcqq5Ft4AaABAg,@ktelynchaos,Love that I jumped at the rat 21:30,2025-11-09T00:09:20Z,0,0
Ugwn6ihoE9pQ0x5ruHR4AaABAg,@noahgaming8833,"“Can’t make out the writing, but it looks like it says leave now.”
So you were able to make it out?",2025-11-07T02:36:49Z,0,0
UgwenaL-6CL5pK5OYD14AaABAg,@NoWayJose85,32:50 that's what she said when you give your whole and still wasn't enough 😢,2025-11-05T05:52:35Z,0,0
Ugy2GHrd9OdfWVnHfBp4AaABAg,@SquishyTheVampire,I keep my door ajar because I have 2 cats and I'm not getting up every 5 minutes to let them in and out.,2025-11-04T02:01:12Z,0,0
UgyPzYtV7_J5FwLH_Vx4AaABAg,@SquishyTheVampire,"10,000 in this economy is not gonna get you far",2025-11-04T01:50:57Z,0,0
