Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxQL9qzjbh5Z1_ly-J4AaABAg,@jacksepticeye,"Guys, youtube lets me pick 3 titles and 3 titles  for a video and then picks which one YOU would like. I don’t keep changing it over and over",2025-09-17T17:42:07Z,11335,154,en
Ugx1-iOn7lhrfGn7fAB4AaABAg,@jacethebass5606,The guy in this game looks like the anti england or whatever from the hetalia fandom... i wonder if he has any basis on that,2025-11-23T23:43:35Z,0,0,en
UgxgvmT3or4sjkIy3Id4AaABAg,@BrennaDF,"That first game (the pit stop) was interesting, it felt like a very rushed ending but if the little glitches were fixed and it had a more complete ending I could totally see that as a really cool game, guy at the end really freaked me out on all fours. I really really liked the second game blood money. The art style was so freaky yet so cool. It was such a cool concept for a game, like clicker gone bad. I really liked the voice actor, they fit really well into the role and conveyed such awesome emotion. The third game (Vigil) is very, very cool. The fact that it tracks your blinking is such a cool concept for a game. And having those big robot workers move every time you blink, amazing. Jacks screams during that game were amazing and I was DYING during the “sausage” part. All and all, I have absolutely no experience with game making so I have no right to critique these people you all did such a good job on these games.",2025-11-22T16:22:58Z,0,0,en
UgxCiJb9fUC3Piz9vmp4AaABAg,@moonbeam.26,You *have* to be the next voice actor for Granny Smith the likeness is crazy,2025-11-21T18:11:01Z,0,0,en
UgxpkPw2RMNRPQ7JmoZ4AaABAg,@SamM6599,"17:43 ""Sounds like a sweet deal. AM I RIGHT LADS, OR AM I RIGHT LADS!?!?!?""",2025-11-19T03:28:02Z,0,0,en
Ugwhd9Lsk_q5pwhZv7F4AaABAg,@WesTheHunter,"15:51 Bro weak...

The dev should have made an gas station simulator with horror elements like ""Hellmart""",2025-11-18T14:21:03Z,0,0,en
Ugwsrta44zEPnyMbm094AaABAg,@AhmedMalaki,With that obnoxious voice ( I never liked that voice actor) absolutely,2025-11-17T18:35:40Z,0,0,en
UgzxD8JDd2X9bMH-shd4AaABAg,@spak805,this is first video where the person playing says sorry too harvey,2025-11-16T21:45:50Z,0,0,en
UgzEhQlsVrPrIVTqonN4AaABAg,@williamcox7730,"Don't worry Sean, one meal and they'll carry him right back.",2025-11-14T03:07:55Z,0,0,en
UgzW4B7cqezUfDcuqa94AaABAg,@QW0909,Yes,2025-11-10T22:54:58Z,0,0,Other
UgwMTyPDNjBX8s3Bx_14AaABAg,@Talon-b8r4l,"""if I were CaseOh, where would I be?""

My guess is, he went to a state where food costs less

Yes, I made a joke, sue me",2025-11-10T22:40:30Z,0,0,en
UgxYY9kzZxfJ-gP8oKh4AaABAg,@Str4wberryHalo,"""If I was casoh where would I be-""
No hesitation the bacon and garlic cheezits Ille of my local wallmart.",2025-11-10T20:43:48Z,0,0,en
Ugycv9550EZOM6t25n14AaABAg,@vloggingbecauseican5578,Jack burned through vigil so much faster then mark both were entertaining because their reactions to the monster.,2025-11-09T22:56:32Z,0,0,en
Ugw5Ib7guSn273cSlFx4AaABAg,@demoman5864,Can't believe Chara made him do that to Harvey,2025-11-04T18:26:28Z,0,0,en
UgzMhVt_2FDk1tYT6Jp4AaABAg,@a-girl-and-her-cat,"25:23  I saw this in a horror anthology series *edit:* Creepshow 2019 (on Shudder) Season 1 Episode 3, The Man in the Suitcase",2025-11-02T21:40:06Z,0,0,en
UgxfI7yADkpeiM2O2IR4AaABAg,@Steve-YT383,I would LOVE to see Sean play Clickholding😊,2025-11-02T04:22:09Z,1,0,en
UgzC_ObzSbg9p46EuCJ4AaABAg,@thatcrybabyyy,"Seemed like a good ending to me, you got ur money and extra 😉",2025-11-02T02:31:40Z,0,0,en
Ugy48svZwXDOUUSi3kB4AaABAg,@katosenpai287,I normally dont need to blink 42:53 so this game would be awesome to have on mobile. Id love to play it,2025-11-01T10:50:17Z,0,0,en
UgwUr6cJ1uNYJxiO3_x4AaABAg,@cruisematt8585,"When Jack said during the first game, “he’s just standing there”, I thought oh this would have been a great opportunity for him to have said…. and then he said it as I was finishing my thoughts, “menacingly!” Lol I love it",2025-10-31T03:57:08Z,0,0,en
UgxYsgDPT7KgZR1aPL94AaABAg,@complex2live,21:26 Barbarian from Dungeon Soup be like:,2025-10-30T06:00:54Z,0,0,Other
UgyOQqbdOr3OXUjVjnV4AaABAg,@MollykinsWoo,"Sean arguing with the kiosk guy ""buddy, you made this shop! You're making me hit you!"" made me choke on my tea 😂",2025-10-28T13:23:43Z,0,0,en
Ugz3CdazbIph9hdyV-t4AaABAg,@NotSoCreepyMonster,Like a boss!😢,2025-10-27T00:38:35Z,0,0,en
Ugz9NxylDgDlk37Nfjt4AaABAg,@oppressedminer,existential slop,2025-10-26T13:49:32Z,0,0,Other
Ugxou1u7RFJwuV4hI-Z4AaABAg,@tumpafrfr,im disappointed jack...really am how couldnt you recognize the voice actor for harvey,2025-10-26T11:49:18Z,0,0,en
UgwHmPktTA7OaXiPru94AaABAg,@Kitsune3455,can confirm using only the feather the get to 25k is in fact the good ending,2025-10-26T06:16:52Z,0,0,en
Ugxj1aJ5o6XBa9IEK7Z4AaABAg,@dourecognizemefrom2014,"Actually Sean. I didn’t watch you torture Harvey. I skipped the torture and paused for most of the dialogue, SIR",2025-10-25T13:57:50Z,0,0,en
Ugxk-UYuk49O1wDmPtl4AaABAg,@Jroobelucios,"Something interesting about the intro track in Bloodmoney! The sample used comes from an old sample pack called Distorted reality 2. This pack was used by Stewart Copeland (Drummer of The Police) for the Spyro the Dragon videogames, most notably Spyro 2: Ripto's Rage/Gateway to Glimmer. This exact sample was used in the Spyro 2 level ""Hurricos"", a personal favorite of mine.",2025-10-25T11:16:39Z,2,0,en
UgzwWCD--YuxDLgMuzd4AaABAg,@CasieLikes,Even *I* started being overly conscious about my blinking,2025-10-25T02:11:19Z,0,0,en
Ugwywt_4Nq9glGyIjsh4AaABAg,@genericallyspeaking144,Harvey reminds me of someone familiar,2025-10-24T23:56:59Z,1,0,en
UgxJlyGI1XE-1GH519x4AaABAg,@meraki4607,I hope maybe you play the second blood money game (human expenditure program) I think you'll like it,2025-10-23T09:30:47Z,2,0,en
Ugwwu3aGo_eevf1EGFd4AaABAg,@SLGayming,I already have this just haven't had the chance to play it yet. I am gonna play it today!,2025-10-23T07:33:58Z,0,0,en
UgyQJr-bV94mPWPSJYp4AaABAg,@CalliopeCrochet,I think Id just stay with the feather the entire time tbh. I like Harvey,2025-10-23T06:23:44Z,5,0,en
Ugy2TffF_O2g3VIAdYN4AaABAg,@Un-EMPRESSed,Theres a very similar game to this game The Pit Stop called Gas Station Case it uses the same exact layout 🤔,2025-10-23T02:00:12Z,0,0,en
UgzxAwqoKOgxcXvS1vZ4AaABAg,@acmild,"Wait Sean, is Before Exit game using the exact same Assets as the Pit Stop?",2025-10-22T12:24:21Z,0,0,en
Ugwhbg2ZgbQSo5TTWI14AaABAg,@karmazaneyaz4064,"Hey Jack, I hope you are well. Thank you for all the great videos!The blood money game reminded me about last Thankmas... I donated 10 bucks and left the message that I really need medical help and asked if you could help me..  I know youre not a doctor, but maybe you could set something up for me??    I tell doctors they are just pimping me out for my insurance money... I am so sick and I need help so bad.  I am not trying to make yoy feel bad... But you said it perfectly about America's health system. Think about this... my neurologist wanted me to come into his office to do a video visit because they barred me from their app. . I cant even leave my house I am so sick. I am sorry to bug you.  Thank you",2025-10-22T02:50:11Z,0,0,en
Ugzp7mqwoF5osj99YE54AaABAg,@Silver_Wolf_24,"Seas: mentions Brazilian jujitsu
Me: fucking cries because I actually know Brazilian jujitsu, boxing, and judo.",2025-10-21T13:44:00Z,2,0,en
UgzQ_LIdPGijsoYKwKN4AaABAg,@GabbyGhost22,"Immediately when I saw the thumbnail and title, the first thing I thought was ""for how much?"" and ""will he fight back?""",2025-10-21T10:36:30Z,0,0,en
Ugxl_B71JVU9hjsKapd4AaABAg,@aurimercy1440,"Awesome sauce (like always)!!! Are u gonna do the full length gameplay of ""I'm not human""? Would enjoy it lots too!!!",2025-10-20T23:32:30Z,0,0,en
UgzayyQ5dmTwzGDV7IB4AaABAg,@ashtongray267,"jack: WHERE IS THE GENERATOR
also jack: *looks directly at the sign telling him where the generator is as he's freaking out*
jack: AM I LOST AM I STUPID 
😂😂😂😂",2025-10-20T23:18:05Z,0,0,en
Ugz229wFmW_aaT79oe94AaABAg,@bzykslayer,"21:23 I doubt anyone will read this but thought I'd try and answer the question! It actually depends on a lot of things. Mainly, where you're poking the needle, it is clean, are you clean, the sharpness, is it the same place over and over, etc.? But the short answer is yes! For example if you're poking at the heart over and over again and the needle is quite sharp. 
But if it's a standard sewing needle, well, it's still yes, it'll just take a lot of time. Hope at least someone found this interesting lol. Feel free to message if anything is unclear:) 
Take care!
Edit: My deaf ass just realized Jack asked ""how long"".
Let's assume he means the standard sewing needle... and you're poking at the heart... 
Yeah, a few hours most likely. Because the needle makes that tiny of a ""cut"", a few stabs would penetrate the skin but I doubt it'd do significant damage.",2025-10-20T22:44:50Z,2,1,en
Ugw4xiAJAWPLkjzkeO14AaABAg,@riki5901-e1c,did u dyed your hair jack 😂,2025-10-20T08:52:09Z,0,0,Other
UgyvGvtCoMyhUWBiTFV4AaABAg,@riki5901-e1c,Jake rocking with the hair grey mullet 😂,2025-10-20T08:51:37Z,0,0,en
UgxoggbokZvR8gg20xF4AaABAg,@TimQuinn-w7n,Dude I just realized this is the second time I’ve watched this that the gas station in the pit stop is 100% the same gas station layout you can rob in crime simulator the rural Arizona map this is crazy,2025-10-19T20:56:41Z,0,0,en
UgyH9Fhb3MPUNLg4RIF4AaABAg,@Voidflyssa,1:32 HOLLOW KNIGHT IS A GAME JAM? WHAT,2025-10-19T18:28:56Z,0,0,en
