Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyPfcUEC1ickVSQpNp4AaABAg,@oompaville,Use code 50OOMPA to get 50% OFF plus free shipping on your first Factor box at https://bit.ly/4hqt67w,2025-01-28T01:04:34Z,129,13
UgzzqVDarb4vh1pz2MN4AaABAg,@BOBimusRex,"You know who REALLY needs to ""touch grass""??? The people who use that dumb af expression.",2025-07-31T23:00:44Z,0,0
UgxfrxjzHnNSoOTmL_F4AaABAg,@duckie9689,i think the ppl in labor camps r actually making cookies wif the shapes in em,2025-07-18T07:56:21Z,0,0
Ugz7fF5v-RWqjxq-yTt4AaABAg,@Clash12th,You Said squid game was single event but IT was 84-25 so around 4 decades long event,2025-07-15T05:31:00Z,0,0
UgzdjYi5rcMjM_Wvnx54AaABAg,@endless1995,Its me or every country has his own creapy orphan center.,2025-06-29T20:04:15Z,0,0
UgxYVO4zFmHlQIxyeQh4AaABAg,@Slugwitch,It’s not a lie tho 😂,2025-04-23T23:30:39Z,0,0
UgzxqVgE7uhnsGFItFV4AaABAg,@jennifergb7620,"I obviously understand these atrocities not wanting to be compared to fiction- HOWEVER, do you really think the director would be able to admit, in South Korea, that this was based on downright evil allowed by the South Korean government? I feel that there’s too many similarities to deny.",2025-03-28T01:40:04Z,0,0
Ugyo10C25R7wcjDw9el4AaABAg,@ilmhbf,"ur full of hate, i love it",2025-03-27T04:12:19Z,0,0
Ugyx2ov-HjAwTUJo7Ud4AaABAg,@relaxandunwind564,Wow this wrong and completely distateful at the same time,2025-03-17T04:36:43Z,0,0
UgzOf4_ZAsccoNnCE2V4AaABAg,@Lemonzz_0,"I miss THIS kind of content (For the past few days, it was like old tv content)",2025-03-12T21:17:37Z,0,0
Ugyze_9lhmEBpU6c6194AaABAg,@cashframe259,Oompas editing style is one of my favorite instead of cutting everytimes he runs out of breath he only cuts after hes done with his sentence,2025-03-05T02:57:43Z,0,0
UgzhDxJ7h8vbr3-XFJ54AaABAg,@rayezzs,"If y'all want a REALLY in depth point of veiw about this, Stephanie Soon has a 3 video series about this. She even reached out two of the victims who are siblings. The brother also wrote a book about his and his sister's experience, which Stephanie sources many times.",2025-02-07T00:54:10Z,0,0
Ugwtoo3YcAxWWS16a1F4AaABAg,@sethr.c1065,"The thematic parallels to Squid Game are undeniable, but even if the writer and director aren't lying, it's got to be subconscious. Pretty sure they were both born around that time or just after anyway.",2025-02-06T11:01:33Z,1,0
Ugxj5yxn0SsBj4ihqmV4AaABAg,@Nemokast,"This is so amazing for you to put out because I saw this too, and I didn’t think it was true either and I did exactly what you did and I looked into it and it is very devastating that people are leaking these two together",2025-02-05T21:00:48Z,0,0
UgwcdEZAuSeXGvUncs94AaABAg,@sergejstosic9121,Im gonna be honest that this is the only video of oompaville that is not funny but a mysterious and uncanny story,2025-02-05T19:12:54Z,0,0
UgyhqWuHdleGg8WGPSd4AaABAg,@Gaylittlemonsterr,ok next talk about Christian 'youth correction' camps that do exactly the same thing,2025-02-05T08:46:17Z,0,0
UgybzBKuu0Lb2fpaUGx4AaABAg,@two-wack,TikTok should've stayed ban,2025-02-04T15:49:06Z,1,0
Ugyo5o8nJH_QatI7WC14AaABAg,@austn1807,"SO, you're saying things have to match up EXACTLY, or else he wasn't inspired by it? Where is you're proof that he wasn't partially inspired by it, and just decided not to tell anyone?  After all, he has a motive to hide it, it mostly likely would look really insensitive if he admitted to it, right?  I just don't think You're looking at everything that could be possible, without us knowing the truth.  How are you so sure your perceived version of the truth is the real one? There sure are a lot of specific coincidences.  how many other prison camps had everyone wearing matching bright colored track suits with numbers and had them play children's games? oh and also got tourtured to death?  can you name a few more?",2025-02-03T23:53:39Z,5,0
Ugw965TZ0q8ng9T2o694AaABAg,@RayhannahNajet,19:52 it’s not real it’s cake!,2025-02-03T19:57:37Z,1,0
Ugyi48mgGWHsu2m3-Xx4AaABAg,@ragnarlinn6431,"Your engaged you say
Congratulations brother",2025-02-03T13:41:05Z,0,0
UgxvQn27zKCU0lMtnLx4AaABAg,@THEEHomelander,It's literally a major plot point that the players choose to play 😭😭,2025-02-03T02:02:20Z,1,0
UgxdrFVsf34lE57We8R4AaABAg,@viennapancorbo9368,oompaville looks like louellan moss from no country for old men lolll,2025-02-02T21:07:59Z,0,0
UgwXQ-iXDCXONMvz7Hl4AaABAg,@Kota81159,Finally someone with a brain!,2025-02-02T19:57:09Z,1,0
UgxqAmUtBa6YgtGG69N4AaABAg,@Mangolite,"People often try to connect trending topics to historical events, latching onto even the slightest similarities to draw connections. With that in mind, A Nightmare on Elm Street was partly inspired by Sudden Unexplained Nocturnal Death Syndrome (SUNDS), a condition that affected healthy Southeast Asian refugees. Wes Craven came across an article about men experiencing terrifying nightmares and fearing sleep, which influenced aspects of the film. However, SUNDS was just one of many inspirations behind the creation of the iconic killer, Freddy Krueger.",2025-02-02T19:19:06Z,0,0
UgwYTOXxtEwyM-kwKil4AaABAg,@ITSSTONNNYYY,I personally think it’s real yeah yeah it’s SUPER SUPER convenient that it has only been brought up when season 2 squid game released but there is a lot of proof behind reasons why it might be real,2025-02-02T17:42:23Z,1,0
UgzNI1jP_XFqM8kozRF4AaABAg,@katlikest0party,Honestly just watch Stephanie Soo’s three part series on this if you REALLY want to be educated on it.,2025-02-02T12:24:39Z,0,0
Ugz3DcmZi_Vc94gbmcp4AaABAg,@dateable_tent,1:23 ...fiance? I missed something right?,2025-02-02T07:51:35Z,0,0
Ugz5y4t02x0z4fx7-aN4AaABAg,@manemisdonmalasnemissalata6324,"Who knows, i mean a book is a collection of thought and inspirations",2025-02-01T22:50:11Z,0,0
UgxlcsgnKGImgt3GK0t4AaABAg,@CalDeanOffical,9:27 he's on about Korea as a whole. It's art in the way that it's a reflection of life itself. It shows the vile and horrible ways of the government and society. To say it isn't is pretty wrong and to make silly jokes throughout this video was also strange given the themes. And saying “I don't know” well maybe educate yourself on what's going on in China before speaking on it. You're looking through your American rose-tinted glasses and it's extremely privileged of you.,2025-02-01T13:42:11Z,1,0
UgyS8cotTJXREJZ1brd4AaABAg,@scivixthecreep,"This reminds me of a video i saw on YT. It was a video on some events of WW2 talking about how the Allied Forces decrypted the Axis codes, except it was cartoonishly animated and twisted facts to make them more comedic (the art was similar to Simplified History but it was not them and i am not going to mention the channel name). I put a comment calling them out for making fun of WW2 and giving us false facts while portraying the hard work of the Allied Forces as easy and making the Axis seem like bumbling idiots. Someone commented to me defending this channel saying ""I would rather be entertained than be accurate"" they said some other things too but Im not going to type that. I mean maybe im the crazy one for wanting to not spread mis-information and down play these things.",2025-02-01T04:43:24Z,0,0
UgzF28uKLSnOeCtw_d54AaABAg,@Cyqwest,Do you think there is an island where rich people hunt people,2025-01-31T20:46:15Z,0,0
UgxkE9yuzWf1y0N-Pth4AaABAg,@JainaSolo26,I completly disagree with you about this one Rotten mango works hard for their reacerch and yes they can make mistakes but they always work hard to get the right information out there.,2025-01-31T18:43:56Z,0,0
UgwC-JnfBXPmBhKGmlh4AaABAg,@ShaeAlchemi,Rotten Mango Just did a BIG deep dive into Brother's Home!!!,2025-01-31T18:18:58Z,0,0
UgwPsGbXqoCBCXpkuBR4AaABAg,@koalagamer5929,THEY'RE ENGAGED!?,2025-01-31T17:33:17Z,0,0
UgyEdG4ok31Ipc0lh5F4AaABAg,@masonvierra,"The hunger games, Squid game, and all battle royale games are all inspired by the movie ""battle royale"" made a lot earlier. now what thats based off of is anyones guess",2025-01-31T13:17:49Z,0,0
Ugx8QL6jna_UPw_JYaV4AaABAg,@OfficiallyMadMan,China and Tibet anyone???? The ccp murdered millions... why are these things not widely known more??,2025-01-31T09:38:22Z,0,0
Ugzbl8QiJUL5JC3EMbZ4AaABAg,@Pink7omy,"The evil Park family is living off of “blood” wealth… in Australia, and nobody is trying to do anything about it!? 
They don’t deserve any kindness.",2025-01-31T05:50:32Z,0,0
UgxJZxgx2vD0wabbU3V4AaABAg,@ILikeTheIvy,They clearly were inspired by this. Way too many similarities,2025-01-31T02:23:24Z,0,0
Ugx_TT8_tGDjEoeMM9t4AaABAg,@isabellaconger5343,"I watch oompa regularly, I just feel this video didn't get it quite right. Like everyone else is saying Stephanie Soo did a great break down on this. I think the biggest similarity is the extravagant animal heads I think it's a very obvious connection to the case where the ppl who ran the facility wore them to their hunting party just like the VIPs",2025-01-31T00:19:47Z,0,0
Ugz9H8jB_He6BN_Sgnd4AaABAg,@seunghyukjung628,"Without Park Chung hee, no squid gamess",2025-01-30T22:29:21Z,0,0
UgydDQiaR4ALkG3fNW94AaABAg,@maddoxk44,"This is a really weird take tbh, I see hella comparisons 💀",2025-01-30T21:45:36Z,0,0
Ugwo3Zfoy5XQ8M3WBXF4AaABAg,@NanaYas-LouYuushi,i dont care if it base or not all i wish for is justice for them i saw video from stephie and all i thought how much i feel bad for victim one of them her team interview them and his words broke my heart poeple have to not forget this happne and it real and they need justice to feel peace the fact the family who did still triving off the money they made off the victims.,2025-01-30T19:54:11Z,1,0
UgwHrVklj7-eZ88qOAF4AaABAg,@lewisshere331,trump is taking notes on this,2025-01-30T19:23:45Z,0,0
UgzAHq2mwYEexSBmaYF4AaABAg,@RealUnHoly,"If only a single bit of evidence on anything you say was shown. “This is a lie, this isn’t real, this is fake, this is AI” and your sources are??? I’m still waiting…",2025-01-30T18:39:33Z,2,0
UgxoQRnLYaEFlW2o77V4AaABAg,@RealUnHoly,"Man it’s almost like they’re saying squid game was INSPIRED by that and not that it ACTUALLY happened. Something does have to be exact to a pin point for it to be inspired by something. No matter what the creator says, this has too many similarities to NOT be inspired by it.",2025-01-30T18:38:44Z,5,0
UgzMSPvkOoX5V27Lbqx4AaABAg,@RealUnHoly,I know your using the Bojack Horseman intro music as your Curse Censor💀,2025-01-30T18:21:17Z,1,0
UgwGRBQY5TFlUxaD78Z4AaABAg,@RealUnHoly,"Every single youtuber:
“This is such a horrible event, thank goodness my sponsor will get me through this”
Yall should really learn to just drop a sponsor for certain videos.",2025-01-30T18:16:02Z,16,1
UgxiF_-0421B5zSFYWR4AaABAg,@Hannahmarcar,FIANCE??????? Ahhh! Congrats!!! Absolutely love you and Kris so happy for you guys ❤️❤️,2025-01-30T18:08:42Z,0,0
UgzVDA7hMrN9VENPZI54AaABAg,@groovyblanco,"even IF the SG director drew inspiration from this horrific tragedy, I doubt he would admit that to South Korean government.",2025-01-30T16:25:16Z,0,0
UgwGaSimrtr830P-EKl4AaABAg,@punkym00ns1,I know everyone else is already saying this but Rotten Mango’s 3-part series on this is probably the best place to go for true and accurate information on this. Her team spoke to actual victims and Stephanie is never one to miss research on cases she covers ESPECIALLY ones as sensitive as this.,2025-01-30T16:20:28Z,3,0
UgzM42BhtcgbIMHQfjx4AaABAg,@Penhauer,To a much lesser extent South Africa did the same to our homeless when we hosted the soccer world cup.,2025-01-30T14:34:33Z,0,0
Ugw5L5-emFoMM1PSdz94AaABAg,@levi55ify,"you should make a watermelon apple flavor and call it ""Juicy WAP""",2025-01-30T14:06:37Z,0,0
UgzHDrwFc6-Dpa3u9Y14AaABAg,@runawaysInc,Who  also seen rotten mangos video on this?,2025-01-30T13:16:59Z,1,0
Ugzg5ng__RATgbZ5K9J4AaABAg,@1S44Cx,Your background looks like apple intelligence?,2025-01-30T11:02:20Z,0,0
Ugyvtx9_GJ3VcNnkyF14AaABAg,@laz3877,try not to enslave your neighbours; difficulty- Asia,2025-01-30T09:33:40Z,0,0
Ugw1JIcHOnmHUAGyxWN4AaABAg,@nojsageiv,I love that it's noticeable you're not being honest about your sponsor,2025-01-30T08:27:51Z,1,0
UgyiaQHaDAtsK6ut6eV4AaABAg,@ALTO5ky0c,POV you got a Factor_ ad after the promotion,2025-01-30T06:09:27Z,0,0
Ugxu6v-6A6ojTpG6P4J4AaABAg,@reginaheck5720,"I got distracted as soon as he said, ""my fiance""! I believe i heard it from his mouth before, but that just makes me so happy for the both of them!! ☺️💞",2025-01-30T04:09:26Z,0,0
Ugy4qpKVQXLq-nJRAQJ4AaABAg,@kbloveheidi3166,can someone tell me wth is 'rotten mango ' a youtuber ? or a series ?,2025-01-30T02:47:00Z,0,0
UgxLVliHy7rfjW-vozN4AaABAg,@KingKong-dl9cp,"Just placed my second sourboys order, if you’re thinking about buying, this is your sign to do it. I love those lil guys, best candy I’ve ever had and reasonably priced, all things considered.",2025-01-29T22:33:56Z,0,0
UgwX7k5REI3Gc2gkVZF4AaABAg,@alicefibers2227,Thoses concepts of scary game is  commun in the entertainement culture from there,2025-01-29T21:52:54Z,0,0
