Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwGsSotXO9Iqejjdsh4AaABAg,@Grondomondo,17:26 a lot of the increase in the UK is from immigration,2025-11-18T15:42:32Z,0,0
Ugzg14p90KIe9R-OhMF4AaABAg,@dannykyro3027,I can't believe you didn't mention the vegan chick who tried to make her dog vegan and it became severely malnourished while she filmed and posted the entire ordeal . Shame,2025-11-12T03:32:44Z,0,0
Ugy6HHgAxtmqmSkfTaN4AaABAg,@Downs-Indroam,"My Opinion; 
I respect loving animals. 
I respect others living the way they want.
I respect others doing pretty much whatever they want.",2025-11-11T23:24:00Z,0,0
UgxLvEpxTnZ6azCIif54AaABAg,@avawatermelon1,"I’ve met and worked with a fair share of millennials who were partaking in the carnivore diet… I laughed when I heard what this “diet plan” was… she would bring bacon in for her breakfast, pieces of steak for lunch, and then more bacon for dinner? I was so confused and asked “well you can still have carbs and dairy right? Just in small amounts?” And she answered no… mind you
She did this diet for 6-8 months at a time it was just bewildering",2025-11-07T21:00:32Z,0,0
Ugy0d6MYgXAOrhH5oJ54AaABAg,@laurenwilliams777,Vegans have been getting hustled for years.  Oh yeah and there’s meat in there.,2025-10-31T09:04:20Z,0,0
Ugxc1osfcz7UGn4dP6J4AaABAg,@user87465,i’ve been vegetarian basically my whole life by choice and i’m not doing it for views,2025-10-21T13:03:02Z,0,0
UgwyzqCo-RC386joQmt4AaABAg,@AshleymKnight,"Watching this as I eat a pound of fresh bacon, and the eggs that my chickens laid this morning 😂❤",2025-10-03T13:28:48Z,0,0
Ugxl62bABhGfxDuDHe94AaABAg,@ChaosTheory2332,"A lot of vegans are crazy. It's why I don't associate with them. 

I was vegan for 2 years and have been vegetarian for the past 10. Most people have no idea I'm a vegetarian until they go out to eat with me. I'm also very fit for my height and age, and actively train and compete in martial arts. 

While I generally enjoy your content, I think you make some invalid points here. 

Veganism as a psyop makes sense when you consider the amount of money the meat, fish, and dairy industries produce. If there was a psyop, it is to make people less likely to try vegan or vegetarian diets. 

Another point is lab grown meat. I actively hunt. I would eat a lab grown or cruelty free meat option and now many vegetarians who feel the same. 

Another point is the historical contexts and prevalence of meat in the diet. The majority of history, the human diet was largely plant based. Meat was a luxury. Most people only ate meat on special occasions. The idea of meat with every meal is a relatively modern idea and only feasible within the past 150 years. Add to that even now, the majority of meat is consumed by a small portion of the population.",2025-08-19T19:44:48Z,1,0
UgxTeSRnN2bjoCiEctJ4AaABAg,@falconxr25i16,Mix vegetables with meat. Tastes better,2025-08-13T19:56:59Z,2,0
UgxLI557UEvMdGNwfTl4AaABAg,@VaughntheDisciple,"In America, farmers and ranchers have guns. So, of course, this doesn't happen here. The first time it did, there would be deaths. While it is a cult, it's not a death cult... yet. You're wrong about it being healthy. I was a vegetarian and a vegan for years. I did it ""the right way,"" I combined foods to make complete proteins, and I took nutritional supplements, i tried replacing minerals. I got down to 120 lbs, deathly skinny, hair started falling out, constantly cold, hands would turn blue from poor circulation. All of these problems improved immediately upon first eating meat again and went away completely in about 3 months. Even if you ""do it right"" it eventually starts to shorten your life.",2025-08-12T17:17:04Z,1,0
UgwCL-Oa74sX-o0jG3B4AaABAg,@AustinTipton-c8t,Watching this made me crave milk,2025-08-12T02:31:21Z,2,0
Ugz0marDblN0b0PGN554AaABAg,@ZX9RDan,"Fun velideo. But very wrong about plant-based being healthy. If you research it just a little bit, you will come to that conclusion. If you research more, you will see that it is wrong. 

Just ""positing a question""
Your friend who had a heart attack after going carnivore... is it POSSIBLE that he had plaque and was a time bomb BEFORE going carnivore?",2025-08-10T22:09:18Z,1,0
UgwVrqkFNZJwdQKXU-d4AaABAg,@susanr3717,Veganism is like a cancer.,2025-08-10T07:54:01Z,1,0
UgwZcA14zos_Ubn1Ol54AaABAg,@BrandonSmith-sf4rx,"Im from kansas, lots of cows, I eat cows",2025-08-08T16:42:44Z,1,0
