Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugwaj9d-nLOism45Jyx4AaABAg,@amelia.currey,meanwhile gets sentenced for FOUR YEARS ONLY,2025-10-25T19:37:38Z,0,0,en
Ugz9d8v34kfq6hgTcZ14AaABAg,@TravisCharlesJohnson,Uhhhhhh Wrong,2025-07-19T22:04:22Z,0,0,Other
UgxrFdlehx3PJbi7UvN4AaABAg,@demodeiowa,Well this aged badly,2025-07-02T20:33:46Z,0,0,en
Ugy1uYgRamy9X6cGGph4AaABAg,@A_Giant_Panda_Gaming,People who believe the necromancy need to be locked up too 😂,2025-06-02T08:17:28Z,0,0,en
UgyxTr7tr791hakw6zV4AaABAg,@Goop_Zero,Diddy's face looks like someone scrunched it with their hand,2025-06-02T05:47:22Z,1,0,en
UgxYib8qXz1mjp0pd0R4AaABAg,@lucasx54,To defend diddy he would prob hurt other high profile clients he has if they were to name drop other celebrities,2025-04-20T00:49:19Z,0,0,en
UgyxKijApd1msCmWfPl4AaABAg,@barneyronnie,That guy was steeped in filth...,2025-04-19T05:53:39Z,0,0,en
UgzWP73O6njzUrvYb0J4AaABAg,@NOOrmyy,"If diddy diddled a didilleon dudes, then how many dudes diddled diddy?",2025-03-27T19:18:11Z,0,0,Other
Ugwk0VRVOdx4KAbUm0Z4AaABAg,@ImAtypicalPerson,"As a Litch King, you'd be surprised how many sick freaks ask me for an undead waifu or boyfriend. 

Those same people may or may not be recycled into various human bits for my shop.",2025-03-13T18:34:43Z,0,0,en
Ugz7KRHgBaT10PPEvCV4AaABAg,@WednesdayTargaryen,"I hate when they bring up race as a defense… so what if he’s a black man? He’s horrible no matter what race he is… it just damages the black community, especially men who are now probably compared to Diddy for shi like having a “wild” house party in high school/college… he’s not a black man, he’s an EVIL man",2025-03-13T17:20:27Z,1,0,en
UgyAiMWgxG-5ZXP-PWV4AaABAg,@KJab21512,Osama had kids that got to live? I figured the whole bloodline would had been held accountable.,2025-03-13T09:25:32Z,0,0,en
Ugz_8nab_aDFs2Q6GzZ4AaABAg,@wolfsesthenighteye499,Se jodieron los paleros XD,2025-03-13T02:13:32Z,0,0,Other
UgwCNqvpcKynaBkv8Rp4AaABAg,@connor3650,Is it still Necrophilia if he uses Necromancy to reanimate the corpse? 🤔🧟🥰,2025-03-12T16:22:53Z,0,0,en
UgwnVSCPR51Sh-tpTeR4AaABAg,@ewoodley82,"Here is a great way to look at high profile defense representation: It's better to have a guilty party represented by stellar representation, and convicted, that an innocent defendant get inadequate representation and convicted",2025-03-12T14:28:21Z,0,0,en
UgxeDe8sKUDZX_z3-p54AaABAg,@hiromitsumoonblossom8682,the Diddler and the Yitler joining forces?,2025-03-11T10:48:16Z,0,0,en
Ugz7jfGrRUbuXVE68b54AaABAg,@BlSONNE,"hey oompa, what are those green and purple/blue sublights you use for the backgrounds. I NEED THEM",2025-03-11T06:23:54Z,0,0,en
