Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugxiu9hvSYizzdTSzAZ4AaABAg,@DJEDzTV,I used to watch Vitaly :))) He is funny.,2025-11-05T08:45:10Z,0,0,en
Ugw4JGjfbHcGUaF1U-J4AaABAg,@hayd2am,Nice chair 🫡,2025-10-30T20:44:35Z,0,0,en
Ugx7Yh5gGVQAd5ak-Ed4AaABAg,@sterben563,bo ni fa sho,2025-08-21T08:42:30Z,0,0,Other
UgytI-WcgmpW1I3nUzZ4AaABAg,@cymtk,"Dont put aliens on your desk, dude
I already used to get you and Elvis-the-Alien confused constantly",2025-07-20T20:15:17Z,1,0,en
UgzgQHBObFY_j5BYcDR4AaABAg,@emigrator08,"People that would do that on mushrooms, have mental probs.",2025-07-14T20:30:06Z,0,0,en
UgzaHtJKS77TnOMoZO14AaABAg,@speedymoon51,2:48 18:40,2025-06-20T03:04:54Z,1,0,Other
Ugxsxwru52KmBSrI_UN4AaABAg,@SYDAirlineEnthusiast,"Not really. Vitally is way worse. Johnny at least never attacked people, and vitaly has a long criminal history that goes back at least a decade. Johnny’s only is up to 3 years, and mostly in just asiaZ",2025-06-16T16:15:37Z,0,0,en
UgxWR65GLyYpRSUqLV54AaABAg,@nin1ten1do,ukraian dement,2025-06-13T16:44:11Z,0,0,Other
UgxXs-oN72_kBYv-Bo54AaABAg,@Zach-ft1mr,I died when he said stop resisting then starts shooing🤣,2025-05-25T17:47:44Z,0,0,en
Ugw-sNAgOUTMYqrWWCl4AaABAg,@kirtanuum,"J2Swaegoshortss
Making prank videos that simulate or suggest physical assault on babies—even if staged or fake—is morally reprehensible.",2025-05-20T10:39:46Z,0,0,en
Ugx2LU0IA8EXrEtlY4Z4AaABAg,@hinemoatapsell500,chlamydia is real,2025-05-06T12:41:48Z,0,0,en
Ugwo6-Dc9mDtWGoF9WZ4AaABAg,@darashowers7957,"We need to make laws
Against streamers like this like no remorse laws people like this should not be allowed on the internet",2025-05-06T11:24:43Z,3,0,en
UgxOA1XJwJlbH09E8FB4AaABAg,@Uncannykenny,4:27 hes my spirit animal lol,2025-05-05T15:18:25Z,0,0,en
UgzmljbsVtLowszZ3Jd4AaABAg,@orakelgottes,I hope there won't be Johnny Somali 3.0,2025-05-02T16:04:51Z,0,0,en
UgxAn2PCw1XANs-99CZ4AaABAg,@WaniZame,Vitaly is worse than Somali because he is legitimately dangerous.  Blokes a tank and clearly has a fried brain.,2025-05-02T12:15:03Z,0,0,en
