Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyBWKdSWhJx4ZmrUKp4AaABAg,@OfficialPistolPete91,The best part about DJ Khaled is that he announces it's him at the beginning of the song so I know to change the station 😂,2025-11-07T12:24:39Z,0,0
Ugzy1FXsBMqkJBc0UXx4AaABAg,@jamesdixon6332,It's a shame he only got 52 months.,2025-11-04T05:58:34Z,1,0
UgwPsVfOUBZmqoUERlx4AaABAg,@Toast3r-fmb0y,Post trial- he got 50 months I believe,2025-10-18T19:20:40Z,0,0
UgyP5nJwui_dN7m1O914AaABAg,@lolalalia4119,"16:28 ""I'm from Africa. So I'm not a racist. ""    dude, you're from SOUTH Africa 🤣 that's not the flex you think it is!

But with all seriousness, I've been worried about Oddi ever since I first saw this interview. We've seen zero signs of life but he's supposedly in prison. Sus.",2025-10-09T06:52:08Z,0,0
UgxbMTE5DdW46lYx-Zl4AaABAg,@BigMikeRuinedBrokebackBarack,Is this about Sir Puffrey Diddlestein?,2025-09-17T13:12:49Z,0,0
UgyvtnTAlggc595fkT54AaABAg,@BigMikeRuinedBrokebackBarack,13:41 crazy part is his story lines up perfectly with the g!golo who spoke in court recently who was definitely doing that with d!ddy.,2025-09-17T13:09:30Z,0,0
UgzYCxO-Tigh0vxUECF4AaABAg,@luc_man2104,"1:22 lets be really real he will not be in jail for life because hes too rich and powerfull for that he will get nothing, a little bit or he will die by ""suicide"" thats the only 3 things possible to happen",2025-08-30T23:43:29Z,0,0
UgwG-t20qVj99R1Hpkt4AaABAg,@claripossum2079,"""I'm from Africa so I'm not a racist"" OOOOOOOF oh that...  that's... yeah that's uh, certainly quite the statement... 😬",2025-08-24T02:30:28Z,0,0
UgwTv9h9V4v7McIrM1p4AaABAg,@Kneekco,"1:18 ohh, if only this comment aged the way it was meant to…",2025-08-22T08:02:46Z,0,0
UgwBSCl1v3Exkh_NP9t4AaABAg,@InverseCramer_PUBG,Plot twist diddys innocent 😂😂😂,2025-08-18T03:48:58Z,0,0
UgzlYVQkPfka1Txpu7l4AaABAg,@thewhitedread7572,"0:30 I was the victim of several essays in highschool, haven't written since....",2025-08-14T18:05:28Z,0,0
Ugy1BoJg-kuzpARy_U94AaABAg,@AmyTaege,Habsburg’s 🤣 I said that when I saw him too and no one understood,2025-08-10T18:12:33Z,0,0
UgxoS3zki42H5zyP-PF4AaABAg,@Je-s-s-e_J-a-m-e-s,Here after diddy hot away with it,2025-08-05T00:02:36Z,2,0
UgzT6dsDtQ_ZK5KLEbF4AaABAg,@manaholic1680,Can't believe he's actually being considered for a pardon lol. What an actual troglodyte.,2025-08-03T14:47:11Z,2,0
UgzlpKZQ-HPyATaBbsR4AaABAg,@hippiecuster4366,Well the trial didn't go as most expected huh?,2025-08-02T04:38:55Z,1,0
UgwoUOvTLqwm0FPkrqV4AaABAg,@yvnggeezy,Bro got all his serious charges dropped smh,2025-08-01T00:04:16Z,1,0
UgxWXUnc5I0-PlGR0MZ4AaABAg,@ajdinoskiadem4106,Dude. Thanks. I appreciate you taking the time to make these great videos.,2025-07-26T04:36:29Z,0,0
Ugzzjenst-_IFd0ZDCF4AaABAg,@STOPSYPHER,"Crazy how long it took for anything to happen to Diddy when literally everyone knew this for decades. It was a pretty open ""secret"".",2025-07-24T20:11:01Z,0,0
Ugxp1mJkHNmIa6_pMWt4AaABAg,@RRoccout,Bet u wasnt expecting him to beat this whole thing,2025-07-23T14:00:48Z,2,0
Ugy36s5yEUAx8qIgCm94AaABAg,@turdfurg47,Ive already seen an epstein connection,2025-07-14T15:00:51Z,1,0
Ugx4OaEKaAPeSGdVHT14AaABAg,@kajjsa,so insanely tragic how this aged,2025-07-13T14:30:11Z,6,0
Ugx6yml_UDtmMsdSyNR4AaABAg,@bayleemitchell3018,8:50 Rupert watching you drink😂❤,2025-07-12T05:10:37Z,0,0
Ugwl7esveNuK2xTCcph4AaABAg,@Russselll93,Le bear,2025-07-11T08:35:26Z,0,0
