Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwpP2Z9hW6VGfIhZZ94AaABAg,@oompaville,Use code OOMPA for 50% off your first order of Sundays for Dogs: https://www.sundaysfordogs.com/oompa,2025-06-06T18:01:36Z,282,16
UgwkVrr5JVCKxXjUELF4AaABAg,@kri97pe23,"Im going into woods from a young age,often alone or with 1-2 friends,never had anything too strange happen to me, but there was a couple of times where I really felt a presence like someone was watching and following me,and that's when I go back home unless I'm with someone,I trust my guts when it comes to those things ,but that's also a quiet place nothing ever happens here so it was probably my imagination 😂😅",2025-11-25T00:03:02Z,0,0
UgyutuaFKAcOvTueLPd4AaABAg,@PerfectGaming-n6v,Bro why the jumpscare at the beginning of the video ):,2025-11-24T13:02:08Z,1,1
Ugw6UXAJYXYbrz6KtSN4AaABAg,@AstroKidz300,When I think about it you don’t even have to go that far up in the mountain from town and your phone will not work doesn’t matter what service you have,2025-11-24T12:13:47Z,0,0
UgyhTHNpcjt9QP9ecyN4AaABAg,@ebobe27,28:10 there are for sure mountain lions in the appalachian mountains. i’m sure like a sub 100 population but i’ve heard anecdotes my whole life and i imagine where there’s smoke there’s fire,2025-11-24T05:03:42Z,0,0
UgykHdwpHsZphAIfptR4AaABAg,@cherokeenevin3763,27:13 those are just the sounds that mountain lions make. Scariest thing I've ever heard in the forest at night? A male mountain lion's deep mating call.,2025-11-20T10:03:26Z,0,0
UgwUMydiamLkf53Ygsp4AaABAg,@brunobestmom3167,"When my dad was in high school in a small town in Appalachia, there was a fire watch tower that only about five people knew how to get to, my dad was one of them, he already lived in the middle of nowhere, and this tower was where you went to go closer to nowhere, one day my dad went with friends and and when they climbed up there they hung out for maybe an hour, when he climbed back down there were two people who didn’t say a word, my dad claimed that their body’s looked out of the regular and he couldn’t see their faces, so him and his friends bolted and they chased them until they got to their car, he’s only ever told me this story once",2025-11-20T06:22:57Z,0,0
Ugx9n6kSC_lGPHJLlch4AaABAg,@firstnamelastname7990,25:10 this sounds like my Dads family 😂 they are from deep deep country Kentucky,2025-11-20T03:40:55Z,0,0
Ugxa54qprlc-ZswepX54AaABAg,@annabelle8559,I love whatever’s wrong with you,2025-11-17T01:27:35Z,0,0
Ugx8oe4DFN4Y0YrLPrx4AaABAg,@AstridsUncle,"Missing 411 and David Paulides, no thank you",2025-11-16T01:58:37Z,0,0
UgxkibrgFqd9L95j8xZ4AaABAg,@sfewright,“Because he’s evil. And southern.”,2025-11-14T20:21:41Z,0,0
Ugxvv06pjZsV9pej-qJ4AaABAg,@Randywithrow,22:45 wildly accurate.,2025-11-12T15:27:06Z,0,0
Ugz-gBRGo5UQOeq8iLV4AaABAg,@zbuddha420,You didn't tell your creepy story,2025-11-12T04:26:01Z,0,0
Ugx65TB0iJ-Nqn8GT914AaABAg,@May_May556,should i travel into the deep untouched spots and record my experience im looking at like north western new york where theres a spot i found that looks like i there isnt life for miles,2025-11-11T03:42:10Z,0,0
UgwkuOZssuLiiwFddaZ4AaABAg,@DotCom1999,"I am a truck driver. I live in upstate SC but driver to Hendersonville to pick up the product and I am driving about 2000 miles week mostly on I26, I40, I81 all through the Appalachian Mountains everyday.. I know exactly where big foot lives and have seen and physically fought witches, warlocks, crazy locals...",2025-11-08T09:14:13Z,0,0
UgyCezg-MP6fHcOT_j54AaABAg,@mvkpro5785,I just realized ace is the spades pirates. Ace of spades.,2025-11-08T04:24:42Z,0,0
UgwLGtE83UmeraN4qeF4AaABAg,@yeetlord3119,Anyone else remember old oompaville doing the reactions to try not to laughs and Omegle videos?,2025-11-06T13:31:02Z,0,0
UgyQBRi0Dr_7URAd9vJ4AaABAg,@ulisesreyes347,ADHD at its finest 😂,2025-11-06T13:23:57Z,0,0
Ugzk1AEgVMD7HcD4tP94AaABAg,@whiimskers,"“Skunk ape— wampus!”
YEA SKUNK APE IS FLORIDA’S TREASURE, YOU CAN’T TAKE HIM FROM US.
We ain’t got mountains but we do got swamps.",2025-11-06T12:33:06Z,0,0
Ugz0-I06XucNOJ3vGKx4AaABAg,@vl5562,"To never play Hide & Seek to the wild or at home late night- evils, ghost will kidnap someone.",2025-11-05T22:39:44Z,0,0
UgxIyK01PLuCHrHa-vN4AaABAg,@RainLovesJehovah,"Caleb, Kris told me to tell you that when you tell your audience you’ll share your story at the end of a video, you NEED to do that buddy. Anyway fellow Adhd’er here, get a notepad in front of you to write things down as you go so you can glance back and look at it near the end. WE WANT TO KNOW THE STORY OF WHEN YOU FLED THE HECK OUTTA DODGE",2025-11-02T22:10:42Z,0,0
UgwJTY-oTm7KyNIHzId4AaABAg,@D1Heismanz,"One time me, my mom, and grandpa were hiking in bumble Kentucky, up as small mountain. On our way down, my grandpa slipped and fell down around 20 feet. He cut his ear and broke his arm. He says it felt like someone pushed his legs when no one was behind him within 6 feet.",2025-11-02T17:55:53Z,0,0
Ugyi1CzHaqS0Y8rO4EV4AaABAg,@uncutjems,Why the horrid annoying music ?.,2025-11-02T02:26:12Z,0,0
UgzJgQJbwLLRjKsXUql4AaABAg,@AnimalSpotted,3 ads in 5 minutes bruh??,2025-10-31T07:15:22Z,0,0
UgyB_8oquFgL8Z4yWw14AaABAg,@YoanisCasanova,I wanted some mystery stories and I got that and a whole lot of misinformation. Quite a bargain.,2025-10-30T14:44:21Z,0,0
Ugy7AkaUojyvsbC0xqN4AaABAg,@KnowledgeFox,"""If you're into mysterious history and strange phenomena, you might enjoy what I’m sharing too. Would love to hear your thoughts!""",2025-10-29T12:38:12Z,0,0
UgxhLTx6QghKztE-IZV4AaABAg,@ProfOtaku39,"I love to think that this might be the forest that was told in ""I'm a Search and Rescue officer for USA forest service"" from reddit",2025-10-29T04:00:00Z,0,0
UgwQz8_dF3aMASzhqtt4AaABAg,@b4llzy,Make a video about the Jews!!!,2025-10-28T12:02:58Z,0,0
UgyU-X3CDAox5TI7zGh4AaABAg,@Mike-8404,"27:42 I know that Cougar story, it was in our local news here in West Central MN.   They tracked it from South Dakota all the way to Connecticut.  It was insane",2025-10-27T04:48:37Z,1,0
UgwPXV7p6AjJEIeRl2p4AaABAg,@rlaitano,"There is also a Pentagon report that all law enforcement, military or any government personnel was prohibited to enter the Appalachians as they found enteties and strong paranormal activity in most part of the mountains. They sent special forces to investigate and not all came back.",2025-10-27T03:13:34Z,0,0
Ugy8amEsU2L0bqozASt4AaABAg,@MattKerr-g3u,There’s unexplainable stuff for sure I was on the way home from the movies with another person when this human like thing ran across the road. Let’s just say the “rake” or “skinwalkers” are a real thing. Call me crazy but there were two of us that seen it,2025-10-27T00:58:36Z,0,0
UgzUUXj7hor9rxHnHkh4AaABAg,@calebisbuff2869,So it’s just Gravity Falls irl?,2025-10-26T23:54:08Z,0,0
UgwM6QbxIHrerjIFuHR4AaABAg,@_g1itchyy.b0i_29,as somebody with blue hair and bleached eyebrows i howled at that liberals joke ❤️,2025-10-25T18:17:11Z,0,0
Ugxt3C0BTYQrZQ26rOZ4AaABAg,@Notaprilsniecehere12,auntie kris has a better mullet than you,2025-10-23T16:31:33Z,0,0
