Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyLCnO--fTi1UBMcoZ4AaABAg,@behindthebandit,The new American dream for a lot of people is simply being able to afford groceries,2025-11-25T01:50:15Z,0,0
UgwLfJF_N1erFVZa2NN4AaABAg,@Question_The_Narrative,"I am on my way to AMH. Now. (American Homes for Rent) I am one trade who helps build them in Colorado. (Apart of the problem?) 
Get this, these average houses rent for $3000-$3500 per month. Insane! 
CO. Is one of the worst examples of an absolutely crazy market.  In Northern Colorado I remodeled a house once that the original front section was over 100 years old and was one of the houses back in the late 1800s  that was given to employees who worked at a specific factory. Talk about company perks!

Now with all the additions and the area that house is in it sold for 1.5 million!! 
😮",2025-11-24T16:00:50Z,0,0
UgzxRuGVGNBejPKvEXN4AaABAg,@IIIChimeraz,The issue isn't capitalism. It's corporatism. Capitalism allows the free market to thrive but with help from the government massive corporations are allowed and supported in destroying small businesses,2025-11-22T21:32:43Z,0,0
Ugy2Ob8dGlu5dFcmM9B4AaABAg,@menotme89,"A big point you’re missing = institutional investors like black rock are managing the money of the average joes pension. So you have eg a million pensions, all being managed by black rock because those pensions need to go up in value as best they can (that’s what they’re being managed for). The gains of black rock is the same as the gains for average joes pension.",2025-11-22T21:09:33Z,0,1
UgxXlg19WEbClJKLM-R4AaABAg,@J0nk5trap,They also work with greystar which owns the housing at my college! They kicked out an entire neighborhood of veteran families so they could renovate and sell them :(,2025-11-21T22:44:03Z,0,0
UgyF0zVSywAL_QHadwZ4AaABAg,@heeradhillon3086,"4:39 baby boomers are the problem, and bigger problem than firms. Young people can have same house at same price they pay in rent per month.",2025-11-17T09:52:57Z,0,0
UgyRtdsha2uN4o_er0F4AaABAg,@xxshadowcloudzz4654,Wake me up when we just don't have currency anymore or never wake me up if they drop the nukes.,2025-11-17T03:04:37Z,0,0
UgzQmDRKJBolD0yGlsB4AaABAg,@jasonmcsweeney8143,We have to get rid of the federal reserve!! They are not apart of our government and the reserve is to blame for the value of our money depleting.,2025-11-16T18:26:48Z,0,0
UgxpDteVLzOAQPmmp6B4AaABAg,@WhisperingFlower-v6o,Cory Doctorow….check him out,2025-11-15T16:19:47Z,0,0
UgxTE_qRa7luMeMc3eR4AaABAg,@ayjanyusuf6047,Not any 1 person should be allowed to have that much power?,2025-11-15T09:04:10Z,0,0
UgzPFdwop80lvBfrxah4AaABAg,@heckyeah4826,I got a blackrock ad in this vid lol,2025-11-14T15:46:52Z,0,0
UgwkSDdp5zHhMGBnmgp4AaABAg,@trinket.enjoyer,"❓hey so this is my own conspiracy theory..
but there's a coffee/caffeine place that goes by the name of ""Blackrock"" and they are popping up more and more (AZ), and when u search that name, it pops up with the coffee place...
so do yall think it's a coverup to hide the evil corporation from being easily seen, hoping this generation will be too lazy to dig any deeper and get distracted by ""cool energy drinks""??

or is it just a ""cool name"" and innocent and not at all involved?",2025-11-14T03:36:34Z,0,0
Ugw3ozXzirx5BEpieA94AaABAg,@mutedavincigaming,"""I took pictures of his house... Anyways""",2025-11-13T18:58:11Z,0,0
UgwhuXHtDVd4nQOuX3h4AaABAg,@forthemusic95,"Iv delt with most of the things you brought up with bridge homes. Tried charging me for sending someone to mow my lawn that was already mowed by me, (my county requires the landlord to maintain the grass anyways) wouldnt take my rent unless I paid for the mow at the same time. Turned into a month long ordeal I contacted lawyers and it was only fix when i spent hours on the phone and finally got connected to the regional manager for the business. Property manager was ignoring my calls and emails for weeks.

Same company took over a week and a half to send out a electrician when our breaker box went out and we were out of electricity in 75% of the house no heat, fridge or washer. took 2 weeks for them to send people out when our sewage was backing up. 
When we first moved in 5 years ago rent was $1350 for 960SQ basically no yard now its $1960 pluse there air filter fee and other random fees comes to about 2100 a month. Cant even move to a different location because everything else is 1950 a month and 2 month deposit. The housing market is sad right now.",2025-11-12T18:49:01Z,0,0
Ugwf8AOuvscim8is5Up4AaABAg,@danielagodinho1729,28:58 .. This it hard. These people are just evil.,2025-11-11T17:01:16Z,0,0
UgwtlWhTkIUSr07UzPV4AaABAg,@samn6603,as soon as i saw this i thought blackrock. dont even need to watch the video.thats sick.,2025-11-11T16:56:55Z,0,0
