Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwaGzCzgGwAIvxIUlF4AaABAg,@oompaville,"Just for clarification for the SINGLE comment in regard to Islamophobia... I have had 0 negative experiences in regard to Islam and have no reason to hate. If the way I came across in this video alludes that, I apologize. I love the middle east and am not Islamophobic. In fact I've found Islam to be an extremely welcoming brotherhood with the Muslims I know IRL. Beyond that, I have read the Bible, Torah (first five books) AND the Quaran in the last 2 years and all of it has a lot of beauty and deserves respect. The cultural contributions from Islam and the middle east, scientific contributions, the concept of tawhid, not to mention zakat... There is a ton of objective good. I have an immense amount of respect and continue to learn more every day. That all being said, I am also not a journalist, I am GOING to make mistakes. I am not on a high horse shitting on anybody for any reason other than there is a lot of important history people don't know even about their own countries and GOVTs. See the dozens videos I have made on the US govt... The recent Ruby Ridge video. The internet is awesome and allows you to learn transparently and access things you otherwise wouldn't be able to access!

I think this is all important histiory to learn and does nothing to harm the average person of any country involved(unles they are caught watching it from there). Govt exists to be shit on, nobody will ever change my mind haha 

The riyadh festival is in the news, the outrage is in the news, and that made me want to learn more. That is how the thought process goes in creating these vids.

MUCHO LOVEO (ps my paternal fam has immigrants from LB and most of the food I grew up eating is all arabic. There is no world in which I don't love the middle east.) also ps ps if you are Saudi and think I got it wrong, send me a twitter DM explaining why pls.",2025-10-22T16:55:50Z,957,106
Ugyv8qNS0eSs_PwJya94AaABAg,@llNoza,I thank you Caleb for outlining Saudis violence and inequality against women and Shia muslims. It’s a wider issue across the world not with normal moderate Sunnis. But the extremist but now growing salafi and wahhabi movements.,2025-11-24T14:40:17Z,0,0
UgwaBa3mpaHRq6plsqt4AaABAg,@csgoat968,"If you made a dollar a second it would take you 

12 DAYS to get a $1 Million 

32 YEARS to get $1 Billion

and 44,392 YEARS to get the Saudi Royal families wealth of $1.4 Trillion, which means you would have to start around the end of the last Ice Age to have it today...",2025-11-24T05:57:48Z,0,0
UgzqogO5VzpcFA1IyfZ4AaABAg,@revengewrld999,36:19 literally a *MYSTICAL FLYING* TROJAN HORSE 😂😭,2025-11-21T20:51:25Z,1,0
UgzCNmdMBDu2GTBjNuV4AaABAg,@utubecomment21,The hypocrisy of 'Any American' complaining about Saudi brutality .....,2025-11-19T19:08:07Z,0,0
UgyI0ir2_PPO0Sqi-QB4AaABAg,@BrightFallsTV,1:51 lol im in a wheelchair and im like what did i do? 😢😅,2025-11-17T06:19:00Z,0,0
UgzkRPNqMipk8gnNpNB4AaABAg,@randyjax09,F**k every single one of those comedians.,2025-11-15T21:03:59Z,0,0
UgzQhzLioIlJ1Qbu0Bd4AaABAg,@p.p.flynch1907,Are you critisising people for chasing money?😂,2025-11-15T08:48:27Z,0,0
Ugxiajdf-DhPhqs9UNp4AaABAg,@spencerdunn2313,Been watching you for days and realized i wasn't subbed,2025-11-15T01:28:52Z,0,0
UgziKptH8GBtEDJ1NER4AaABAg,@kennywingard3709,"Well, atleast Saudi does the death penalty right and ACTUALLY executes them. Here, we just feed them and hold them until they die in their prison cell, wasting millions of tax payer money",2025-11-13T17:46:44Z,0,0
