Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxM0qXKVgXTFlqqsLB4AaABAg,@york2thirty7,Ricin. She poisoned them.,2025-11-25T08:29:55Z,0,0
UgxWR2oZKveFZfk0wft4AaABAg,@sdraulitolito44,"Bro, you don’t know what you’re talking about. You sound like you’re reading off some cliff notes",2025-11-25T08:22:43Z,0,0
UgwYCuuGMFxhrfw2CpR4AaABAg,@svetkazzz,in siberia kids go to school if its at least -40 f,2025-11-25T06:58:26Z,0,0
UgwyyPap9trweKQV9Pp4AaABAg,@4nautia,Although the location seems unlikely for nerve gas testing initially but if there was no one there what would they test the gas on ? Surely they wouldn’t just “test” nerve gas with out test subjects 😂,2025-11-25T06:24:55Z,0,0
UgwfG7GB9rSvCVFE0u54AaABAg,@RosinGoblin,Your like a mix of Idubbz and Kurtis Conner,2025-11-25T06:02:39Z,0,0
Ugx7lBQyq-XY8iUxjyt4AaABAg,@amandamills6181,"He was found legally sane, because he was legally sane. He understood right from wrong, and did wrong willingly. He was sane, just a twisted, sociopathic, judgmental, un-self-aware creep.",2025-11-25T05:01:13Z,0,0
UgxB62t7zIGrVGdRa1R4AaABAg,@mina.madalina,I’ve just found your channel and I instantly subscribed when I heard the metric system conversion. Thank u! You’re a rare sight on this part of Youtube,2025-11-25T04:12:16Z,0,0
UgzWSo3fQXtZJmGeYwJ4AaABAg,@vereenigdeoostindischecomp9932,"The worst part from the hikers that does is that the most mundane explanation is literal nerve gas.

Anything else just doesn't apply to that scenario. And that the russian government wants to cover it up is not unexpected. It can just be a can of nerve gas lost in time or anything. Russia also has a massive amount of radioactive waste of RTGS left after the USSR fell.

Siberian wastes are literal wastes.",2025-11-24T22:20:47Z,0,0
UgwnVzMRNXXjqvK6ZEh4AaABAg,@windmillrespector,Sounds like some sort or Chemical nerve agent. Like Sarin or Tabun.,2025-11-24T21:02:33Z,0,0
UgyfT3BVzyX6CdYe-UN4AaABAg,@hneemann,"-70°celsius kills in MINUTES
they just ate communist poisoned beef cans or something like this.",2025-11-24T20:57:12Z,0,0
UgxOizEcLvYhA4PaRBR4AaABAg,@Zethic2884,Great video! The flickering background set to much of the text-boxes is kinda distracting and a bit epilepsy inducing though.,2025-11-24T14:15:29Z,0,0
Ugx-HQOGb3Y_Jjnw6ah4AaABAg,@DREADLOCKDOLL,"Invalid - a person who is weak or unable to take care of themselves on account of illness, injury, or a health condition. Are you thinking of something like  Eunuchized or are you just being a funny little boy? 🌭",2025-11-24T09:06:24Z,0,0
