Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxpPF4ScEdijaUeFh14AaABAg,@bobbrown8661,Some of them look like half a motorbike,2025-10-05T06:27:29Z,0,0,en
UgyQEgCXAQvsHZoPKfF4AaABAg,@vladizzzo589,Just dont say anything... You sound like average Karen,2025-07-28T09:38:08Z,0,0,no
Ugz9amZ9rsMB4srSImR4AaABAg,@kalym20a73,4:20 no suspension is crazy,2025-07-23T18:59:18Z,0,0,Other
UgybHrP4gBAnavBww_94AaABAg,@paragonmind2198,I own five or six of them😂,2025-05-26T14:22:47Z,0,0,en
Ugz39DiFjiePUwgOiFd4AaABAg,@TampaBay777,You should join us on a group ride in St Petersburg on Thurs night. Its bunch of electric PEVs -fun group of peeps ;),2025-05-22T01:45:09Z,0,0,en
UgyzOEU1bm0M4yf8tPd4AaABAg,@kurokat6069,HIGHLY SKILLED,2025-05-20T22:58:02Z,0,0,Other
Ugx9WMZfAKP0kOkVFCF4AaABAg,@robloxgrover4832,It’s not the hit that would hurt the most. It’s that if you’re going fast you would slide and grind your skin against the road or hit something while going pretty fast.,2025-05-19T01:31:30Z,1,0,en
UgwSkCDW51SwppnxJpJ4AaABAg,@NATO-SOCOM,"Yea if a small bump in the road can cause you to have a catastrophic accident, it’s probably a good indication that you need more than one wheel 😂",2025-05-17T23:09:21Z,0,0,en
Ugxwqwaty9zXThr2oCh4AaABAg,@MrMickeynico,Man I gotta say I'm a lil disappointed. When I read the title of the video in my head I imagined like a bunch ruthless gang members on these things terrorizing ppl. That would've been crazy.,2025-05-14T04:32:18Z,0,0,en
UgwvQOMK-kB6TeZnrs14AaABAg,@KOZMOuvBORG,5:59 his drone gave a passer-by a quick trim off the top.,2025-05-14T01:46:51Z,0,0,en
Ugz1qsX3j2sbVI2CVPB4AaABAg,@MeOw12770,I live in a little town and I saw someone on one of these and i literally was so confused I never seen it before and he was ZOOMING,2025-05-07T17:57:47Z,0,0,en
UgwCbNY6NyAh4v2D1tV4AaABAg,@kalebvick,"Electric Unicycle Chicagoan gangster here, cops won't fine us either because even though it's illegal on roadways they have a no-chase on bikes, and in one officers words, ""If youre stupid enough to ride one of those things, then by all means, just please stay in the bike lane."" 

Even if they could chase, I'm not convinced anything would change. The utility of having such a small profile and control over different terrain means we can go all the places they can't, not to mention manueverability and low end torque that beats almost every single land vehicle anywhere they can be found.

I wouldn't be surpised to see these used in war in my lifetime, as its the only perfectly hands-free mode of personal transport and the basics can be learned fairly quickly depending on aptitude. 

Picture an actual Unicide Squad in full military gear scanning the streets with ARs. Oh, did i mention they are almost absolutely silent? The future is here",2025-05-07T15:45:02Z,2,0,en
Ugy2IyLSZs5cQ1tJdEB4AaABAg,@lilith9862,"there is no way that could be legal in germany 
(i assume its not cause ive never seen such a thing)",2025-04-30T16:13:24Z,0,0,en
UgwjtJxlQHN_aYMOws94AaABAg,@bigfatyoshi3413,this is literally just a segway without the stick in the midlde,2025-04-22T02:28:35Z,0,0,en
Ugwe26hEBgoDs3_nkXd4AaABAg,@zackrosales2298,Put 10000 miles between 3 wheels now in the last 3 years. Greatest thing to happen to me in my life. Sold my e bike sold my skooter sold my esk8 and my grom. I only ride a v11 now and will be getting a v14 soon. Euc life. No other feeling in the world like it,2025-04-20T21:56:07Z,1,0,en
UgwsYV6zLyMTy137dzR4AaABAg,@johnshopkins4786,@penguinz0 so have you tried one yet and made a follow up video?,2025-04-13T14:52:03Z,1,0,en
