Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugyezmiomn7ZhHoxwpV4AaABAg,@vishalkalicharan7710,PLEASE play Super Mario Party Jamboree!!,2025-04-15T21:57:08Z,0,0
Ugz9B0iBzM8SwvzS-094AaABAg,@Evilsivle77,It’s time to forgive Mike Vick.,2025-02-10T23:38:31Z,0,0
Ugy9UJK79XNIQqCsO454AaABAg,@raging100,I hate emtee saying everything thrice….,2025-01-30T06:52:28Z,1,0
Ugy9tGUiDWGVBE-cLN54AaABAg,@chazsurmonzadandle1217,"Are ya winning, son?",2025-01-30T04:52:41Z,2,0
UgyC7XINCEkBBVgYAPl4AaABAg,@chefshivers3019,"1:05:15 ain’t nothing saving you from falling from 36,000ft from the sky",2025-01-30T02:02:08Z,0,0
UgzDQUoD8-RZkMoL1wN4AaABAg,@CHOWTHEGAMER,Serious,2025-01-29T22:27:33Z,0,0
UgwQKK6L4i6Pc8PXklV4AaABAg,@PontKon,What happened to not moist? Where’s waltzy,2025-01-29T19:11:32Z,0,0
UgyjqAljavzn0yhPMvx4AaABAg,@Videointerests,Here are game lovers and game haters if you need them.,2025-01-29T17:42:23Z,0,0
UgwtF-TzEnuLsvRpWe94AaABAg,@Videointerests,What types of weapon classes are there in this game?,2025-01-29T17:37:40Z,0,0
Ugwi_9fbXvzAbp80h0V4AaABAg,@Videointerests,A very high level of accuracy makes it easy.,2025-01-29T17:14:19Z,0,0
UgxKofiHrZOx4clbS6J4AaABAg,@Videointerests,This is a gaming studio.,2025-01-29T17:10:50Z,0,0
Ugzlk6V5DqxxZIiDr3t4AaABAg,@Videointerests,That character is dead outside of the shield.,2025-01-29T16:57:50Z,0,0
Ugxo_3yVDiljPHcDuSl4AaABAg,@Videointerests,Both players are going to lose in the rounds they're playing.,2025-01-29T16:41:20Z,0,0
Ugwhl2BkmnLPwJlF-P54AaABAg,@jdrv9859,hey charlie can you react to the Dj Akademiks situation with the 15 year old,2025-01-29T16:39:57Z,2,0
UgwI8nKLzpD85DaNDUh4AaABAg,@Videointerests,This channel is'nt created too long ago.,2025-01-29T16:35:58Z,0,0
UgzKuH34_l9vWWOdXKh4AaABAg,@Videointerests,There are weapon classes in the game.,2025-01-29T16:17:35Z,0,0
UgwVANaR2O1TOqJ-EdN4AaABAg,@acecarwell,Can we get you and lud dressed as Wigg and Greek doing a watch party if we make the championship? Much love ❤,2025-01-29T16:00:27Z,1,0
UgxMjsF37w7Kpio1Sst4AaABAg,@Quinn-Draws,Winners Love Wining?,2025-01-29T12:35:13Z,0,0
UgxgLBlgEDQ8sxVY31B4AaABAg,@Beeboop00,"Holy ads.  Charlie is so greedy, this outweighs his donation streams 100%",2025-01-29T12:07:43Z,1,1
UgzA8L5fxZd2NdwhL5N4AaABAg,@Ry3guy,"I get the name change but I think ""Shopify PenquinZ"" would have gone so much harder",2025-01-29T11:36:38Z,0,0
Ugz4Ad66Hu_yKsJHozR4AaABAg,@3dot.993,bro is down bad,2025-01-29T10:47:47Z,0,0
UgzXg2jT6IrusOyxso14AaABAg,@punjabidude7876,"Wait thats the dude who made that ""OÓOOOOOOOH YEAH BABY""",2025-01-29T10:17:06Z,0,0
Ugyp83yjNoDEmEFbaN14AaABAg,@xwannabeetinkerbellx,Thanks!,2025-01-29T08:36:36Z,4,0
UgwDZKLftq0D_qFikwF4AaABAg,@Roy_Royster,Top comment is straight,2025-01-29T06:12:35Z,3,1
UgxTLbBVTeXUjssYvUR4AaABAg,@BeArfi12,I would love a tv show tier list video,2025-01-29T05:54:01Z,2,0
UgyHPPByqn-yzCRvewt4AaABAg,@steakcheeseburger,Top comment is gay,2025-01-29T05:43:42Z,122,14
Ugygws9V3gTqEK4ienB4AaABAg,@ILLZAY,I want you too play destiny 2 agian and bring us back please,2025-01-29T05:31:04Z,1,1
Ugy8jjTzJdl2Uz5Qxut4AaABAg,@mtzslivegaming,Its all good have a great night,2025-01-29T05:17:01Z,2,0
Ugz09LSKeFwaHEGoYJR4AaABAg,@Upticks36-v2u,What game is this??,2025-01-29T05:00:00Z,2,4
UgwIm4osgSU0HcfLFJZ4AaABAg,@KingT_63,I know this isn’t a one piece stream but when you watch egghead don’t use one pace lmao it’s garbage after wano toei fixed the pacing problem during egghead so one pace just cuts out to much.,2025-01-29T04:58:24Z,9,2
Ugzf6frpIIf9its-a5J4AaABAg,@BeArfi12,Bro waiting on Charlie to review severance😭,2025-01-29T04:57:35Z,3,0
Ugze53YH6xVYjQGQrqV4AaABAg,@DJA8065,I’m watching your frozen pizza tier list. I think it’s the only video you have that I haven’t seen yet. I’m running out,2025-01-29T04:57:28Z,15,2
