Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgySTVSFxnlARLgVwXB4AaABAg,@OokPuddin,You drop the game?,2025-11-05T15:25:00Z,0,0
UgzeO1wDShh4GCRbuGR4AaABAg,@corleyroberson4575,"Baurus, like a true Emperor Stan, completely accepted his fate and did absolutely fucking nothing when the dawn came to play",2025-07-15T03:32:30Z,0,0
UgyVZ0T9C5C48F6LxRl4AaABAg,@frehedey7,I find it crazy how many people struggle with the personality bar thing it’s so easy 😭,2025-07-04T13:36:11Z,0,0
UgymMG0UsfZsAJHGl494AaABAg,@morpheus9502,1:41:28 charlie has a voicecrack,2025-06-04T15:21:06Z,0,0
Ugy9QREMgxHrsCLRBy54AaABAg,@keivash2,bros moved on. RIP.,2025-06-02T04:59:00Z,1,0
UgxlwYnQvaw8yKSYywp4AaABAg,@captaincookieandmilk6142,It amazes me how bad every youtuber is at playing the speach minigame. How do you not realize how long you take bro?? lmao,2025-05-21T03:40:34Z,0,0
UgzVTkiNS-vpJXTUItR4AaABAg,@riley9771,Is he gonna stream more of this?,2025-05-13T03:17:59Z,0,0
UgxyV2gsBK9fVaDDuQ54AaABAg,@rikkef-gq2tw,More gameplay plazz its super haha to watch,2025-05-05T23:55:41Z,0,0
UgzvsWxFSBOOXxhWJIh4AaABAg,@noahkeithley9404,Pls stream more of this it’s so fun to watch you play it,2025-04-30T21:35:59Z,3,0
UgxVVzV4B6SyqZCd3Hh4AaABAg,@melvinmellyway9118,Can someone explain how he has like 6k at level 7?? I need gold im at level 10,2025-04-28T03:18:07Z,0,0
UgxQG0yMBXc1_Vk3zNl4AaABAg,@melvinmellyway9118,How tf does he have almost 6k already god I’m level 10 and I’m such a brokey. I’ve only done like 5 arena battles maybe that’s why.,2025-04-28T02:47:46Z,0,0
UgxVdqoFHqOtTFvD-t14AaABAg,@jobulthenoble4565,I think he should have played this on playstation 5 I think it looks better,2025-04-27T20:11:48Z,0,0
Ugw-0beYVwoVQc2TkAB4AaABAg,@EdWedgie,I missed the yugioh reference and started dying when I realized what pot of greed was,2025-04-26T11:27:05Z,0,0
UgzKtRSMfLYcm6j7aVR4AaABAg,@fuzzyhair321,gives us more play throughs,2025-04-26T10:24:33Z,1,0
UgxOj0SXiLys7aerRxl4AaABAg,@kevinuribe318,41:53 what is the “Cheeky” tried finding it but no use.,2025-04-26T06:09:36Z,0,0
UgyceZSayGgliMwWnkZ4AaABAg,@TallicaMan1986,"22:00 LMAOOOOOOOOOOOOO 
They way he just materializes with his arms out like hes going to end you.",2025-04-26T03:03:13Z,0,0
UgwXfP4Id6L-Cstf2rJ4AaABAg,@5.7x28mm_fn,"you gotta go get the fin gleam glass helmet It's located underwater off the western slope of a small island west of Anvil, atop a skeleton near a large rock. This enchanted helmet grants you the ability to breathe underwater and night vision and a few other things it gives you",2025-04-25T23:33:06Z,1,0
UgyoFh7JN_CYQ1WrFKp4AaABAg,@socalfrank2918,"I like the ""exiting"" reaction he makes when someone donates a big amount of $ knowing he makes x100 that amount per video.",2025-04-25T22:21:16Z,2,1
Ugyu894SN4Xp-dX4j3R4AaABAg,@melvinmellyway9118,That one archer tryna give him the razzle dazzle lmao 🤣,2025-04-25T20:10:59Z,0,0
UgzPJDq-KdYnWRJ76Ap4AaABAg,@melvinmellyway9118,Man that character model he made is straight nightmarish I mean it’s like horror pot o greed. That shit freighting. 😈,2025-04-25T20:10:17Z,0,0
UgylahEbr4luFjZ3G8Z4AaABAg,@Zapscallion,Hoarding healing potions,2025-04-25T17:49:23Z,0,0
Ugw4dxinObryPFjF9Nx4AaABAg,@inquin1653,"I love watching charlie purely for the burps,the guy is like a burping machine,pumping out belches like every 5 seconds",2025-04-25T17:01:07Z,5,1
Ugw8yriNQyDfOnHfaq94AaABAg,@chancedeschene7116,"Charlie i know you don't care but i stopped watching you after i saw that interview with that fake wanna be red pill cuck and what you said about how you thought it was okay for kids to get sex change operations but  some how you think they can do that and make a huge decision to mutilate themselves but somehow you think them having sex at that age would be way to big a decision for themselves really made me question how stupid the way you think it and really turned me off about what kind person you are. (I know your way of thinking is your own and i respect it and honestly i don't watch you to care about those kind of things, but when streamers bring those type of topics up and openly  share the own thoughts its really hard to just hear something so dumb and let it go and kind of makes you rethink what kind of person you really watching) *This is my opinion, i am not shitting on Critical i am sharing a BIG reason why i stopped watching for a year or so, I've came back to support and watch your content again and i am enjoying it, and trust me i know one single subscriber docent mean shit but all I'm saying is your viewer's could give a shit less what your political or veiw points are and i could really see it hurting you if you put that kind of stuff into your videos. -Love Chancey (Ive been watching you since RuneScape days)",2025-04-25T13:36:59Z,0,2
UgyxF75NzlAVVmWEbCd4AaABAg,@Chris-zc7xj,"Play Expedition 33, it's amazing and deserves to be shown. It's made by indie devs but is like a ""Triple AAA"" game, also it's only 50 bucks for a NEW full length story driven rpg game.",2025-04-25T11:47:14Z,0,0
UgyWjd7az3Oo4fTsY5d4AaABAg,@crow_buddy,1:54:54: I'm nothing but a vile spawn of evil,2025-04-25T10:46:57Z,0,0
Ugz-XrxhvPRZQIaJQLl4AaABAg,@willemsaltzpyre7792,Is there anyway to force attracting off in the files. My 2070 super rizon 5 3600 gets 45-60 fps on medium,2025-04-25T07:36:04Z,0,0
Ugze5GcVhTFJQFvFInR4AaABAg,@agamangaming218,can you play days gone remastered,2025-04-25T04:57:32Z,0,0
Ugwyn5bhgTe0TkyaYYN4AaABAg,@JVfromthedot,Hope someone tells him he did actually contract vampirism lmao,2025-04-25T00:50:08Z,2,0
UgzYjuHmi24Y0SY_5WR4AaABAg,@NuclearJoestar,Pot of greed is the funniest oblivion character ever,2025-04-25T00:49:01Z,2,0
UgydZRN_21e8J--SptR4AaABAg,@Zapscallion,Why not sell a couple junk potions to repair the good shirt,2025-04-25T00:46:46Z,0,0
UgxGoe56VDODc_HKVI14AaABAg,@RipperRoo512,Pretty sure you contracted the vampirism disease in that cave,2025-04-24T23:56:08Z,0,0
UgxFPRbuQdh_SthwSMd4AaABAg,@threestars2164,The greatest rpg of all time! PERIOD!!,2025-04-24T20:39:35Z,1,0
Ugy64z0U0uXZhPUEdBh4AaABAg,@duchessedeberne3909,It seems to have less bugs than the original version,2025-04-24T20:17:14Z,0,0
Ugy3c0piwfhHq_VjT9V4AaABAg,@pxlpizza,I wonder how long its gonna be until Charlie realizes he's still on master difficulty setting after his final colosseum fight,2025-04-24T19:14:30Z,3,0
Ugw242j6wvyNNzD2p0Z4AaABAg,@GreyValrick,Porkchop 🥩 is a hero!,2025-04-24T18:31:07Z,1,0
UgzC8L5_Zx9cSrKl5d94AaABAg,@joshmoreau6023,Bro sent Baurus' AI straight to Oblivion,2025-04-24T18:04:11Z,0,0
Ugxh-wy-RKwFz99S9OR4AaABAg,@CappeCaptiaaan,I summon pot of greed to draw additional 2 CARDS. 😂,2025-04-24T17:57:45Z,0,0
UgwXUgXJkHfiGa1lPrR4AaABAg,@CaveMan-Man,Disarms a khajiit. Its like he is better with his fist 👀🤣,2025-04-24T17:32:46Z,0,0
UgxZhQ-CGoIrdA9TyUR4AaABAg,@gamesixio2146,"""I SUMMON POT OF GREED TO DRAW THREE ADDITIONAL CARDS FROM MY DECK!""",2025-04-24T17:04:01Z,9,2
UgwySfWhCCR9sPOXPed4AaABAg,@silentbob2430,"Dude whoever suggested pot of greed for the character name is going down in history, you are now immortal.",2025-04-24T16:38:31Z,110,4
Ugx-fq_q9FejIFkJ7P14AaABAg,@guthixman43,why is he playing on easy baby mode difficulty?,2025-04-24T16:37:30Z,1,0
UgzoOLY9Grua7cEExfZ4AaABAg,@mobspeak,Who TF plays the main story? LOL,2025-04-24T16:30:30Z,2,0
UgwrN2bAdlbhx_w3FDJ4AaABAg,@kingofecchitv8984,A fallout 3 remaster would go great with the Oblivion remaster,2025-04-24T16:17:17Z,2,0
UgyripedAa069tkYnj14AaABAg,@jeremyevans710,"I'm going to make Pot of Greed's beautiful girlfriend orc toad thing that looks like this and name it ""Greed of Pot""",2025-04-24T16:06:09Z,0,0
UgzDndgDgSu83lqkO654AaABAg,@barnsaresafeyup584,$50 for a game I've owned for over 20 years....pass.,2025-04-24T16:02:15Z,0,1
