Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzKBRziW7hKogW80hF4AaABAg,@iceman4169,Great 👍🏻 video nice 👍🏻 hype!!!!!!!,2025-05-31T17:47:24Z,0,0
UgzuXp8DLHciwbOR7Cl4AaABAg,@pokewack,"If a woman divorced you because of a coffee grounds tera reading, there should have been signs early on in the relationship that she was bat crap crazy.",2025-05-18T19:54:01Z,0,0
Ugw0Jskm5Jp5-fXWO_x4AaABAg,@DrWildGamerissexxy,L take from Charlie on Sleep Token album. I agree 1 or 2 songs aren't that good but bro L take. But he has his opinion.,2025-05-18T16:05:52Z,3,2
UgxGhRhAHHv_RuFdLy14AaABAg,@Mogebake,Ohhhh I was wondering what this album was that kept playing in my Spotify. I hadn't realized it was the new one.,2025-05-18T11:44:27Z,0,0
Ugyw1kRDPiCM40TFeMR4AaABAg,@lordcrayzar,Where’s yesterday’s stream damnit!?,2025-05-17T19:32:16Z,2,0
UgwYFdNyzu01TLKUEs14AaABAg,@creamgravy1,Hell happen to last nights stream to be deleted on both sites,2025-05-17T12:55:03Z,5,1
UgxPfGkFK1jMYJ9IymZ4AaABAg,@Creed6974,Charlie has some L ass takes 😐,2025-05-17T10:24:14Z,2,0
UgzqkoC2y0ffj2jhxm94AaABAg,@ryangriffith5551,Charlie believes in God confirmed,2025-05-17T09:30:08Z,0,0
Ugz85SZxiK6tk2ued8F4AaABAg,@guywglasses313,is there a reason he doesn t play rivals anymore,2025-05-17T04:56:29Z,0,0
Ugxdrfo5Lzu1RMutCRN4AaABAg,@Pyrpyr_2017,oh please talk about world of tanks lootboxes wargaming is such a terrible company this needs to have consequences,2025-05-16T12:16:26Z,0,0
Ugww0-4RSnbDZyZGMwN4AaABAg,@foxtailedcritter,I can't get a job but somehow a person who leaves two packages at doors is hireable. Aww man.,2025-05-16T09:27:25Z,0,0
UgyW3Yf_73LZiFsuKZx4AaABAg,@griffin9478,No way Charlie thinks he has genius level intellect 😂 bro you get like every trivia question wrong on the Other Channel,2025-05-16T08:28:48Z,0,0
UgxM_hkRL6M4sSLslIt4AaABAg,@GrabnarMyers,Why doesnt he play runescape its so big right now again,2025-05-16T02:26:41Z,0,0
Ugx1p02JF2NGoCR6_UF4AaABAg,@MrThirtyH,"The really funny thing about Sovereign Citizens is that their whole shtick is saying ""You're violating my rights!"" to the guys who already defined what rights you have.  It's like, NOBODY up the chain of command of the Judicial System buys into it.  Why do they think it's valid?",2025-05-16T02:25:03Z,1,0
UgxJQFHwy0eifeJLbX54AaABAg,@Styphoryte,"3:05:49 Humanoid realistic responses have been engaged. ""Yes. Yes. Yes."" Oh man this lady is reminding me of Detroit human, that game with those robots n shit LMAO she's too drunk wowza... Edit: 3:10:43 Jeez a loo man this woman is making me drunk stfg I just felt my noggin loose some weight just now. Edit number 2: looking at the chat replay I can see most people thinking / guessing what drugs she's on but the bottom line is there's no drug in the world that can make you as entitled as some of these people on these bodycams. That's just how they are with / without drugs... I've seen too many bodycams to realize this. lmao",2025-05-15T20:02:25Z,0,0
UgyU7pu2vuBWAYgtzH94AaABAg,@ginnygin7141,The tea leaves woman sound like she's reading off a wiki how article the whole time. Those stops and starts are not natural pauses lol. And the human tea readers scoffing at the ai reading is a great concept for a comedy sketch,2025-05-15T18:53:27Z,0,0
UgwBmfHc-M6pQP-Y8YZ4AaABAg,@lacijunemann4,"people forget about social anxiety and many other things. yes the woman should’ve just got off the plane, but why aren’t they telling her the reason? it’s stupid. i mena having bpd, depression, and anxiety make it hard to live day to day for some people. more than others. this woman should i’ve been shown more sympathy for shre",2025-05-15T18:17:06Z,0,1
UgwkXL140nCmQ6Lg0yp4AaABAg,@MajorMapleMoose,When is the next bbno$ charlie track,2025-05-15T17:45:50Z,0,0
Ugzo0UEnBaGvdi-BS414AaABAg,@hardcoregamer9878,"5:50 holy, have some critical thinking skills instead of just looking at chat",2025-05-15T17:20:27Z,0,0
UgwvudgdfXyPK2VKwe54AaABAg,@Locust13,"Regarding the topic of near-death experiences, no one has actually died and come back. That's why it's called NEAR death experience. And there's perfectly natural neuroscience explanations for these experiences. One of the things an oxygen deprived brain does to protect itself regarding myelonic sheaths is release literal DMT. A known hallucinogenic chemical floods the brain and pools into the back of it. The idea that an oxygen-deprived, damaged, malfunctioning brain that is flooded with a hallucinogenic drug is relaying an actual experience instead of a hallucination is genuinely too stupid to consider.",2025-05-15T16:48:13Z,4,4
Ugwks-8BZidX3dXJMwF4AaABAg,@dirkwolf9463,"I'll admit over a long career doing various delivery I've stepped into the bushes before the water pipe burst. But like most people I've crapped in my pants more than al fresco, and the front porch is definitely a personal choice.",2025-05-15T15:52:41Z,0,0
UgwQjre6dqKeBUlgUgx4AaABAg,@kcconnor6407,How are you all so not only souls get into heaven do bugs have souls 😂,2025-05-15T14:59:53Z,0,0
UgwSvChtE7O13w9abPx4AaABAg,@DynoSkrimisher,Imagine how much water was used to cool the machines to make that AI video.,2025-05-15T14:58:25Z,0,1
UgxcXjswc8GnBEFSSud4AaABAg,@akl4709,This was fun,2025-05-15T14:47:32Z,0,0
Ugxi8PvDDgIy3_I8OOl4AaABAg,@TheNumberP,More evidence that alcohol should be illegal. 3:13:11,2025-05-15T14:45:34Z,3,1
UgxjMwa5Ugm-iBkrQBt4AaABAg,@Nades.,please do a formatted video on wot lootboxes wargaming needs to be shamed. (edit: also do not be afraid to message any of the wot big cc's they will be very glad to help out im sure.),2025-05-15T14:19:22Z,0,0
Ugw2AAJ_rNRgezhOfad4AaABAg,@DoGojo.25,Its not embarrassing dude geez thats why we watch 😂,2025-05-15T14:05:42Z,0,0
