Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugw9LFr3iOTEVd2P2s94AaABAg,@christopherkelly6833,"Bro makes this game so much harder than it needs to be, and then complains about the mess he put himself in",2025-09-17T04:50:14Z,0,0,en
UgzHwWzsJ9SDmQ6D1r14AaABAg,@Premiathor,I love Charlie but ngl the lack of reaction / jokes during some of the saddest moments ive ever played in gaming had me lose a bit of respect.,2025-07-08T14:57:44Z,0,0,en
Ugx5CoqAVyyFaH1vicd4AaABAg,@nodakgirl93,2:08:49 does he not understand how to play the game....,2025-07-04T19:52:23Z,0,0,en
UgySiax9jNKFLwkPBuZ4AaABAg,@Kill.your.cravings,57:45 me when the paycheck comes in,2025-06-29T17:02:25Z,0,0,en
UgxKXWntn_pehXPmIZ14AaABAg,@Tyler-l1m,I prepare and listen before missions and I’ve only fell once for 40 hours on normal mode.,2025-06-29T13:55:27Z,0,0,en
UgzekIFWW4-l59D-W794AaABAg,@Tyler-l1m,Sad that you keep rushing to beat it. It’s not how about how fast you get there. It’s the climb,2025-06-29T13:54:19Z,0,0,en
UgzqPAeZh2IxUAiNbRJ4AaABAg,@Beatsla,56:02 you can move the camera here to look at the dance better,2025-06-28T23:45:21Z,0,0,en
UgxKjGLGmmgV7iq9FgV4AaABAg,@EpicGamer99-b5q,4:15:01 Heartman about to have cardiac arrest in 3 seconds and Fragile blowing cigarette smoke in his face,2025-06-27T20:11:34Z,5,1,en
UgxpD3bkU_DGiV9e0s94AaABAg,@RedHaloManiac95,"This was perfect for me to fall asleep to, just like the first game",2025-06-27T18:14:28Z,0,0,en
Ugyyh_2FRva4Q77sbZl4AaABAg,@Travis_7t7,God damn it I missed it again because my wife keeps hitting me,2025-06-27T14:20:06Z,0,0,en
Ugzoi5U0g-6uafBQm_N4AaABAg,@treemantrey2484,I feel like they could’ve had em doing some parkour,2025-06-27T14:00:41Z,0,0,en
UgwZLT7qID3a5GqTX8N4AaABAg,@jessemach5817,"Timestamps 
Gameplay starts here 4:56
Talk 1 18:56
Gameplay 2 23:24
Cutscene 1 26:31
Gameplay 3 30:56
Cutscene 2 35:38
Gameplay 4 36:52
Cutscene 3 45:00 
Talk 2 50:18
Cutscene 4 50:57
Talk 3 54:10
Musical dance context 54:53
Big dance jams beginning/end (55:38, 59:34)
Talk 4 1:00:32
Gameplay 5 1:04:43
Talk 5 1:20:44
Gameplay 6 1:23:18
Cutscene 5 1:24:36
Gameplay 7 1:27:28
Talk 6 1:27:55
Gameplay 8 1:29:30
Talk 7 1:38:20
Gameplay 9 1:41:34
Cutscene 6 1:46:16
Talk 8 1:49:50
Gameplay 10 1:51:11
Talk 9 2:11:04
Gameplay 11 2:12:07
Talk 10 2:24:30
Gameplay 12 2:27:10
Talk 11 2:34:57
Gameplay 13 2:38:12
Talk 12 3:07:14
Gameplay 14 3:09:50
Cutscene 7 3:13:41
Gameplay 15 3:21:44 
Cutscene 8 3:31:15
Cutscene 9 3:39:51
Gameplay 16 3:40:28
Talk 13 3:52:53
Gameplay 17 3:53:23
Talk 14 4:01:14
Cutscene 10 4:02:52
Cutscene 11 4:08:07
Gameplay 18 4:08:34
Cutscene 12 4:09:09
Cutscene 13 4:17:18
Wrapping up death stranding 2 and opening up some card packs 4:17:57
Calling it a night 4:30:32

(gotchu first comment below(not shown so far as of this stream but will let y'all know when I put it on the list in a future one when it comes to that)

(Future me here: pekora is shown in the next stream)",2025-06-27T13:02:57Z,55,2,en
Ugxl1EWUdf_pvym5uYN4AaABAg,@hayatojin2886,"i see he hasn't met the goat yet, aka the war criminal, aka the most popular female streamer in the world (Pekora)",2025-06-27T12:33:13Z,4,0,en
UgwjFybhk8JrQMxq2ZN4AaABAg,@The_Impolite_Canadian,Dystopian Amazon Delivery Simulator: Part II. 🥱,2025-06-27T12:07:54Z,1,0,en
UgwQfxID4zQiBIQj0Y94AaABAg,@guillermofiscal4897,"Death stranding is absolute garbage. 

The entire gaming media gaslighting everyone into thinking this is a good game..",2025-06-27T11:48:05Z,0,0,en
UgwJOORynYbybWOOL_N4AaABAg,@kugasthelast,oh oh piratesoftware braindead fans in the comments...,2025-06-27T11:22:09Z,0,0,en
UgzMmhCxozis5uejS6V4AaABAg,@danrg26,Starting to think Charlie is just not smart enough to play this masterpiece,2025-06-27T10:47:20Z,5,0,en
Ugw8e_diSwH3sB-05NB4AaABAg,@The2SidesAngel,Is this sill a walking simulator?,2025-06-27T09:53:27Z,0,1,en
Ugxr69dXZP-f-c0X5jV4AaABAg,@KhangDuy-f5p,Pure talent. No words,2025-06-27T09:37:40Z,3,0,en
UgwtvI1AmcFFHs_i9dZ4AaABAg,@WayStedYou,Why didn't they make it a platypus hood instead of an otter considering its set in Australia,2025-06-27T08:59:06Z,0,1,en
UgxDIF_wELI1TJiWZtx4AaABAg,@7ens3nButt0n,putting in a blood boomerang in a game that is set in australia is just good game design,2025-06-27T08:56:16Z,4,0,en
