Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugxm-FQ1Ki-Ouk0L5EJ4AaABAg,@lariahthefathersapostle7396,"With Respect in Honoring The FATHER’s request for you for there will not be an end for this world if you help to defend this Holy Creation from the Evil One. According to The FATHER this is the context for what is about to come. Revelation 1:7 - “Look, he is coming with the clouds, and every eye will see him, EVEN THOSE WHO PIERCED HIM . . .   . . .  .” Truly the Angel of Christ Jesus did not lie.  Matthew 24:34, Mark 13:30, Luke 21:32 and Mathew 28:16, which in itself, supports Revelation 1:7, all clearly indicates that Christ Jesus would return within one generation after His crucifixion. The Greek word ""genea"" in these verses refers to a race or generation, interpretable as ""this present age"" or ""this generation now living."" Thus, Christ Jesus's return had to occur within twenty to thirty years after his murder, before the soldiers who pierced him and the one who thrust the spear into his abdomen would pass away.  To assume a super genius such as Christ Jesus did not know how long a generation on Earth was at the time is an embarrassment.  After Christ Jesus died on the Cross the Holy Spirit (The FATHER and Christ Jesus as one(ARE the Holy Spirit and for a first time) descended upon The Apostles on the Day of Pentecost which occurred after His murder.  <> Neither Christ Jesus nor His Holy Angel ever declared He would return in a physical body and even so did. Christ Jesus returned in the Spiritual mode on the day of Pentecost.  And there the physical return; after His resurrection and unless St. Paul lied, Christ Jesus appeared to more than 500 people over the course of forty days as written in 1 Corinthians 15:6. This event served to confirm His resurrection and provided a large group of witnesses who could verify His return to Life. Some of those witnesses were still around during the days of Paul’s missionary works.  Christ Jesus RETURNED as promised within ONE GENERATION. Then the Prophecy that every Church in the world overlooked: Matthew 28:20, where Jesus promises, ""And surely I am with you always, to the very end of the age."" That age of Christ Jesus ended in February 2009, so said The FATHER. <> More information about what The FATHER of Christ Jesus (The FATHER’s Word) said to us in the “witnessed” sixty days visitation especially with regard to the fact you are actually waiting on Christ Immanuel (The FATHER’s Will) to lead this Earth’s Revival in Revelation 19:11 can be reviewed at the Angels4Us Organization’s (.org) web site. Also, a third return of Christ Jesus is scheduled if this Earthly World does not fall to the Evil One. <> The FATHER also asked us to inform everyone that once you have been made aware of this incorrect interpretation about Christ Immanuel being Christ Jesus you are now without an excuse in regard to your future; that this could very well remain a World Revival stopper due to focusing on the wrong Messiah which also created the issue of bad timing; a lethal issue of man’s own doing, so said The FATHER. Be in both Good Courage and Health and please, be Respectful and give Thanks to GOD The FATHER of Christ Jesus for this message of intent to get the Church  back into GOD’s Will for you. Remain in Peace. . .  . . .  ecliptio de se de so.  ~ Edward L.I.Z.",2025-11-24T21:53:32Z,0,0
Ugw5M70NLrmmrOtVJjZ4AaABAg,@IanCaelum-s4x,I will bring the rapture Charlie. Mark Wahlberg my words.,2025-11-07T14:04:18Z,0,0
UgzOTKSaQ56CFpQdBcB4AaABAg,@autosmurphyt5980,Rip MWL it will forever be missed,2025-10-27T17:42:55Z,0,0
UgwH8tQRfw9SxA8lEeV4AaABAg,@7stars-7-7,"The complete and correct Revelation timeline⏳
1️⃣ ⚔️ Tribulation on Earth – Seals 1→5
Rev 6:1–11 → Antichrist rises, wars, famine, persecution, martyrdom.
Matt 24:9–28, John 16:33 → 💒 Church: On earth enduring tribulation.

2️⃣ 🌑 Cosmic Signs – Seal 6
Rev 6:12–14, Matt 24:29, Joel 2:30–31 → Sun darkened, moon like blood, stars fall, sky rolls up
Rev 6:15-17 → Unbelievers feel God’s wrath about to happen.
Rev 7:1–8 → 144,000 Jews sealed, ready to go through God’s wrath.
Luke 21:25-28 → 💒 Church: Still on earth witnessing the signs.

3️⃣ ⏫ Rapture / Gathering of the Church
1 Thess 4:16–17, Matt 24:31, Rev 7:9–14 → Dead in Christ rise first, living believers caught up to meet Christ in the air.
🕊️⤴️2 Thess 2:6–7 → Restrainer removed, allowing the Antichrist to be fully revealed.
John 14:1-4 → 💒 Church: Now with Christ in heaven, safe from God’s wrath.

4️⃣ ⚡️ God’s Wrath Falls on Earth
Rev 8:1–2 → Seventh Seal opens, silence in heaven.
Rev chapter 8–16 → Trumpets and bowls pour out.
Rev 11:3–12 → 6th trumpet: Two Witnesses prophesy 1,260 days, killed and raised.
2 Thess 2:3–4 →😈Antichrist reveals himself and claims to be God.
Rev 13:16–17 → Antichrist enforces the mark of the beast on people. 
Rev 9:4-6 → Only unbelievers experience judgment, 144,000 Jews are preserved.
1 Thess 1:10, Rev. 3:10 → 💒 Church: Remains in heaven.

5️⃣ 🔻 Christ Returns Visibly to Earth with the Church
Rev 19:11–16, Jude 1:14-15 → Christ descends with His armies, including the raptured church, defeats the Antichrist and all enemies.

6️⃣ 👑 Millennial Kingdom
Rev 20:4–6 → First resurrection saints reign with Christ for 1,000 years. (it’s called first resurrection because it’s a big event in stages that spans across so the rapture resurrection and this is all one big event: the resurrection of the righteous) 
💒 Church: Participates actively in Christ’s reign on earth.

7️⃣ 🌅 Final Judgment and New Creation
Rev 20:10–11, Rev 21:1–4 → Satan defeated, final judgment of all dead, new heaven and new earth established.
💒 Church: With Christ in the new creation.",2025-10-20T07:29:25Z,1,2
Ugx3YCnddUI_6yTqoOJ4AaABAg,@voodoomammajuju,charlies voice is really noice,2025-10-19T23:45:24Z,0,0
UgxrDqri-ykl6sMzb9B4AaABAg,@TheAllSeeingEye2468,this is the first im hearing of this,2025-10-18T05:49:20Z,1,0
UgxPym3IY79H0UaW_o54AaABAg,@Spiritofthehero16,That was SpongeBob beating up Patrick outside the salty spittoon levels of telepathic ass beating,2025-10-15T07:21:30Z,0,0
UgwHUScoVq-W6io0_5N4AaABAg,@jonahnelson252,"In the Bible, it does state you do not know when the Lord comes back

I hope you know moist critical that this is serious. This is not a joke. You cannot make a joke of Jesus in the Bible. It says all this stuff about God cannot be marked, but people will try mocking him every day just like that just like the thing they’re talking about you not real life that the Bible is real everything it talks about is happening as we speak. Why are we not paying attention to this? Are we that blind even with a naked eye and there’s nothing wrong with your eye like come on there’s something wrong with my eyes. I can’t see at all not really I can see a little bit. I can see with one eye, but I still wear glasses because it’s difficult to see if stuff is difficult to see put on your glasses just like life if stuff is difficult to see through life put on scripture and follow scripture. That’s all you have to do I feel a little bit of a tent of mockery in this video for some reason.",2025-10-13T21:43:18Z,4,1
Ugy-WExu127ha1ndE6V4AaABAg,@38hikarired,Jesus laying down some biblical dick as if some spicy party boys wanted to have their way with his angels. Messiah brutally punishes sinners with his holy all mighty monolith 💀,2025-10-13T17:39:17Z,0,0
UgzGj1eNO2sUjTFlK0R4AaABAg,@Little-Buster,"What if, penguinz0 is Jesus?",2025-10-13T16:50:32Z,0,0
UgwT-PAGw11-6rxX-Ux4AaABAg,@Manic_magician,Charlie is love your content but you came really close to blasphemy at the start there 👀,2025-10-10T23:00:00Z,0,0
Ugy2F7TlX4Nz5M-81614AaABAg,@javaidbakhsh2427,Shit I missed it! When’s the next one?,2025-10-09T14:25:03Z,1,0
UgxDOMJZSCgUX3R439R4AaABAg,@NapalmWeed,"Like the good book says, “let he without sin, throweth the first rock… BUT I SHALL SMOKETH IT!”",2025-10-08T20:48:35Z,0,0
Ugx8gf7QJ6rehJYJbuJ4AaABAg,@mrlostgoose,"Matthew 24:36: But about that day or hour no one knows, not even the angels in heaven, nor the Son, but only the Father.",2025-10-08T15:55:27Z,1,0
UgyMMfDN953CMAfbqGx4AaABAg,@NaTanya-33,"Well...  you might not be wrong about the rapture, since I've actually been here the whole time.  I just haven't told anyone yet..  Until now.  ;)  So... You can let people know you were actually right!",2025-10-08T04:29:41Z,1,0
UgyKhVZBX689TeABLhl4AaABAg,@ArmyJay,Who knew…. Jeezuz is a Jedi.,2025-10-08T04:24:01Z,0,0
UgwiiMluzNhAU_iF5654AaABAg,@LeonTheLion-777,"ALL of the rapture predictions have failed in the past 200 years. Why is that ? 1) The pre-trib rapture is the doctrine used to calculate His second coming. The Bible doesn’t teach it. Period. 2) We must take into account biblical prophecy NOT man’s “confirmations “ and “signs”. Remember Jesus said in reference to His second coming that an evil and adulterous generation seeks after a sign. 

So as we watch, we’re looking for biblical prophecy to unfold. The temple in Jerusalem must be rebuilt according to scripture - Daniel 9:27 and 2 Thessalonians 2 3-4. 

If you understand this, then we can watch biblically without being deceived by the many false prophets that have come our way.",2025-10-07T17:45:42Z,0,0
UgylxQ7QzBdABfwSFMN4AaABAg,@NadjahC.Y,"or a mom giving her 6 kids away Ø_Ø
yeah Americans are crazy, reason why I never have spoken to one.
but what would youtube be without the crazy americans :D",2025-10-07T12:16:14Z,0,0
UgxfGk4wIA6fvwUsGHF4AaABAg,@Am-uj6qn,Maybe the real rapture is the friends we made along the way,2025-10-07T11:11:01Z,0,0
Ugz3ZdkKXF7vuth2eY94AaABAg,@KingOfEngland1549,"If anything, this feels more like a mockery of Christ. Because either of those men wouldn’t be knocked out, they would want to worship him",2025-10-06T17:11:12Z,0,0
UgyJt-dsocjc9R5ACWV4AaABAg,@Abominatrix650,"""Let he who is without sin kick the first ass"" - That one in-universe Family Guy movie that also had Chris Tucker in it",2025-10-06T15:56:01Z,0,0
Ugw1ga6Tce6YRfYMHxp4AaABAg,@chucho2x520,"There’s no rapture that will happen , there is only second coming of Christ which happens after Antichrist shows up",2025-10-06T05:53:35Z,1,0
UgzRAzMJJpZFpotuaCF4AaABAg,@leviakerman2830,Mark Zuckerberg would love this,2025-10-05T09:02:58Z,0,0
UgzfZatjLqHTqDyxKjJ4AaABAg,@iceman4169,Great 👍🏻 video nice 👍🏻 hype!!!!!!!!!!,2025-10-04T18:58:30Z,0,0
Ugwwk4aAp2Wd7HwyH-h4AaABAg,@ॐIo,The rupture happened. We're in Hell.,2025-10-04T18:21:16Z,0,0
Ugz35v-2X5VIPnDCJ414AaABAg,@SWFOFF,Everyone ears be getting blessed when The Theme music comes on,2025-10-04T17:48:16Z,0,0
UgxvgeDbTur2cSU4guZ4AaABAg,@getvexed_,seeing this was a blessing,2025-10-04T17:04:16Z,0,0
UgwYj4-xw5aVFhSUvUd4AaABAg,@hotfudgecake,"Born in 86.. I've survived at Least 3 end of days / raptures , maybe more",2025-10-04T02:46:48Z,1,0
UgxtMXL5nIDQPswddCN4AaABAg,@Anime10100,"""jesus doing the choke slam"" gets a hit ill boost it",2025-10-04T01:48:08Z,0,0
UgwwImfDv8UlBzlQVCF4AaABAg,@kevinhofer8869,What a shocker,2025-10-04T00:03:06Z,0,0
UgxI934xi_fVnY6EcVt4AaABAg,@lechugh,"Oh no, the rapture happened. There was no one worthy, and we all remain as hell comes to the Earth. I would have thought it was obvious.",2025-10-03T23:29:35Z,0,0
Ugz947Ti5lAUxd6bbo54AaABAg,@robercik101,What the hell did I watched,2025-10-03T20:24:11Z,1,0
UgzKse5yl9JREWyA4t94AaABAg,@jamesonshekmeister,The power of Christ compels you to the wrestling fence.,2025-10-03T20:18:33Z,0,0
Ugx0LwRrVhpmePGmeTp4AaABAg,@contrysekai723,"Don't mock Jesus, don't mock God, don't mock the Holy Spirit. Jesus is the  King of Kings and he will come back one day and no one will now when. Jesus loves you all so much and so deeply. You can be saved if you repent from your sins and accept Jesus as your Lord and Savior. You can pray and say to Jesus: Jesus I recognize that you died for me for my sins and that you rose from the dead. Please forgive me for all my sins, I accept you as my Lord and Savior, amen.",2025-10-03T14:25:45Z,2,1
UgwR5WwwmGD0ijF_wwR4AaABAg,@sonjafourie3394,"I enjoy all your videos quite a bit. 
The video of kung fu jesu, I understand its all wacky and entertaining, but the video and idea created by them, is very offensive to christians and so sad that people would cheer that on, yet it is the world we live in..jesú the wrestler ans his management must hope and pray to what ever deity they idolize, that they dont meet the wrath of God...they should all be struck by lightning or a plague.
 In regards to when Christ returns, in the Bible, it clearly says that NO ONE, not even the angels know when His return will be. Pastors should stop making stupid and invalid claims, and people should stop believing it, just rediculous...it says the He will come like a thief in the night, no one knows when, and that's why we need to be ready at any time.",2025-10-03T08:06:17Z,0,2
UgxNRX_O84fkxlw6QCl4AaABAg,@stewart_rit,"I used to watch wrestling, and this stuff would be something that would make me watch it again XD",2025-10-03T04:23:26Z,0,0
UgxtRkDRChBSVSg-Yht4AaABAg,@bryan5238,Christianity is a phony cult,2025-10-02T22:09:25Z,0,1
UgzUm-JKqvxqhBYoWix4AaABAg,@ONCICOLA,"God bless you all. Jesus loves you, and He wants you to come to Him. 

You shall not misuse the name of the LORD your God, for the LORD will not hold anyone guiltless who misuses his name.

And so I tell you, every kind of sin and slander can be forgiven, but blasphemy against the Spirit will not be forgiven.

but whoever blasphemes against the Holy Spirit will never be forgiven; they are guilty of an eternal sin.",2025-10-02T20:46:53Z,0,1
UgxrUQHPfRy9UJNLMIx4AaABAg,@TheLastLineOfficial,"I think we all have misinterpreted what the scripture has said, clearly they meant Jesus off the top rope!",2025-10-02T20:42:14Z,1,0
UgxBhr4H_tam-eVTyuJ4AaABAg,@CZA23.,It wasnt a rapture but a rupture of that dudes spleen,2025-10-02T20:35:33Z,1,0
Ugw7o9NK44ShNsvUrj54AaABAg,@Bighomiehobbs,can’t wait for Lucifer himself to come out in the ring,2025-10-02T16:49:14Z,0,0
UgztnEeRhJ0yj48ollp4AaABAg,@ProphecyUnpacked,"Dude, was this wrestling or an actual alien invasion?! 👽👽👽",2025-10-02T16:01:36Z,1,0
UgyLJWlUkZdZCJBfNl14AaABAg,@krysxmoon,"Ngl that ring match was sick af and a fun watch😂 relax, im christian with a sense of humor, ppl shouldn't be upset, but hes gota be undefeated always for obvious reasons. But maybe stick with superheroes instead 😂😂😂😂😂",2025-10-02T15:17:59Z,0,0
UgyYZGs1hAs273mHGWR4AaABAg,@verum117,Its all fun and games until you pass away and have to face eternal judgement you can still repent now the opportunity is there accept Jesus as your Lord and Savior time is runing out just like the days of Noah....,2025-10-02T14:04:14Z,0,0
UgwrANhaWFAe3Kc9Ipp4AaABAg,@kenziikenzii8944,"Jesus wont come back in form, he is back in conciousness, the rapture you hear about is incorrect, it is a rising  of  conciousness of us all,  but everyone will be  safe...So many scams trying to frighten people, dont be sucked in. And dont think only christians are safe...Believe me if Jesus and God were happy for all others to suffer, that is not who I pray to, the one I pray to is the one that loves all, he loves everyone even that bad people even the people that dont believe in him...he loves us all.",2025-10-02T12:53:48Z,0,0
UgzXxSwUc5-sVi34is14AaABAg,@amisfitpuivk,Jesus vs Bullshido master would be epic. No-contact wrestling,2025-10-02T12:28:32Z,0,0
UgyoJi0IbbPcTCB3JKZ4AaABAg,@o.gbobbyjohnson6765,Some of the best selling,2025-10-02T09:35:59Z,0,0
Ugz7zFTdyP5cvBnISi94AaABAg,@o.gbobbyjohnson6765,All I heard in my head was JR screaming the Holy Ghost omg!!! WhileJerry the King snickers,2025-10-02T09:32:24Z,0,0
UgxOs7uu2WLLPn7jymd4AaABAg,@glych002,"I believe 1406 BC is the correct starting point for the Jubilee count.

Here’s why:
	•	Joshua 5:10–12 shows Israel kept Passover right after crossing the Jordan in 1406 BC — this is when they “came into the land” (Lev 25:2).
	•	That means the Sabbatical and Jubilee cycle should start then, not years later.
	•	Counting 49-year cycles forward from 1406 BC gives 70 Jubilees landing in AD 2025 — the 70th Jubilee, a once-in-history prophetic milestone.

And here’s the amazing part: because this is a Jubilee year, the Feast of Trumpets is pushed forward to October 3 — aligning with the Day of Atonement! On this single day, three prophetic events come together:
	•	Feast of Trumpets – “the day no man knows the day or hour,” the trumpet call announcing the King.
	•	Day of Atonement – the day of cleansing, repentance, and restoration.
	•	Jubilee Trumpet – the great shofar proclaiming liberty and every person returning to their inheritance (Lev 25:9–10).

This is not just another feast day — this is Trumpets, Atonement, and Jubilee all rolled into one, pointing to freedom, redemption, and the open door of heaven (Rev 4:1). If there was ever a perfect picture of the rapture — the trumpet blast, the call to “come up here,” and the restoration of all things — this is it.

Be ready. Be watching. This could be the day we’ve been waiting for.",2025-10-02T04:34:47Z,0,0
UgwZG288fm50XmUg0al4AaABAg,@prod.644,Im disgusted with myself for ever being a fan of you Charlie,2025-10-02T04:25:48Z,0,1
UgxXqUmiqLYp188lnwt4AaABAg,@SH4RCZ,God said we won’t ever know the day not even Gods son knows the day jut live life and trust in Him,2025-10-02T02:05:59Z,0,0
UgwbTOVXoEmsQpgyBeR4AaABAg,@rumbleknock93,Come home to Eastern Orthodox Charlie. No church fathers ever mentioned the rapture nor discovered it because it was not biblical and obviously heretical to the One True Church that was founded by Jesus Christ ☦️,2025-10-02T01:12:03Z,0,0
Ugw3Z9G0avsncKojgf54AaABAg,@cloudykid7278,You know it's bad when Jesus himself has to come down to tell people that the rapture ain't happening yet,2025-10-02T01:06:44Z,1,0
