Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugxp3kFKnrCkGdubh0Z4AaABAg,@Gnurklesquimp2,''This game doesn't have flaws'' He says as he uses the noob combo from safe cover,2025-11-25T02:39:53Z,0,0
UgzCfHftUM3NCYRUTjt4AaABAg,@vishalkalicharan7710,PLEASE play Super Mario Party Jamboree!!,2025-11-07T09:43:39Z,0,0
UgzuArjGHZnRGI79jAp4AaABAg,@williammaurice7206,"Playing an xbox exclusive on a keyboard. 10:48 Matt knows where it's at, but he came in clutch multiple times in ce. 2:05:23 Continuing with the game. I was having fun with their enthusiasm with failing to exploit, for the first hour. Nvidia lets you lower a program to 20fps through the software. 2:24:16",2025-11-06T22:48:36Z,0,0
Ugx4WydpHB4Aevf1BbJ4AaABAg,@YT_ShadowBansMe_24-7,Gameplay stops at 23:50 and resumes at 2:05:00,2025-11-06T18:36:41Z,25,3
UgzFVCggRNF5dbIkNZh4AaABAg,@CynicalRaptor,"Charlie cannot help but do everything as fast as humanly possible. His audible keyboard clicks betray that his first attempt is usually pretty close, then he just defaults to “go as fast as possible”.

His inhuman speed is simply too high for the game to interpret.",2025-11-06T16:39:54Z,0,0
UgyOni30dT7xppn2iHN4AaABAg,@JJsiN84,This video should be titled: Working on perfecting the Halo 2 Flying Sword technique.,2025-11-06T15:05:21Z,0,0
UgzRjZHlvQ-07S-r7XZ4AaABAg,@SourceIncorporated4u,Tha last mission in the city was pretty cool. Forgot about that.,2025-11-05T19:34:58Z,0,0
UgzQYLVPde4Y8YzbwxR4AaABAg,@NadesAndNapalm,2:12:00 is when playthrough starts,2025-11-05T12:55:59Z,2,0
UgwKGheJ-RHy8-_W4D54AaABAg,@anthony000izt,respect for trying for 2 hours until you finally got the sword fly. my ADD ass woulda tried maybe 2 or 3 times and given up,2025-11-05T12:15:45Z,0,0
UgxhnlS7hxs8uJALAmt4AaABAg,@TheBigReee,Why tf did they skip the intro??? Also charlie u better buy matt an Xbox so u guys can play H5 when the time comes!,2025-11-05T04:39:14Z,0,3
Ugxzs8GtWP-fhDkGJ3x4AaABAg,@RAHHicecream,"hang on, everyone!",2025-11-05T04:32:23Z,4,0
Ugw3ryvLUYInKQBBbYV4AaABAg,@mikenificent194,I was in chat cackling the whole time during the jackal bit. cant wait for gravemind and delta halo!!!,2025-11-05T04:25:55Z,1,0
UgwMYJ6Q2PElofMpVmx4AaABAg,@bigbuttert-t2465,"The actual way to sword flying is switch weapons reload and fire and you have to do it instantly or else it won’t work, you can’t do it too slow or too fast.",2025-11-05T03:34:52Z,0,2
Ugwm_M0NPFh03W-R3lZ4AaABAg,@cheetahduck_,"Hands down, this is Charlie’s weakest moment in his life. Matt is taller, more handsome, has settled down with a nice wife and above all, has proven to be the better gamer.",2025-11-04T21:42:22Z,40,5
Ugz7_wJXZWXymNprhQV4AaABAg,@flawlesscowboy1173,Was Matt streaming this as well? Would love to see his POV,2025-11-04T16:51:20Z,2,2
Ugyn_L5ebjzkMyCF-Nh4AaABAg,@whatthe9706,"Wow i forgot how hard sword flying while aiming was for people to learn , ive done it do much i just do it without even trying",2025-11-04T16:48:28Z,0,0
UgxovaPrpLoT0tDuqkV4AaABAg,@BroganManFinalPart1,Was making me very annoyed during the hunter fight in the courtyard they didnt use the turret to kill them both in a good like 5 seconds,2025-11-04T16:38:00Z,0,0
Ugz8JdhdTIAw5EnT_Ad4AaABAg,@Stealthless_,2:49:02 Legendary in a nutshell,2025-11-04T15:20:40Z,0,0
UgwK0W9p0xPP79q0_FF4AaABAg,@victorradial1179,"I know it would never happen, but I would love a cod classic marathon",2025-11-04T14:53:37Z,0,0
UgxDryLhANGvwgjw6FJ4AaABAg,@sirksees,came in here to say that the sword fly has half the frame window to pull it off on mcc compared to OG because the games refresh rate is higher in mcc,2025-11-04T14:49:41Z,15,2
UgxXNEr3NoIInYSTji54AaABAg,@GlazedNconfused27,"The classic cutscene where Arbiter is on trial had a moment they didn’t convert properly. In the original when he gets sentenced, he flexes and the brutes back off of him but in remastered they just walk up and slap his arm while he makes a wort sound. His “don’t fucking touch me” stance always stuck with me and was a proper introduction to a great new character.",2025-11-04T14:40:10Z,18,1
UgzN8yEfISUcBc1biMN4AaABAg,@Areolicka,Ngl I always felt sorry for that alien in the beginning 😭😭,2025-11-04T13:47:05Z,1,2
UgzFbD082lvbVQocb5B4AaABAg,@vainsilence,Halo 2 Legendary? Co-op?? Oh this is gunna take a couple weeks,2025-11-04T13:32:25Z,22,0
UgxXN4jEKFM_y8LhP7p4AaABAg,@MAGGOT_VOMIT,I remember when they showed Halo2 preview at E3 21yrs ago. When MC dual-wielded the rifles the crowd went wild!! 😎👍,2025-11-04T11:44:41Z,3,0
Ugw6nlMHp-V9YFMeUip4AaABAg,@Lt.Aldo.Raine8647,Charlie’s keyboard is so annoying,2025-11-04T11:41:25Z,1,0
UgyCXOOuwK58AdAfVzl4AaABAg,@justinwarring-h1v,Do you think youll ever do a complete laso run charlie?,2025-11-04T11:38:30Z,0,0
UgxW2r4AVYVmkiiGctl4AaABAg,@rv7393,"3 hours of being stuck on the first two levels.

Dawg. H2 Legendary is hard. The sniper jackals are Satan incarnate. It shouldn’t take 3hrs to clear these",2025-11-04T11:36:01Z,8,1
UgyPgpOgQrJMWj1ScmF4AaABAg,@yeetin_yeti69,finally gets it at 2:07:50,2025-11-04T11:35:49Z,42,3
UgyAU6HzTvGQyryoVk54AaABAg,@PSYMEDIC,Good that Charlie is stating to train his Blackflash.,2025-11-04T11:12:32Z,0,0
UgzyysqDdkOOZYiU9cB4AaABAg,@mtzslivegaming,Good throwback games,2025-11-04T10:48:58Z,3,0
Ugz3fIV3oF724xoR-gV4AaABAg,@austinbreitbach6935,I love there duo together 😂,2025-11-04T10:03:41Z,12,0
UgyH1lwWD4Bv3-mNCbx4AaABAg,@centurymemes1208,Not playing on remastered with blur graphics is a disgrace.,2025-11-04T09:29:25Z,4,3
UgydArQzj-c-ms4j_i54AaABAg,@N0B0DYN0SE0,Dispatch is so damn good bro I can't believe Charlie created an entire video game with his 🐻 bear hands,2025-11-04T09:11:31Z,18,1
Ugxag9g5k3fXb-jdNGF4AaABAg,@chrisbeach423,A few years back I beat all halo games on legendary on the 360 it took me 2 months 😅,2025-11-04T08:59:10Z,4,0
UgzwB4QTKB-TMppFBvZ4AaABAg,@terrylogan542,Whole video is just them learning red reticle trick,2025-11-04T08:43:52Z,17,11
UgwXjeI2Re_V2WUG0gZ4AaABAg,@GhosTSpartaNFtW34,The second and third level jackel snipers are so accurate it is insanely difficult every mission that had them slowed my progress down to beat the game on legendary by a lot and they don’t miss ever.,2025-11-04T08:18:14Z,4,2
UgzQ4uR7R1PrnxAv-0x4AaABAg,@christianmoit1338,Play with Jackson!!,2025-11-04T08:16:49Z,2,0
UgxM36BDvBNY9LW-4Yt4AaABAg,@Gametism,"It just hit me that he probably also turned off donations so he doesn't have to pay too much attention to chat and doesn't have to say ""Thanks XYZ"" every goddamn minute. A legit reason besides being filthy rich 🤣",2025-11-04T07:51:14Z,87,15
Ugw5hAE6-c_lBtaTz-h4AaABAg,@flowpoi5864,I was part of bounceFX. I miss H2 so much.,2025-11-04T07:49:16Z,1,0
UgzHRFMA_lSPhCSdPOh4AaABAg,@ilikecheese7598,Halo 2 leg o7 peak childhood,2025-11-04T07:47:48Z,6,0
Ugyaa1kWVQv_QXljFD94AaABAg,@aaron8439,I remember using the rocket launcher for this glitch.,2025-11-04T07:35:46Z,3,0
UgxK-qog8zN4NUoMBT54AaABAg,@barryj7383,I literally just finished their Halo 1 playthrough while I’m at work and saw this uploaded on my lunch break. This man’s grind is unreal.,2025-11-04T07:03:44Z,32,3
Ugw4m0DWEEeVszTcaa14AaABAg,@torinlowdell7116,How did I miss this live fuck….skill issue,2025-11-04T06:46:07Z,0,0
Ugx1uKXw1NC8cQcuipF4AaABAg,@mikeadair5677,im dont know much about glitches to halo but wtf is he trying to do,2025-11-04T06:44:41Z,26,2
UgzQ5197BH3BDieBvR14AaABAg,@SomeOrdinaryLoners,"Charlie, I need a job",2025-11-04T06:36:31Z,14,3
Ugzjt12lKj9xrA9WM3F4AaABAg,@raging100,Charlie: I don’t want more money. Also charlie: puts double ads every 3 seconds on every fucking video,2025-11-04T06:31:52Z,5,9
